"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1949.5,400,5460000,5460000,0,5460000,26624395.6,68085934.1,0.1,5050.5,2.2,Infinity,400,400,5460000,13.65,"2023-02-10T09:14:00.000Z",1676020440000,13.65,13.65,13.65,100,0,0,0.2,,,0,,400,400,,5460000,5460000,,
1949.5,-30700,-415265000,5460000,420725000,426185000,26624395.6,68085934.1,10.1,5050.5,2.2,0,,-31100,-420725000,13.5,"2023-02-10T09:16:00.000Z",1676020560000,13.65,13.5,13.65,0,100,0,,6.2,,Infinity,31100,31100,31500,,420725000,,420725000,
1949.5,-31200,-422065000,5460000,427525000,432985000,26624395.6,68085934.1,0.2,5050.5,2.2,0,,-500,-6800000,13.6,"2023-02-10T09:20:00.000Z",1676020800000,13.6,13.6,13.6,0,100,0,,0.1,,Infinity,500,500,32000,,6800000,,6800000,
1949.5,-31100,-420690000,6835000,427525000,434360000,26624395.6,68085934.1,0,5050.5,2.2,Infinity,100,100,1375000,13.75,"2023-02-10T09:22:00.000Z",1676020920000,13.75,13.75,13.75,100,0,0,0.1,,,0,,100,32100,,1375000,1375000,,
1949.5,-28400,-383475000,45425000,428900000,477075000,26624395.6,68085934.1,0.9,5050.5,2.2,28,2800,2700,37215000,13.75,"2023-02-10T09:24:00.000Z",1676021040000,13.8,13.75,13.75,90.3,3.2,6.5,1.4,0,90.9,0,100,3100,35200,200,42715000,38590000,1375000,2750000
1949.5,-49400,-667850000,45425000,713275000,761450000,26624395.6,68085934.1,6.9,5050.5,2.2,0,,-21000,-284375000,13.5,"2023-02-10T09:28:00.000Z",1676021280000,13.65,13.5,13.65,0,100,0,,4.2,,Infinity,21000,21000,56200,,284375000,,284375000,
1949.5,-54400,-735600000,45425000,781025000,829200000,26624395.6,68085934.1,1.6,5050.5,2.2,0,,-5000,-67750000,13.55,"2023-02-10T09:32:00.000Z",1676021520000,13.55,13.55,13.55,0,100,0,,1,,Infinity,5000,5000,61200,,67750000,,67750000,
1949.5,-53800,-727440000,56305000,783745000,842800000,26624395.6,68085934.1,0.2,5050.5,2.2,4,800,600,8160000,13.6,"2023-02-10T09:36:00.000Z",1676021760000,13.6,13.6,13.6,80,20,0,0.4,0,,0.3,200,1000,62200,,13600000,10880000,2720000,
1949.5,-54900,-742400000,69905000,812305000,884960000,26624395.6,68085934.1,0.4,5050.5,2.2,0.5,1000,-1100,-14960000,13.6,"2023-02-10T09:38:00.000Z",1676021880000,13.6,13.6,13.6,32.3,67.7,0,0.5,0.4,,2.1,2100,3100,65300,,42160000,13600000,28560000,
1949.5,-56900,-769600000,69905000,839505000,912160000,26624395.6,68085934.1,0.7,5050.5,2.2,0,,-2000,-27200000,13.6,"2023-02-10T09:42:00.000Z",1676022120000,13.6,13.6,13.6,0,100,0,,0.4,,Infinity,2000,2000,67300,,27200000,,27200000,
1949.5,-57800,-781840000,69905000,851745000,924400000,26624395.6,68085934.1,0.3,5050.5,2.2,0,,-900,-12240000,13.6,"2023-02-10T09:44:00.000Z",1676022240000,13.6,13.6,13.6,0,100,0,,0.2,,Infinity,900,900,68200,,12240000,,12240000,
1949.5,-58600,-792755000,71275000,864030000,938055000,26624395.6,68085934.1,0.3,5050.5,2.2,0.1,100,-800,-10915000,13.65,"2023-02-10T09:46:00.000Z",1676022360000,13.7,13.65,13.65,10,90,0,0.1,0.2,,9,900,1000,69200,,13655000,1370000,12285000,
1949.5,-60700,-821420000,71275000,892695000,966720000,26624395.6,68085934.1,0.7,5050.5,2.2,0,,-2100,-28665000,13.65,"2023-02-10T09:50:00.000Z",1676022600000,13.65,13.65,13.65,0,100,0,,0.4,,Infinity,2100,2100,71300,,28665000,,28665000,
1949.5,-62800,-850085000,72640000,922725000,998115000,26624395.6,68085934.1,0.7,5050.5,2.2,0,100,-2100,-28665000,13.65,"2023-02-10T09:54:00.000Z",1676022840000,13.65,13.65,13.65,4.3,95.7,0,0.1,0.4,,22,2200,2300,73600,,31395000,1365000,30030000,
1949.5,-61800,-836435000,86290000,922725000,1011765000,26624395.6,68085934.1,0.3,5050.5,2.2,Infinity,1000,1000,13650000,13.65,"2023-02-10T09:56:00.000Z",1676022960000,13.65,13.65,13.65,100,0,0,0.5,,,0,,1000,74600,,13650000,13650000,,
1949.5,-57700,-780470000,142255000,922725000,1067730000,26624395.6,68085934.1,1.3,5050.5,2.2,Infinity,4100,4100,55965000,13.65,"2023-02-10T10:00:00.000Z",1676023200000,13.65,13.65,13.65,100,0,0,2.1,,,0,,4100,78700,,55965000,55965000,,
1949.5,-45200,-609210000,316245000,925455000,1244450000,26624395.6,68085934.1,4.1,5050.5,2.2,63.5,12700,12500,171260000,13.7,"2023-02-10T10:02:00.000Z",1676023320000,13.7,13.65,13.7,98.4,1.6,0,6.5,0,,0,200,12900,91600,,176720000,173990000,2730000,
1949.5,-35400,-474460000,450995000,925455000,1379200000,26624395.6,68085934.1,3.2,5050.5,2.2,Infinity,9800,9800,134750000,13.75,"2023-02-10T10:06:00.000Z",1676023560000,13.75,13.75,13.75,100,0,0,5,,,0,,9800,101400,,134750000,134750000,,
1949.5,-39300,-527940000,491015000,1018955000,1512720000,26624395.6,68085934.1,1.3,5050.5,2.2,0.4,2900,-3900,-53480000,13.75,"2023-02-10T10:08:00.000Z",1676023680000,13.8,13.75,13.75,29.9,70.1,0,1.5,1.3,,2.3,6800,9700,111100,,133520000,40020000,93500000,
1949.5,-41000,-551315000,491015000,1042330000,1536095000,26624395.6,68085934.1,0.6,5050.5,2.2,0,,-1700,-23375000,13.75,"2023-02-10T10:10:00.000Z",1676023800000,13.75,13.75,13.75,0,100,0,,0.3,,Infinity,1700,1700,112800,,23375000,,23375000,
1949.5,-41100,-552690000,491015000,1043705000,1537470000,26624395.6,68085934.1,0,5050.5,2.2,0,,-100,-1375000,13.75,"2023-02-10T10:12:00.000Z",1676023920000,13.75,13.75,13.75,0,100,0,,0,,Infinity,100,100,112900,,1375000,,1375000,
1949.5,-39200,-526470000,517235000,1043705000,1563690000,26624395.6,68085934.1,0.6,5050.5,2.2,Infinity,1900,1900,26220000,13.8,"2023-02-10T10:14:00.000Z",1676024040000,13.8,13.8,13.8,100,0,0,1,,,0,,1900,114800,,26220000,26220000,,
1949.5,-32000,-427110000,616595000,1043705000,1663050000,26624395.6,68085934.1,2.4,5050.5,2.2,Infinity,7200,7200,99360000,13.8,"2023-02-10T10:16:00.000Z",1676024160000,13.8,13.8,13.8,100,0,0,3.7,,,0,,7200,122000,,99360000,99360000,,
1949.5,-28500,-378810000,664895000,1043705000,1711350000,26624395.6,68085934.1,1.2,5050.5,2.2,Infinity,3500,3500,48300000,13.8,"2023-02-10T10:18:00.000Z",1676024280000,13.8,13.8,13.8,100,0,0,1.8,,,0,,3500,125500,,48300000,48300000,,
1949.5,-29500,-392560000,664895000,1057455000,1725100000,26624395.6,68085934.1,0.3,5050.5,2.2,0,,-1000,-13750000,13.75,"2023-02-10T10:22:00.000Z",1676024520000,13.75,13.75,13.75,0,100,0,,0.2,,Infinity,1000,1000,126500,,13750000,,13750000,
1949.5,-31400,-418685000,664895000,1083580000,1751225000,26624395.6,68085934.1,0.6,5050.5,2.2,0,,-1900,-26125000,13.75,"2023-02-10T10:24:00.000Z",1676024640000,13.75,13.75,13.75,0,100,0,,0.4,,Infinity,1900,1900,128400,,26125000,,26125000,
1949.5,-30600,-407685000,675895000,1083580000,1762225000,26624395.6,68085934.1,0.3,5050.5,2.2,Infinity,800,800,11000000,13.75,"2023-02-10T10:26:00.000Z",1676024760000,13.75,13.75,13.75,100,0,0,0.4,,,0,,800,129200,,11000000,11000000,,
1949.5,-30100,-400810000,682770000,1083580000,1769100000,26624395.6,68085934.1,0.2,5050.5,2.2,Infinity,500,500,6875000,13.75,"2023-02-10T10:28:00.000Z",1676024880000,13.75,13.75,13.75,100,0,0,0.3,,,0,,500,129700,,6875000,6875000,,
1949.5,-29700,-395310000,688270000,1083580000,1774600000,26624395.6,68085934.1,0.1,5050.5,2.2,Infinity,400,400,5500000,13.75,"2023-02-10T10:30:00.000Z",1676025000000,13.75,13.75,13.75,100,0,0,0.2,,,0,,400,130100,,5500000,5500000,,
1949.5,-32200,-429565000,688270000,1117835000,1808855000,26624395.6,68085934.1,0.8,5050.5,2.2,0,,-2500,-34255000,13.7,"2023-02-10T10:34:00.000Z",1676025240000,13.75,13.7,13.75,0,100,0,,0.5,,Infinity,2500,2500,132600,,34255000,,34255000,
1949.5,-31600,-421185000,710350000,1131535000,1844635000,26624395.6,68085934.1,0.2,5050.5,2.2,1.6,1600,600,8380000,13.8,"2023-02-10T10:42:00.000Z",1676025720000,13.8,13.7,13.7,61.5,38.5,0,0.8,0.2,,0.6,1000,2600,135200,,35780000,22080000,13700000,
1949.5,-29200,-388065000,743470000,1131535000,1877755000,26624395.6,68085934.1,0.8,5050.5,2.2,Infinity,2400,2400,33120000,13.8,"2023-02-10T10:44:00.000Z",1676025840000,13.8,13.8,13.8,100,0,0,1.2,,,0,,2400,137600,,33120000,33120000,,
1949.5,-31000,-412725000,743470000,1156195000,1902415000,26624395.6,68085934.1,0.6,5050.5,2.2,0,,-1800,-24660000,13.7,"2023-02-10T10:50:00.000Z",1676026200000,13.7,13.7,13.7,0,100,0,,0.4,,Infinity,1800,1800,139400,,24660000,,24660000,
1949.5,-31400,-418185000,743470000,1161655000,1907875000,26624395.6,68085934.1,0.1,5050.5,2.2,0,,-400,-5460000,13.65,"2023-02-10T10:52:00.000Z",1676026320000,13.65,13.65,13.65,0,100,0,,0.1,,Infinity,400,400,139800,,5460000,,5460000,
1949.5,-33700,-449445000,748930000,1198375000,1950055000,26624395.6,68085934.1,0.8,5050.5,2.2,0.1,400,-2300,-31260000,13.6,"2023-02-10T10:54:00.000Z",1676026440000,13.65,13.6,13.65,12.9,87.1,0,0.2,0.5,,6.8,2700,3100,142900,,42180000,5460000,36720000,
1949.5,-36600,-488885000,748930000,1237815000,1989495000,26624395.6,68085934.1,1,5050.5,2.2,0,,-2900,-39440000,13.6,"2023-02-10T10:56:00.000Z",1676026560000,13.6,13.6,13.6,0,100,0,,0.6,,Infinity,2900,2900,145800,,39440000,,39440000,
1949.5,-41600,-556885000,748930000,1305815000,2057495000,26624395.6,68085934.1,1.6,5050.5,2.2,0,,-5000,-68000000,13.6,"2023-02-10T10:58:00.000Z",1676026680000,13.6,13.6,13.6,0,100,0,,1,,Infinity,5000,5000,150800,,68000000,,68000000,
1949.5,-46600,-624885000,748930000,1373815000,2125495000,26624395.6,68085934.1,1.6,5050.5,2.2,0,,-5000,-68000000,13.6,"2023-02-10T11:00:00.000Z",1676026800000,13.6,13.6,13.6,0,100,0,,1,,Infinity,5000,5000,155800,,68000000,,68000000,
1949.5,-51600,-692885000,748930000,1441815000,2193495000,26624395.6,68085934.1,1.6,5050.5,2.2,0,,-5000,-68000000,13.6,"2023-02-10T11:02:00.000Z",1676026920000,13.6,13.6,13.6,0,100,0,,1,,Infinity,5000,5000,160800,,68000000,,68000000,
1949.5,-54400,-730965000,751650000,1482615000,2237015000,26624395.6,68085934.1,0.9,5050.5,2.2,0.1,200,-2800,-38080000,13.6,"2023-02-10T11:04:00.000Z",1676027040000,13.6,13.6,13.6,6.3,93.8,0,0.1,0.6,,15,3000,3200,164000,,43520000,2720000,40800000,
1949.5,-59000,-793295000,751650000,1544945000,2299345000,26624395.6,68085934.1,1.5,5050.5,2.2,0,,-4600,-62330000,13.55,"2023-02-10T11:08:00.000Z",1676027280000,13.55,13.55,13.55,0,100,0,,0.9,,Infinity,4600,4600,168600,,62330000,,62330000,
1949.5,-58700,-789230000,773330000,1562560000,2338640000,26624395.6,68085934.1,0.1,5050.5,2.2,1.2,1600,300,4065000,13.55,"2023-02-10T11:10:00.000Z",1676027400000,13.55,13.55,13.55,55.2,44.8,0,0.8,0.3,,0.8,1300,2900,171500,,39295000,21680000,17615000,
1949.5,-59000,-793295000,773330000,1566625000,2342705000,26624395.6,68085934.1,0.1,5050.5,2.2,0,,-300,-4065000,13.55,"2023-02-10T11:12:00.000Z",1676027520000,13.55,13.55,13.55,0,100,0,,0.1,,Infinity,300,300,171800,,4065000,,4065000,
1949.5,-62000,-833945000,773330000,1607275000,2383355000,26624395.6,68085934.1,1,5050.5,2.2,0,,-3000,-40650000,13.55,"2023-02-10T11:14:00.000Z",1676027640000,13.55,13.55,13.55,0,100,0,,0.6,,Infinity,3000,3000,174800,,40650000,,40650000,
1949.5,-96000,-1292965000,777380000,2070345000,2850475000,26624395.6,68085934.1,11.1,5050.5,2.2,0,300,-34000,-459020000,13.5,"2023-02-10T11:16:00.000Z",1676027760000,13.55,13.5,13.55,0.9,99.1,0,0.2,6.8,,114.3,34300,34600,209400,,467120000,4050000,463070000,
1949.5,-101000,-1360175000,777380000,2137555000,2917685000,26624395.6,68085934.1,1.6,5050.5,2.2,0,,-5000,-67210000,13.4,"2023-02-10T11:18:00.000Z",1676027880000,13.45,13.4,13.45,0,100,0,,1,,Infinity,5000,5000,214400,,67210000,,67210000,
1949.5,-104600,-1408420000,790830000,2199250000,2992830000,26624395.6,68085934.1,1.2,5050.5,2.2,0.2,1000,-3600,-48245000,13.4,"2023-02-10T11:20:00.000Z",1676028000000,13.45,13.4,13.45,17.9,82.1,0,0.5,0.9,,4.6,4600,5600,220000,,75145000,13450000,61695000,
1949.5,-116400,-1566600000,845770000,2412370000,3260890000,26624395.6,68085934.1,3.8,5050.5,2.2,0.3,4100,-11800,-158180000,13.4,"2023-02-10T11:24:00.000Z",1676028240000,13.45,13.4,13.45,20.5,79.5,0,2.1,3.1,,3.9,15900,20000,240000,,268060000,54940000,213120000,
1949.5,-121500,-1634940000,845770000,2480710000,3329230000,26624395.6,68085934.1,1.6,5050.5,2.2,0,,-5100,-68340000,13.4,"2023-02-10T11:26:00.000Z",1676028360000,13.4,13.4,13.4,0,100,0,,1,,Infinity,5100,5100,245100,,68340000,,68340000,
1949.5,-121800,-1638930000,848490000,2487420000,3338660000,26624395.6,68085934.1,0.1,5050.5,2.2,0.4,200,-300,-3990000,13.6,"2023-02-10T11:28:00.000Z",1676028480000,13.6,13.4,13.45,28.6,71.4,0,0.1,0.1,,2.5,500,700,245800,,9430000,2720000,6710000,
1949.5,-96800,-1297260000,1190160000,2487420000,3680330000,26624395.6,68085934.1,8.2,5050.5,2.2,Infinity,25000,25000,341670000,13.7,"2023-02-10T13:00:00.000Z",1676034000000,13.7,13.55,13.55,100,0,0,12.8,,,0,,25000,270800,,341670000,341670000,,
1949.5,-88300,-1180545000,1320575000,2501120000,3824445000,26624395.6,68085934.1,2.8,5050.5,2.2,9.5,9500,8500,116715000,13.75,"2023-02-10T13:02:00.000Z",1676034120000,13.75,13.7,13.7,90.5,9.5,0,4.9,0.2,,0.1,1000,10500,281300,,144115000,130415000,13700000,
1949.5,-93300,-1247920000,1320575000,2568495000,3891820000,26624395.6,68085934.1,1.6,5050.5,2.2,0,,-5000,-67375000,13.4,"2023-02-10T13:06:00.000Z",1676034360000,13.55,13.4,13.55,0,100,0,,1,,Infinity,5000,5000,286300,,67375000,,67375000,
1949.5,-95000,-1270785000,1320575000,2591360000,3914685000,26624395.6,68085934.1,0.6,5050.5,2.2,0,,-1700,-22865000,13.45,"2023-02-10T13:10:00.000Z",1676034600000,13.45,13.45,13.45,0,100,0,,0.3,,Infinity,1700,1700,288000,,22865000,,22865000,
1949.5,-97400,-1303190000,1320575000,2623765000,3947090000,26624395.6,68085934.1,0.8,5050.5,2.2,0,,-2400,-32405000,13.5,"2023-02-10T13:12:00.000Z",1676034720000,13.55,13.5,13.5,0,100,0,,0.5,,Infinity,2400,2400,290400,,32405000,,32405000,
1949.5,-97300,-1301825000,1321940000,2623765000,3948455000,26624395.6,68085934.1,0,5050.5,2.2,Infinity,100,100,1365000,13.65,"2023-02-10T13:16:00.000Z",1676034960000,13.65,13.65,13.65,100,0,0,0.1,,,0,,100,290500,,1365000,1365000,,
1949.5,-96800,-1295025000,1328740000,2623765000,3955255000,26624395.6,68085934.1,0.2,5050.5,2.2,Infinity,500,500,6800000,13.6,"2023-02-10T13:18:00.000Z",1676035080000,13.6,13.6,13.6,100,0,0,0.3,,,0,,500,291000,,6800000,6800000,,
1949.5,-101100,-1353065000,1328740000,2681805000,4013295000,26624395.6,68085934.1,1.4,5050.5,2.2,0,,-4300,-58040000,13.45,"2023-02-10T13:20:00.000Z",1676035200000,13.55,13.45,13.55,0,100,0,,0.9,,Infinity,4300,4300,295300,,58040000,,58040000,
1949.5,-113700,-1522165000,1412440000,2934605000,4349795000,26624395.6,68085934.1,4.1,5050.5,2.2,0.3,6200,-12600,-169100000,13.5,"2023-02-10T13:22:00.000Z",1676035320000,13.5,13.4,13.4,24.8,75.2,0,3.2,3.7,,3,18800,25000,320300,,336500000,83700000,252800000,
1949.5,-116300,-1557265000,1416490000,2973755000,4392995000,26624395.6,68085934.1,0.8,5050.5,2.2,0.1,300,-2600,-35100000,13.5,"2023-02-10T13:24:00.000Z",1676035440000,13.5,13.5,13.5,9.4,90.6,0,0.2,0.6,,9.7,2900,3200,323500,,43200000,4050000,39150000,
1949.5,-117400,-1572055000,1417840000,2989895000,4410485000,26624395.6,68085934.1,0.4,5050.5,2.2,0.1,100,-1100,-14790000,13.45,"2023-02-10T13:26:00.000Z",1676035560000,13.5,13.45,13.5,7.7,92.3,0,0.1,0.2,,12,1200,1300,324800,,17490000,1350000,16140000,
1949.5,-115500,-1546445000,1443450000,2989895000,4436095000,26624395.6,68085934.1,0.6,5050.5,2.2,Infinity,1900,1900,25610000,13.5,"2023-02-10T13:28:00.000Z",1676035680000,13.5,13.45,13.45,100,0,0,1,,,0,,1900,326700,,25610000,25610000,,
1949.5,-115600,-1547765000,1458330000,3006095000,4467175000,26624395.6,68085934.1,0,5050.5,2.2,0.9,1100,-100,-1320000,13.55,"2023-02-10T13:30:00.000Z",1676035800000,13.55,13.5,13.5,47.8,52.2,0,0.6,0.2,,1.1,1200,2300,329000,,31080000,14880000,16200000,
1949.5,-112400,-1504235000,1504570000,3008805000,4516125000,26624395.6,68085934.1,1,5050.5,2.2,17,3400,3200,43530000,13.55,"2023-02-10T13:32:00.000Z",1676035920000,13.6,13.55,13.6,94.4,5.6,0,1.7,0,,0.1,200,3600,332600,,48950000,46240000,2710000,
1949.5,-112100,-1500055000,1535850000,3035905000,4574505000,26624395.6,68085934.1,0.1,5050.5,2.2,1.2,2300,300,4180000,13.6,"2023-02-10T13:34:00.000Z",1676036040000,13.6,13.55,13.55,53.5,46.5,0,1.2,0.4,,0.9,2000,4300,336900,,58380000,31280000,27100000,
1949.5,-111600,-1493240000,1553545000,3046785000,4603080000,26624395.6,68085934.1,0.2,5050.5,2.2,1.6,1300,500,6815000,13.6,"2023-02-10T13:36:00.000Z",1676036160000,13.65,13.6,13.6,61.9,38.1,0,0.7,0.2,,0.6,800,2100,339000,,28575000,17695000,10880000,
1949.5,-112600,-1506800000,1558985000,3065785000,4627520000,26624395.6,68085934.1,0.3,5050.5,2.2,0.3,400,-1000,-13560000,13.55,"2023-02-10T13:38:00.000Z",1676036280000,13.6,13.55,13.55,22.2,77.8,0,0.2,0.3,,3.5,1400,1800,340800,,24440000,5440000,19000000,
1949.5,-117700,-1575905000,1558985000,3134890000,4696625000,26624395.6,68085934.1,1.7,5050.5,2.2,0,,-5100,-69105000,13.55,"2023-02-10T13:40:00.000Z",1676036400000,13.55,13.55,13.55,0,100,0,,1,,Infinity,5100,5100,345900,,69105000,,69105000,
1949.5,-118200,-1582655000,1567085000,3149740000,4719575000,26624395.6,68085934.1,0.2,5050.5,2.2,0.5,600,-500,-6750000,13.5,"2023-02-10T13:42:00.000Z",1676036520000,13.5,13.5,13.5,35.3,64.7,0,0.3,0.2,,1.8,1100,1700,347600,,22950000,8100000,14850000,
1949.5,-118000,-1579940000,1571150000,3151090000,4724990000,26624395.6,68085934.1,0.1,5050.5,2.2,3,300,200,2715000,13.55,"2023-02-10T13:44:00.000Z",1676036640000,13.55,13.5,13.5,75,25,0,0.2,0,,0.3,100,400,348000,,5415000,4065000,1350000,
1949.5,-117200,-1569090000,1584700000,3153790000,4741240000,26624395.6,68085934.1,0.3,5050.5,2.2,5,1000,800,10850000,13.55,"2023-02-10T13:48:00.000Z",1676036880000,13.55,13.5,13.5,83.3,16.7,0,0.5,0,,0.2,200,1200,349200,,16250000,13550000,2700000,
1949.5,-115600,-1547410000,1606380000,3153790000,4762920000,26624395.6,68085934.1,0.5,5050.5,2.2,Infinity,1600,1600,21680000,13.55,"2023-02-10T13:50:00.000Z",1676037000000,13.55,13.55,13.55,100,0,0,0.8,,,0,,1600,350800,,21680000,21680000,,
1949.5,-112200,-1501290000,1652500000,3153790000,4809040000,26624395.6,68085934.1,1.1,5050.5,2.2,Infinity,3400,3400,46120000,13.6,"2023-02-10T13:52:00.000Z",1676037120000,13.6,13.55,13.55,100,0,0,1.7,,,0,,3400,354200,,46120000,46120000,,
1949.5,-109600,-1465930000,1742260000,3208190000,4953200000,26624395.6,68085934.1,0.9,5050.5,2.2,1.7,6600,2600,35360000,13.6,"2023-02-10T13:54:00.000Z",1676037240000,13.6,13.6,13.6,62.3,37.7,0,3.4,0.8,,0.6,4000,10600,364800,,144160000,89760000,54400000,
