"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1500,1000,5310000,5310000,0,5310000,8075714.3,6874642.9,4.4,1285.7,0,Infinity,1000,1000,5310000,5400,"2023-02-14T09:15:00.000Z",1676366100000,5400,5300,5300,100,0,0,0.7,,,0,,1000,1000,,5310000,5310000,,
1500,400,2150000,6390000,4240000,10630000,8075714.3,6874642.9,-2.6,1285.7,0,0.3,200,-600,-3160000,5300,"2023-02-14T09:20:00.000Z",1676366400000,5400,5300,5400,20,80,0,0.1,0.6,,4,800,1000,2000,,5320000,1080000,4240000,
1500,200,1090000,6390000,5300000,11690000,8075714.3,6874642.9,-0.9,1285.7,0,0,,-200,-1060000,5300,"2023-02-14T09:35:00.000Z",1676367300000,5300,5300,5300,0,100,0,,0.2,,Infinity,200,200,2200,,1060000,,1060000,
1500,-8800,-46610000,6390000,53000000,59390000,8075714.3,6874642.9,-39.7,1285.7,0,0,,-9000,-47700000,5300,"2023-02-14T09:50:00.000Z",1676368200000,5300,5300,5300,0,100,0,,7,,Infinity,9000,9000,11200,,47700000,,47700000,
1500,-2900,-15340000,37660000,53000000,90660000,8075714.3,6874642.9,26,1285.7,0,Infinity,5900,5900,31270000,5300,"2023-02-14T10:00:00.000Z",1676368800000,5300,5300,5300,100,0,0,3.9,,,0,,5900,17100,,31270000,31270000,,
1500,-5300,-27820000,37660000,65480000,103140000,8075714.3,6874642.9,-10.4,1285.7,0,0,,-2400,-12480000,5200,"2023-02-14T10:05:00.000Z",1676369100000,5200,5200,5200,0,100,0,,1.9,,Infinity,2400,2400,19500,,12480000,,12480000,
1500,-5200,-27280000,38200000,65480000,103680000,8075714.3,6874642.9,0.4,1285.7,0,Infinity,100,100,540000,5400,"2023-02-14T10:10:00.000Z",1676369400000,5400,5400,5400,100,0,0,0.1,,,0,,100,19600,,540000,540000,,
1500,-5300,-27810000,38200000,66010000,104210000,8075714.3,6874642.9,-0.4,1285.7,0,0,,-100,-530000,5300,"2023-02-14T10:15:00.000Z",1676369700000,5300,5300,5300,0,100,0,,0.1,,Infinity,100,100,19700,,530000,,530000,
1500,-8500,-44770000,38200000,82970000,121170000,8075714.3,6874642.9,-14.1,1285.7,0,0,,-3200,-16960000,5300,"2023-02-14T10:30:00.000Z",1676370600000,5300,5300,5300,0,100,0,,2.5,,Infinity,3200,3200,22900,,16960000,,16960000,
1500,-5500,-28570000,54400000,82970000,137370000,8075714.3,6874642.9,13.5,1285.7,0,Infinity,3000,3000,16200000,5400,"2023-02-14T10:35:00.000Z",1676370900000,5400,5400,5400,100,0,0,2,,,0,,3000,25900,,16200000,16200000,,
1500,14400,78910000,162940000,84030000,246970000,8075714.3,6874642.9,89.5,1285.7,0,100.5,20100,19900,107480000,5300,"2023-02-14T10:40:00.000Z",1676371200000,5400,5300,5300,99,1,0,13.4,0.2,,0,200,20300,46200,,109600000,108540000,1060000,
1500,15700,85950000,171040000,85090000,256130000,8075714.3,6874642.9,5.9,1285.7,0,7.5,1500,1300,7040000,5300,"2023-02-14T10:45:00.000Z",1676371500000,5400,5300,5400,88.2,11.8,0,1,0.2,,0.1,200,1700,47900,,9160000,8100000,1060000,
1500,14100,77310000,171040000,93730000,264770000,8075714.3,6874642.9,-7.2,1285.7,0,0,,-1600,-8640000,5400,"2023-02-14T10:50:00.000Z",1676371800000,5400,5400,5400,0,100,0,,1.2,,Infinity,1600,1600,49500,,8640000,,8640000,
1500,11100,61110000,171040000,109930000,280970000,8075714.3,6874642.9,-13.5,1285.7,0,0,,-3000,-16200000,5400,"2023-02-14T10:55:00.000Z",1676372100000,5400,5400,5400,0,100,0,,2.3,,Infinity,3000,3000,52500,,16200000,,16200000,
1500,7700,42750000,171040000,128290000,299330000,8075714.3,6874642.9,-15.3,1285.7,0,0,,-3400,-18360000,5400,"2023-02-14T11:00:00.000Z",1676372400000,5400,5400,5400,0,100,0,,2.6,,Infinity,3400,3400,55900,,18360000,,18360000,
1500,7400,41130000,171040000,129910000,300950000,8075714.3,6874642.9,-1.3,1285.7,0,0,,-300,-1620000,5400,"2023-02-14T11:20:00.000Z",1676373600000,5400,5400,5400,0,100,0,,0.2,,Infinity,300,300,56200,,1620000,,1620000,
1500,6900,38430000,171040000,132610000,303650000,8075714.3,6874642.9,-2.2,1285.7,0,0,,-500,-2700000,5400,"2023-02-14T11:25:00.000Z",1676373900000,5400,5400,5400,0,100,0,,0.4,,Infinity,500,500,56700,,2700000,,2700000,
1500,-2600,-12870000,171040000,183910000,354950000,8075714.3,6874642.9,-42.7,1285.7,0,0,,-9500,-51300000,5400,"2023-02-14T13:10:00.000Z",1676380200000,5400,5400,5400,0,100,0,,7.4,,Infinity,9500,9500,66200,,51300000,,51300000,
1500,-3600,-18270000,171040000,189310000,360350000,8075714.3,6874642.9,-4.5,1285.7,0,0,,-1000,-5400000,5400,"2023-02-14T13:15:00.000Z",1676380500000,5400,5400,5400,0,100,0,,0.8,,Infinity,1000,1000,67200,,5400000,,5400000,
1500,-3700,-18800000,171040000,189840000,360880000,8075714.3,6874642.9,-0.4,1285.7,0,0,,-100,-530000,5300,"2023-02-14T13:25:00.000Z",1676381100000,5300,5300,5300,0,100,0,,0.1,,Infinity,100,100,67300,,530000,,530000,
1500,-4100,-20920000,171040000,191960000,363000000,8075714.3,6874642.9,-1.8,1285.7,0,0,,-400,-2120000,5300,"2023-02-14T13:35:00.000Z",1676381700000,5300,5300,5300,0,100,0,,0.3,,Infinity,400,400,67700,,2120000,,2120000,
1500,-4000,-20380000,171580000,191960000,363540000,8075714.3,6874642.9,0.4,1285.7,0,Infinity,100,100,540000,5400,"2023-02-14T13:50:00.000Z",1676382600000,5400,5400,5400,100,0,0,0.1,,,0,,100,67800,,540000,540000,,
1500,-3800,-19300000,172660000,191960000,364620000,8075714.3,6874642.9,0.9,1285.7,0,Infinity,200,200,1080000,5400,"2023-02-14T14:00:00.000Z",1676383200000,5400,5400,5400,100,0,0,0.1,,,0,,200,68000,,1080000,1080000,,
1500,-3600,-18220000,173740000,191960000,365700000,8075714.3,6874642.9,0.9,1285.7,0,Infinity,200,200,1080000,5400,"2023-02-14T14:05:00.000Z",1676383500000,5400,5400,5400,100,0,0,0.1,,,0,,200,68200,,1080000,1080000,,
1500,-3500,-17680000,174280000,191960000,366240000,8075714.3,6874642.9,0.4,1285.7,0,Infinity,100,100,540000,5400,"2023-02-14T14:10:00.000Z",1676383800000,5400,5400,5400,100,0,0,0.1,,,0,,100,68300,,540000,540000,,
1500,-3200,-16060000,175900000,191960000,367860000,8075714.3,6874642.9,1.3,1285.7,0,Infinity,300,300,1620000,5400,"2023-02-14T14:15:00.000Z",1676384100000,5400,5400,5400,100,0,0,0.2,,,0,,300,68600,,1620000,1620000,,
1500,6100,34160000,226120000,191960000,418080000,8075714.3,6874642.9,41.8,1285.7,0,Infinity,9300,9300,50220000,5400,"2023-02-14T14:30:00.000Z",1676385000000,5400,5400,5400,100,0,0,6.2,,,0,,9300,77900,,50220000,50220000,,
1500,6000,33630000,226120000,192490000,418610000,8075714.3,6874642.9,-0.4,1285.7,0,0,,-100,-530000,5300,"2023-02-14T14:35:00.000Z",1676385300000,5300,5300,5300,0,100,0,,0.1,,Infinity,100,100,78000,,530000,,530000,
