"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
4530,-100,-150000,0,150000,150000,7248000,2860000,0,1906.7,0,0,,-100,-150000,1500,"2023-02-17T09:20:00.000Z",1676625600000,1500,1500,1500,0,100,0,,0.1,,Infinity,100,100,100,,150000,,150000,
4530,0,20000,320000,300000,620000,7248000,2860000,0,1906.7,0,2,200,100,170000,1600,"2023-02-17T09:25:00.000Z",1676625900000,1600,1500,1500,66.7,33.3,0,0,0.1,,0.5,100,300,400,,470000,320000,150000,
4530,5300,8500000,8800000,300000,9100000,7248000,2860000,1.9,1906.7,0,Infinity,5300,5300,8480000,1600,"2023-02-17T09:30:00.000Z",1676626200000,1600,1600,1600,100,0,0,1.2,,,0,,5300,5700,,8480000,8480000,,
4530,10300,16500000,16800000,300000,17100000,7248000,2860000,1.8,1906.7,0,Infinity,5000,5000,8000000,1600,"2023-02-17T09:40:00.000Z",1676626800000,1600,1600,1600,100,0,0,1.1,,,0,,5000,10700,,8000000,8000000,,
4530,55800,89360000,90560000,1200000,91760000,7248000,2860000,16.6,1906.7,0,76.8,46100,45500,72860000,1600,"2023-02-17T09:45:00.000Z",1676627100000,1600,1500,1600,98.7,1.3,0,10.2,0.3,,0,600,46700,57400,,74660000,73760000,900000,
4530,91200,146000000,147200000,1200000,148400000,7248000,2860000,12.9,1906.7,0,Infinity,35400,35400,56640000,1600,"2023-02-17T09:50:00.000Z",1676627400000,1600,1600,1600,100,0,0,7.8,,,0,,35400,92800,,56640000,56640000,,
4530,84500,136080000,149280000,13200000,162480000,7248000,2860000,-2.3,1906.7,0,0.2,1300,-6700,-9920000,1500,"2023-02-17T09:55:00.000Z",1676627700000,1600,1500,1600,14,86,0,0.3,4.2,,6.2,8000,9300,102100,,14080000,2080000,12000000,
4530,86500,139280000,152480000,13200000,165680000,7248000,2860000,0.7,1906.7,0,Infinity,2000,2000,3200000,1600,"2023-02-17T10:00:00.000Z",1676628000000,1600,1600,1600,100,0,0,0.4,,,0,,2000,104100,,3200000,3200000,,
4530,86600,139440000,152640000,13200000,165840000,7248000,2860000,0,1906.7,0,Infinity,100,100,160000,1600,"2023-02-17T10:05:00.000Z",1676628300000,1600,1600,1600,100,0,0,0,,,0,,100,104200,,160000,160000,,
4530,90100,145040000,158240000,13200000,171440000,7248000,2860000,1.3,1906.7,0,Infinity,3500,3500,5600000,1600,"2023-02-17T10:10:00.000Z",1676628600000,1600,1600,1600,100,0,0,0.8,,,0,,3500,107700,,5600000,5600000,,
4530,90200,145200000,158400000,13200000,171600000,7248000,2860000,0,1906.7,0,Infinity,100,100,160000,1600,"2023-02-17T10:20:00.000Z",1676629200000,1600,1600,1600,100,0,0,0,,,0,,100,107800,,160000,160000,,
4530,90300,145360000,158560000,13200000,171760000,7248000,2860000,0,1906.7,0,Infinity,100,100,160000,1600,"2023-02-17T10:25:00.000Z",1676629500000,1600,1600,1600,100,0,0,0,,,0,,100,107900,,160000,160000,,
4530,73100,119560000,158560000,39000000,197560000,7248000,2860000,-5.9,1906.7,0,0,,-17200,-25800000,1500,"2023-02-17T10:40:00.000Z",1676630400000,1500,1500,1500,0,100,0,,9,,Infinity,17200,17200,125100,,25800000,,25800000,
4530,93100,151560000,190560000,39000000,229560000,7248000,2860000,7.3,1906.7,0,Infinity,20000,20000,32000000,1600,"2023-02-17T10:45:00.000Z",1676630700000,1600,1600,1600,100,0,0,4.4,,,0,,20000,145100,,32000000,32000000,,
4530,93300,151880000,190880000,39000000,229880000,7248000,2860000,0.1,1906.7,0,Infinity,200,200,320000,1600,"2023-02-17T10:50:00.000Z",1676631000000,1600,1600,1600,100,0,0,0,,,0,,200,145300,,320000,320000,,
4530,79500,131180000,190880000,59700000,250580000,7248000,2860000,-4.7,1906.7,0,0,,-13800,-20700000,1500,"2023-02-17T11:05:00.000Z",1676631900000,1500,1500,1500,0,100,0,,7.2,,Infinity,13800,13800,159100,,20700000,,20700000,
4530,79700,131500000,191200000,59700000,250900000,7248000,2860000,0.1,1906.7,0,Infinity,200,200,320000,1600,"2023-02-17T11:25:00.000Z",1676633100000,1600,1600,1600,100,0,0,0,,,0,,200,159300,,320000,320000,,
4530,89700,147500000,207200000,59700000,266900000,7248000,2860000,3.6,1906.7,0,Infinity,10000,10000,16000000,1600,"2023-02-17T13:00:00.000Z",1676638800000,1600,1600,1600,100,0,0,2.2,,,0,,10000,169300,,16000000,16000000,,
4530,89900,147820000,207520000,59700000,267220000,7248000,2860000,0.1,1906.7,0,Infinity,200,200,320000,1600,"2023-02-17T13:10:00.000Z",1676639400000,1600,1600,1600,100,0,0,0,,,0,,200,169500,,320000,320000,,
4530,93700,153900000,213600000,59700000,273300000,7248000,2860000,1.4,1906.7,0,Infinity,3800,3800,6080000,1600,"2023-02-17T13:30:00.000Z",1676640600000,1600,1600,1600,100,0,0,0.8,,,0,,3800,173300,,6080000,6080000,,
4530,86500,143100000,213600000,70500000,284100000,7248000,2860000,-2.5,1906.7,0,0,,-7200,-10800000,1500,"2023-02-17T13:50:00.000Z",1676641800000,1500,1500,1500,0,100,0,,3.8,,Infinity,7200,7200,180500,,10800000,,10800000,
4530,85800,142050000,213600000,71550000,285150000,7248000,2860000,-0.2,1906.7,0,0,,-700,-1050000,1500,"2023-02-17T13:55:00.000Z",1676642100000,1500,1500,1500,0,100,0,,0.4,,Infinity,700,700,181200,,1050000,,1050000,
4530,84900,140700000,213600000,72900000,286500000,7248000,2860000,-0.3,1906.7,0,0,,-900,-1350000,1500,"2023-02-17T14:00:00.000Z",1676642400000,1500,1500,1500,0,100,0,,0.5,,Infinity,900,900,182100,,1350000,,1350000,
4530,83900,139200000,213600000,74400000,288000000,7248000,2860000,-0.3,1906.7,0,0,,-1000,-1500000,1500,"2023-02-17T14:05:00.000Z",1676642700000,1500,1500,1500,0,100,0,,0.5,,Infinity,1000,1000,183100,,1500000,,1500000,
4530,83500,138620000,213920000,75300000,289220000,7248000,2860000,-0.1,1906.7,0,0.3,200,-400,-580000,1600,"2023-02-17T14:10:00.000Z",1676643000000,1600,1500,1500,25,75,0,0,0.3,,3,600,800,183900,,1220000,320000,900000,
4530,80900,134720000,213920000,79200000,293120000,7248000,2860000,-0.9,1906.7,0,0,,-2600,-3900000,1500,"2023-02-17T14:20:00.000Z",1676643600000,1500,1500,1500,0,100,0,,1.4,,Infinity,2600,2600,186500,,3900000,,3900000,
4530,81000,134880000,214080000,79200000,293280000,7248000,2860000,0,1906.7,0,Infinity,100,100,160000,1600,"2023-02-17T14:35:00.000Z",1676644500000,1600,1600,1600,100,0,0,0,,,0,,100,186600,,160000,160000,,
4530,81100,135040000,214240000,79200000,293440000,7248000,2860000,0,1906.7,0,Infinity,100,100,160000,1600,"2023-02-17T14:40:00.000Z",1676644800000,1600,1600,1600,100,0,0,0,,,0,,100,186700,,160000,160000,,
4530,83100,138240000,217440000,79200000,296640000,7248000,2860000,0.7,1906.7,0,Infinity,2000,2000,3200000,1600,"2023-02-17T14:50:00.000Z",1676645400000,1600,1600,1600,100,0,0,0.4,,,0,,2000,188700,,3200000,3200000,,
4530,78700,131640000,217440000,85800000,303240000,7248000,2860000,-1.5,1906.7,0,0,,-4400,-6600000,1500,"2023-02-17T14:55:00.000Z",1676645700000,1500,1500,1500,0,100,0,,2.3,,Infinity,4400,4400,193100,,6600000,,6600000,
