"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
7797.8,-3000,-227090000,450720000,677810000,1128530000,593237608.7,686950000,2.4,9056.5,37,0.7,5900,-3000,-227090000,76400,"2023-02-17T09:15:00.000Z",1676625300000,76400,76100,76100,39.9,60.1,0,0.8,1,,1.5,8900,14800,14800,,1128530000,450720000,677810000,
7797.8,-2800,-210660000,840260000,1050920000,1891180000,593237608.7,686950000,-0.2,9056.5,37,1,5100,200,16430000,76400,"2023-02-17T09:20:00.000Z",1676625600000,76400,76100,76200,51,49,0,0.7,0.5,,1,4900,10000,24800,,762650000,389540000,373110000,
7797.8,-3400,-255730000,1176110000,1431840000,2607950000,593237608.7,686950000,0.5,9056.5,37,0.9,4400,-600,-45070000,76300,"2023-02-17T09:25:00.000Z",1676625900000,76400,76100,76400,46.8,53.2,0,0.6,0.6,,1.1,5000,9400,34200,,716770000,335850000,380920000,
7797.8,-6500,-491030000,1610450000,2101480000,3711930000,593237608.7,686950000,2.5,9056.5,37,0.6,5700,-3100,-235300000,76200,"2023-02-17T09:30:00.000Z",1676626200000,76200,76000,76200,39.3,60.7,0,0.7,1,,1.5,8800,14500,48700,,1103980000,434340000,669640000,
7797.8,-1100,-79200000,2098360000,2177560000,4275920000,593237608.7,686950000,-4.4,9056.5,37,6.4,6400,5400,411830000,76300,"2023-02-17T09:35:00.000Z",1676626500000,76300,76000,76200,86.5,13.5,0,0.8,0.1,,0.2,1000,7400,56100,,563990000,487910000,76080000,
7797.8,3700,287080000,2495120000,2208040000,4703160000,593237608.7,686950000,-3.9,9056.5,37,13,5200,4800,366280000,76300,"2023-02-17T09:40:00.000Z",1676626800000,76300,76200,76300,92.9,7.1,0,0.7,0,,0.1,400,5600,61700,,427240000,396760000,30480000,
7797.8,9000,691450000,3165830000,2474380000,5640210000,593237608.7,686950000,-4.3,9056.5,37,2.5,8800,5300,404370000,76300,"2023-02-17T09:45:00.000Z",1676627100000,76300,76000,76300,71.5,28.5,0,1.1,0.4,,0.4,3500,12300,74000,,937050000,670710000,266340000,
7797.8,17200,1318210000,4272010000,2953800000,7225810000,593237608.7,686950000,-6.7,9056.5,37,2.3,14500,8200,626760000,76000,"2023-02-17T09:50:00.000Z",1676627400000,76300,76000,76200,69.7,30.3,0,1.9,0.7,,0.4,6300,20800,94800,,1585600000,1106180000,479420000,
7797.8,20900,1600810000,4744610000,3143800000,7888410000,593237608.7,686950000,-3,9056.5,37,2.5,6200,3700,282600000,76300,"2023-02-17T09:55:00.000Z",1676627700000,76300,76000,76200,71.3,28.7,0,0.8,0.3,,0.4,2500,8700,103500,,662600000,472600000,190000000,
7797.8,14400,1107750000,5087610000,3979860000,9067470000,593237608.7,686950000,5.3,9056.5,37,0.4,4500,-6500,-493060000,76200,"2023-02-17T10:00:00.000Z",1676628000000,76300,76000,76300,29,71,0,0.6,1.2,,2.4,11000,15500,119000,,1179060000,343000000,836060000,
7797.8,12200,940830000,5468610000,4527780000,9996390000,593237608.7,686950000,1.8,9056.5,37,0.7,5000,-2200,-166920000,76200,"2023-02-17T10:05:00.000Z",1676628300000,76200,76100,76200,41,59,0,0.6,0.8,,1.4,7200,12200,131200,,928920000,381000000,547920000,
7797.8,10400,804400000,5788620000,4984220000,10772840000,593237608.7,686950000,1.5,9056.5,37,0.7,4200,-1800,-136430000,76000,"2023-02-17T10:10:00.000Z",1676628600000,76200,76000,76200,41.2,58.8,0,0.5,0.7,,1.4,6000,10200,141400,,776450000,320010000,456440000,
7797.8,13100,1011040000,6375280000,5364240000,11739520000,593237608.7,686950000,-2.2,9056.5,37,1.5,7700,2700,206640000,76200,"2023-02-17T10:15:00.000Z",1676628900000,76200,76000,76100,60.6,39.4,0,1,0.6,,0.6,5000,12700,154100,,966680000,586660000,380020000,
7797.8,17900,1376800000,6741040000,5364240000,12105280000,593237608.7,686950000,-3.9,9056.5,37,Infinity,4800,4800,365760000,76200,"2023-02-17T10:20:00.000Z",1676629200000,76200,76200,76200,100,0,0,0.6,,,0,,4800,158900,,365760000,365760000,,
7797.8,37700,2885860000,8280580000,5394720000,13675300000,593237608.7,686950000,-16.1,9056.5,37,50.5,20200,19800,1509060000,76300,"2023-02-17T10:25:00.000Z",1676629500000,76300,76200,76200,98.1,1.9,0,2.6,0,,0,400,20600,179500,,1570020000,1539540000,30480000,
7797.8,28600,2195050000,8623560000,6428510000,15052070000,593237608.7,686950000,7.4,9056.5,37,0.3,4500,-9100,-690810000,76200,"2023-02-17T10:30:00.000Z",1676629800000,76300,76000,76300,24.9,75.1,0,0.6,1.5,,3,13600,18100,197600,,1376770000,342980000,1033790000,
7797.8,24600,1892130000,9035040000,7142910000,16177950000,593237608.7,686950000,3.2,9056.5,37,0.6,5400,-4000,-302920000,76200,"2023-02-17T10:35:00.000Z",1676630100000,76200,76000,76200,36.5,63.5,0,0.7,1,,1.7,9400,14800,212400,,1125880000,411480000,714400000,
7797.8,27400,2106170000,9476970000,7370800000,16847770000,593237608.7,686950000,-2.3,9056.5,37,1.9,5800,2800,214040000,76100,"2023-02-17T10:40:00.000Z",1676630400000,76200,75900,76000,65.9,34.1,0,0.7,0.3,,0.5,3000,8800,221200,,669820000,441930000,227890000,
7797.8,32200,2471950000,9850350000,7378400000,17228750000,593237608.7,686950000,-3.9,9056.5,37,49,4900,4800,365780000,76200,"2023-02-17T10:45:00.000Z",1676630700000,76200,76000,76200,98,2,0,0.6,0,,0,100,5000,226200,,380980000,373380000,7600000,
7797.8,31200,2397200000,10231340000,7834140000,18065480000,593237608.7,686950000,0.8,9056.5,37,0.8,5000,-1000,-74750000,76200,"2023-02-17T10:50:00.000Z",1676631000000,76200,75900,76200,45.5,54.5,0,0.6,0.7,,1.2,6000,11000,237200,,836730000,380990000,455740000,
7797.8,32900,2527360000,10604720000,8077360000,18682080000,593237608.7,686950000,-1.4,9056.5,37,1.5,4900,1700,130160000,76200,"2023-02-17T10:55:00.000Z",1676631300000,76200,76000,76000,60.5,39.5,0,0.6,0.4,,0.7,3200,8100,245300,,616600000,373380000,243220000,
7797.8,23100,1783470000,11023650000,9240180000,20263830000,593237608.7,686950000,7.9,9056.5,37,0.4,5500,-9800,-743890000,76100,"2023-02-17T11:00:00.000Z",1676631600000,76200,76000,76200,26.4,73.6,0,0.7,1.7,,2.8,15300,20800,266100,,1581750000,418930000,1162820000,
7797.8,19200,1487500000,11350880000,9863380000,21214260000,593237608.7,686950000,3.2,9056.5,37,0.5,4300,-3900,-295970000,76000,"2023-02-17T11:05:00.000Z",1676631900000,76100,76000,76100,34.4,65.6,0,0.6,0.9,,1.9,8200,12500,278600,,950430000,327230000,623200000,
7797.8,12400,971330000,11716160000,10744830000,22460990000,593237608.7,686950000,5.5,9056.5,37,0.4,4800,-6800,-516170000,76100,"2023-02-17T11:10:00.000Z",1676632200000,76100,75900,76100,29.3,70.7,0,0.6,1.3,,2.4,11600,16400,295000,,1246730000,365280000,881450000,
7797.8,5800,470120000,12020550000,11550430000,23570980000,593237608.7,686950000,5.3,9056.5,37,0.4,4000,-6600,-501210000,76100,"2023-02-17T11:15:00.000Z",1676632500000,76100,76000,76100,27.4,72.6,0,0.5,1.2,,2.7,10600,14600,309600,,1109990000,304390000,805600000,
7797.8,10500,827800000,12385830000,11558030000,23943860000,593237608.7,686950000,-3.8,9056.5,37,48,4800,4700,357680000,76100,"2023-02-17T11:20:00.000Z",1676632800000,76100,76000,76000,98,2,0,0.6,0,,0,100,4900,314500,,372880000,365280000,7600000,
7797.8,4300,357570000,12613880000,12256310000,24870190000,593237608.7,686950000,5,9056.5,37,0.3,3000,-6200,-470230000,75900,"2023-02-17T11:25:00.000Z",1676633100000,76100,75900,75900,24.6,75.4,0,0.4,1,,3.1,9200,12200,326700,,926330000,228050000,698280000,
7797.8,-28000,-2090380000,13129690000,15220070000,28349760000,593237608.7,686950000,26.1,9056.5,37,0.2,6800,-32300,-2447950000,75700,"2023-02-17T13:00:00.000Z",1676638800000,76000,75600,75900,14.8,85.2,0,0.9,4.3,,5.8,39100,45900,372600,,3479570000,515810000,2963760000,
7797.8,-32200,-2406450000,13584490000,15990940000,29575430000,593237608.7,686950000,3.4,9056.5,37,0.6,6000,-4200,-316070000,75800,"2023-02-17T13:05:00.000Z",1676639100000,75800,75500,75700,37,63,0,0.8,1.1,,1.7,10200,16200,388800,,1225670000,454800000,770870000,
7797.8,-53900,-4043670000,14107950000,18151620000,32267130000,593237608.7,686950000,17.5,9056.5,37,0.2,6900,-21700,-1637220000,75700,"2023-02-17T13:10:00.000Z",1676639400000,75900,75400,75800,19.4,80.3,0.3,0.9,3.2,2.7,4.1,28600,35600,424400,100,2691700000,523460000,2160680000,7560000
7797.8,-76700,-5759830000,14569160000,20328990000,34905710000,593237608.7,686950000,18.3,9056.5,37,0.2,6100,-22800,-1716160000,75700,"2023-02-17T13:15:00.000Z",1676639700000,75700,75300,75500,17.4,82.6,0,0.8,3.2,,4.7,28900,35000,459400,,2638580000,461210000,2177370000,
7797.8,-67500,-5062880000,15568870000,20631750000,36208180000,593237608.7,686950000,-7.4,9056.5,37,3.3,13200,9200,696950000,75900,"2023-02-17T13:20:00.000Z",1676640000000,75900,75500,75700,76.7,23.3,0,1.7,0.4,,0.3,4000,17200,476600,,1302470000,999710000,302760000,
7797.8,-77800,-5838760000,16031570000,21870330000,37909460000,593237608.7,686950000,8.3,9056.5,37,0.4,6100,-10300,-775880000,75800,"2023-02-17T13:25:00.000Z",1676640300000,75900,75400,75900,27.1,72.9,0,0.8,1.8,,2.7,16400,22500,499100,,1701280000,462700000,1238580000,
7797.8,-69700,-5223390000,16880910000,22104300000,39113950000,593237608.7,686950000,-6.6,9056.5,37,3.6,11200,8100,615370000,75900,"2023-02-17T13:30:00.000Z",1676640600000,75900,75400,75800,70.4,19.5,10.1,1.4,0.3,43.2,0.3,3100,15900,515000,1600,1204490000,849340000,233970000,121180000
7797.8,-52700,-3931440000,18180460000,22111900000,40421100000,593237608.7,686950000,-13.8,9056.5,37,171,17100,17000,1291950000,76000,"2023-02-17T13:35:00.000Z",1676640900000,76100,75900,75900,99.4,0.6,0,2.2,0,,0,100,17200,532200,,1307150000,1299550000,7600000,
7797.8,-46400,-3451770000,18849900000,22301670000,41280310000,593237608.7,686950000,-5.1,9056.5,37,3.5,8800,6300,479670000,75900,"2023-02-17T13:40:00.000Z",1676641200000,76200,75900,76000,77.9,22.1,0,1.1,0.3,,0.3,2500,11300,543500,,859210000,669440000,189770000,
7797.8,-45600,-3390440000,19260090000,22650530000,42039360000,593237608.7,686950000,-0.7,9056.5,37,1.2,5400,800,61330000,75900,"2023-02-17T13:45:00.000Z",1676641500000,76000,75800,76000,54,46,0,0.7,0.5,,0.9,4600,10000,553500,,759050000,410190000,348860000,
7797.8,-35700,-2638040000,20012490000,22650530000,42791760000,593237608.7,686950000,-8,9056.5,37,Infinity,9900,9900,752400000,76000,"2023-02-17T13:50:00.000Z",1676641800000,76000,76000,76000,100,0,0,1.3,,,0,,9900,563400,,752400000,752400000,,
7797.8,-46200,-3433250000,20430500000,23863750000,44422990000,593237608.7,686950000,8.5,9056.5,37,0.3,5500,-10500,-795210000,75800,"2023-02-17T13:55:00.000Z",1676642100000,76100,75800,76000,25.6,74.4,0,0.7,1.8,,2.9,16000,21500,584900,,1631230000,418010000,1213220000,
7797.8,-47000,-3493130000,20749630000,24242760000,45121130000,593237608.7,686950000,0.6,9056.5,37,0.8,4200,-800,-59880000,76000,"2023-02-17T14:00:00.000Z",1676642400000,76000,75700,75900,45.7,54.3,0,0.5,0.6,,1.2,5000,9200,594100,,698140000,319130000,379010000,
7797.8,-51000,-3794400000,21099230000,24893630000,46121600000,593237608.7,686950000,3.2,9056.5,37,0.5,4600,-4000,-301270000,75600,"2023-02-17T14:05:00.000Z",1676642700000,76000,75600,76000,34.8,65.2,0,0.6,0.9,,1.9,8600,13200,607300,,1000470000,349600000,650870000,
7797.8,-44300,-3283670000,22033720000,25317390000,47479850000,593237608.7,686950000,-5.4,9056.5,37,2.2,12300,6700,510730000,76000,"2023-02-17T14:10:00.000Z",1676643000000,76000,75600,75600,68.7,31.3,0,1.6,0.6,,0.5,5600,17900,625200,,1358250000,934490000,423760000,
7797.8,-9500,-636720000,25220230000,25856950000,51205920000,593237608.7,686950000,-28.2,9056.5,37,5.9,41900,34800,2646950000,76000,"2023-02-17T14:15:00.000Z",1676643300000,76200,75700,76000,85.5,14.5,0,5.4,0.8,,0.2,7100,49000,674200,,3726070000,3186510000,539560000,
7797.8,-3500,-180450000,25767660000,25948110000,51844510000,593237608.7,686950000,-4.9,9056.5,37,6,7200,6000,456270000,76000,"2023-02-17T14:20:00.000Z",1676643600000,76100,75900,76000,85.7,14.3,0,0.9,0.1,,0.2,1200,8400,682600,,638590000,547430000,91160000,
7797.8,-600,44030000,27288930000,27244900000,54662570000,593237608.7,686950000,-2.4,9056.5,37,1.2,20000,2900,224480000,75900,"2023-02-17T14:25:00.000Z",1676643900000,76100,75800,75900,53.9,46.1,0,2.6,1.9,,0.9,17100,37100,719700,,2818060000,1521270000,1296790000,
7797.8,-57900,-4310770000,27288930000,31599700000,59017370000,593237608.7,686950000,46.5,9056.5,37,0,,-57300,-4354800000,76000,"2023-02-17T14:45:00.000Z",1676645100000,76000,76000,76000,0,100,0,,6.3,,Infinity,57300,57300,777000,,4354800000,,4354800000,
