"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
19072.9,-8100,-38880000,0,38880000,38880000,95496250,52436875,-0.9,10685.4,5306.3,0,,-8100,-38880000,4800,"2023-02-20T09:00:00.000Z",1676883600000,4800,4800,4800,0,100,0,,0.8,,Infinity,8100,8100,8100,,38880000,,38880000,
19072.9,-5900,-28100000,10780000,38880000,49660000,95496250,52436875,0.3,10685.4,5306.3,Infinity,2200,2200,10780000,4900,"2023-02-20T09:05:00.000Z",1676883900000,4900,4900,4900,100,0,0,0.1,,,0,,2200,10300,,10780000,10780000,,
19072.9,-30900,-148100000,10780000,158880000,169660000,95496250,52436875,-2.8,10685.4,5306.3,0,,-25000,-120000000,4800,"2023-02-20T09:10:00.000Z",1676884200000,4800,4800,4800,0,100,0,,2.3,,Infinity,25000,25000,35300,,120000000,,120000000,
19072.9,-26400,-126050000,32830000,158880000,191710000,95496250,52436875,0.5,10685.4,5306.3,Infinity,4500,4500,22050000,4900,"2023-02-20T09:15:00.000Z",1676884500000,4900,4900,4900,100,0,0,0.2,,,0,,4500,39800,,22050000,22050000,,
19072.9,36600,182750000,376910000,194160000,571070000,95496250,52436875,7.2,10685.4,5306.3,9.8,70200,63000,308800000,5000,"2023-02-20T09:20:00.000Z",1676884800000,5000,4900,4900,90.7,9.3,0,3.7,0.7,,0.1,7200,77400,117200,,379360000,344080000,35280000,
19072.9,17900,91120000,390630000,299510000,690140000,95496250,52436875,-2.1,10685.4,5306.3,0.1,2800,-18700,-91630000,4900,"2023-02-20T09:25:00.000Z",1676885100000,4900,4900,4900,11.5,88.5,0,0.1,2,,7.7,21500,24300,141500,,119070000,13720000,105350000,
19072.9,38800,193530000,493040000,299510000,792550000,95496250,52436875,2.4,10685.4,5306.3,Infinity,20900,20900,102410000,4900,"2023-02-20T09:30:00.000Z",1676885400000,4900,4900,4900,100,0,0,1.1,,,0,,20900,162400,,102410000,102410000,,
19072.9,73400,363070000,677280000,314210000,991490000,95496250,52436875,3.9,10685.4,5306.3,12.5,37600,34600,169540000,4900,"2023-02-20T09:40:00.000Z",1676886000000,4900,4900,4900,92.6,7.4,0,2,0.3,,0.1,3000,40600,203000,,198940000,184240000,14700000,
19072.9,48200,239590000,691980000,452390000,1144370000,95496250,52436875,-2.9,10685.4,5306.3,0.1,3000,-25200,-123480000,4900,"2023-02-20T09:45:00.000Z",1676886300000,4900,4900,4900,9.6,90.4,0,0.2,2.6,,9.4,28200,31200,234200,,152880000,14700000,138180000,
19072.9,44900,223420000,691980000,468560000,1160540000,95496250,52436875,-0.4,10685.4,5306.3,0,,-3300,-16170000,4900,"2023-02-20T09:50:00.000Z",1676886600000,4900,4900,4900,0,100,0,,0.3,,Infinity,3300,3300,237500,,16170000,,16170000,
