"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
108617,153800,1875355000,3096285000,1220930000,9827950000,1315011170.2,2184528617,-2.2,181466,26066,2.5,254500,153800,1875355000,12200,"2023-02-21T09:15:00.000Z",1676970900000,12200,12100,12200,31.5,12.5,56,2.3,0.6,17.3,0.4,100700,806900,806900,451700,9827950000,3096285000,1220930000,5510735000
108617,768700,9436360000,12737165000,3300805000,21548705000,1315011170.2,2184528617,-8.7,181466,26066,4.6,784900,614900,7561005000,12350,"2023-02-21T09:20:00.000Z",1676971200000,12400,12150,12150,82.2,17.8,0,7.2,0.9,,0.2,170000,954900,1761800,,11720755000,9640880000,2079875000,
108617,596500,7320730000,14834760000,7514030000,27859525000,1315011170.2,2184528617,2.4,181466,26066,0.5,169700,-172200,-2115630000,12300,"2023-02-21T09:25:00.000Z",1676971500000,12400,12250,12350,33.2,66.8,0,1.6,1.9,,2,341900,511600,2273400,,6310820000,2097595000,4213225000,
108617,344100,4244910000,15381855000,11136945000,32029535000,1315011170.2,2184528617,3.5,181466,26066,0.2,44700,-252400,-3075820000,12150,"2023-02-21T09:30:00.000Z",1676971800000,12300,12100,12250,13.1,86.9,0,0.4,1.6,,6.6,297100,341800,2615200,,4170010000,547095000,3622915000,
108617,439000,5411390000,19198055000,13786665000,38495455000,1315011170.2,2184528617,-1.3,181466,26066,1.4,312900,94900,1166480000,12250,"2023-02-21T09:35:00.000Z",1676972100000,12300,12100,12150,58.9,41.1,0,2.9,1.2,,0.7,218000,530900,3146100,,6465920000,3816200000,2649720000,
108617,261200,3244045000,19724805000,16480760000,41716300000,1315011170.2,2184528617,2.5,181466,26066,0.2,43000,-177800,-2167345000,12200,"2023-02-21T09:40:00.000Z",1676972400000,12250,12200,12250,16.3,83.7,0,0.4,1.2,,5.1,220800,263800,3409900,,3220845000,526750000,2694095000,
108617,385100,4755885000,21501125000,16745240000,43757100000,1315011170.2,2184528617,-1.7,181466,26066,6.7,145600,123900,1511840000,12200,"2023-02-21T09:45:00.000Z",1676972700000,12200,12150,12200,87,13,0,1.3,0.1,,0.1,21700,167300,3577200,,2040800000,1776320000,264480000,
108617,410400,5066370000,22767485000,17701115000,45979335000,1315011170.2,2184528617,-0.4,181466,26066,1.3,103800,25300,310485000,12150,"2023-02-21T09:50:00.000Z",1676973000000,12200,12150,12200,56.9,43.1,0,1,0.4,,0.8,78500,182300,3759500,,2222235000,1266360000,955875000,
108617,248400,3098760000,22989015000,19890255000,48390005000,1315011170.2,2184528617,2.3,181466,26066,0.1,18200,-162000,-1967610000,12100,"2023-02-21T09:55:00.000Z",1676973300000,12200,12100,12150,9.2,90.8,0,0.2,1,,9.9,180200,198400,3957900,,2410670000,221530000,2189140000,
108617,283800,3530480000,24422825000,20892345000,50825905000,1315011170.2,2184528617,-0.5,181466,26066,1.4,117900,35400,431720000,12200,"2023-02-21T10:00:00.000Z",1676973600000,12200,12100,12100,58.8,41.2,0,1.1,0.5,,0.7,82500,200400,4158300,,2435900000,1433810000,1002090000,
108617,165600,2095320000,24628570000,22533250000,52672555000,1315011170.2,2184528617,1.7,181466,26066,0.1,16900,-118200,-1435160000,12100,"2023-02-21T10:05:00.000Z",1676973900000,12200,12100,12150,11.1,88.9,0,0.2,0.7,,8,135100,152000,4310300,,1846650000,205745000,1640905000,
108617,-33200,-310080000,24648010000,24958090000,55116835000,1315011170.2,2184528617,2.8,181466,26066,0,1600,-198800,-2405400000,12100,"2023-02-21T10:10:00.000Z",1676974200000,12150,12100,12100,0.8,99.2,0,0,1.1,,125.3,200400,202000,4512300,,2444280000,19440000,2424840000,
108617,-18600,-132345000,25398075000,25530420000,56439230000,1315011170.2,2184528617,-0.2,181466,26066,1.3,61900,14600,177735000,12150,"2023-02-21T10:15:00.000Z",1676974500000,12150,12100,12100,56.7,43.3,0,0.6,0.3,,0.8,47300,109200,4621500,,1322395000,750065000,572330000,
108617,27000,421810000,26429610000,26007800000,57948145000,1315011170.2,2184528617,-0.6,181466,26066,2.2,84900,45600,554155000,12150,"2023-02-21T10:20:00.000Z",1676974800000,12150,12100,12150,68.4,31.6,0,0.8,0.2,,0.5,39300,124200,4745700,,1508915000,1031535000,477380000,
108617,-17100,-113930000,26447910000,26561840000,58520485000,1315011170.2,2184528617,0.6,181466,26066,0,1500,-44100,-535740000,12150,"2023-02-21T10:25:00.000Z",1676975100000,12200,12150,12150,3.2,96.8,0,0,0.3,,30.4,45600,47100,4792800,,572340000,18300000,554040000,
108617,-9300,-18890000,27023830000,27042720000,59577285000,1315011170.2,2184528617,-0.1,181466,26066,1.2,47400,7800,95040000,12150,"2023-02-21T10:30:00.000Z",1676975400000,12200,12100,12150,54.5,45.5,0,0.4,0.2,,0.8,39600,87000,4879800,,1056800000,575920000,480880000,
108617,-85600,-945885000,27048130000,27994015000,60552880000,1315011170.2,2184528617,1.1,181466,26066,0,2000,-76300,-926995000,12100,"2023-02-21T10:35:00.000Z",1676975700000,12150,12100,12150,2.5,97.5,0,0,0.4,,39.2,78300,80300,4960100,,975595000,24300000,951295000,
108617,-155300,-1788575000,27213370000,29001945000,61726050000,1315011170.2,2184528617,1,181466,26066,0.2,13600,-69700,-842690000,12100,"2023-02-21T10:40:00.000Z",1676976000000,12150,12100,12150,14,86,0,0.1,0.5,,6.1,83300,96900,5057000,,1173170000,165240000,1007930000,
108617,-261600,-3074555000,27997450000,31072005000,64580190000,1315011170.2,2184528617,1.5,181466,26066,0.4,64800,-106300,-1285980000,12100,"2023-02-21T10:45:00.000Z",1676976300000,12100,12050,12100,27.5,72.5,0,0.6,0.9,,2.6,171100,235900,5292900,,2854140000,784080000,2070060000,
