"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
15082.6,5100,151715000,204935000,53220000,258155000,439948587,243218152.2,0.8,8352.2,591.3,3.8,6900,5100,151715000,29700,"2023-02-23T09:15:00.000Z",1677143700000,29750,29500,29700,79.3,20.7,0,0.5,0.2,,0.3,1800,8700,8700,,258155000,204935000,53220000,
15082.6,1000,30610000,264235000,233625000,497860000,439948587,243218152.2,-0.6,8352.2,591.3,0.3,2000,-4100,-121105000,29600,"2023-02-23T09:20:00.000Z",1677144000000,29700,29550,29700,24.7,75.3,0,0.1,0.7,,3.1,6100,8100,16800,,239705000,59300000,180405000,
15082.6,600,20230000,739775000,719545000,1459320000,439948587,243218152.2,-0.1,8352.2,591.3,1,16100,-400,-10380000,29600,"2023-02-23T09:25:00.000Z",1677144300000,29600,29200,29600,49.4,50.6,0,1.1,2,,1,16500,32600,49400,,961460000,475540000,485920000,
15082.6,5000,150685000,920550000,769865000,1690415000,439948587,243218152.2,0.7,8352.2,591.3,3.6,6100,4400,130455000,29650,"2023-02-23T09:30:00.000Z",1677144600000,29650,29600,29600,78.2,21.8,0,0.4,0.2,,0.3,1700,7800,57200,,231095000,180775000,50320000,
15082.6,8900,266355000,1051045000,784690000,1835735000,439948587,243218152.2,0.6,8352.2,591.3,8.8,4400,3900,115670000,29650,"2023-02-23T09:35:00.000Z",1677144900000,29700,29650,29650,89.8,10.2,0,0.3,0.1,,0.1,500,4900,62100,,145320000,130495000,14825000,
15082.6,11600,346410000,1131100000,784690000,1915790000,439948587,243218152.2,0.4,8352.2,591.3,Infinity,2700,2700,80055000,29650,"2023-02-23T09:40:00.000Z",1677145200000,29650,29650,29650,100,0,0,0.2,,,0,,2700,64800,,80055000,80055000,,
15082.6,10100,302595000,1329550000,1026955000,2356505000,439948587,243218152.2,-0.2,8352.2,591.3,0.8,6700,-1500,-43815000,29650,"2023-02-23T09:45:00.000Z",1677145500000,29650,29500,29650,45,55,0,0.4,1,,1.2,8200,14900,79700,,440715000,198450000,242265000,
15082.6,6200,187970000,1427355000,1239385000,2666740000,439948587,243218152.2,-0.6,8352.2,591.3,0.5,3300,-3900,-114625000,29650,"2023-02-23T09:50:00.000Z",1677145800000,29650,29500,29650,31.4,68.6,0,0.2,0.9,,2.2,7200,10500,90200,,310235000,97805000,212430000,
15082.6,43400,1291420000,2533755000,1242335000,3897810000,439948587,243218152.2,5.6,8352.2,591.3,373,37300,37200,1103450000,29750,"2023-02-23T09:55:00.000Z",1677146100000,29750,29500,29650,89.9,0.2,9.9,2.5,0,6.9,0,100,41500,131700,4100,1231070000,1106400000,2950000,121720000
15082.6,42700,1270730000,2542665000,1271935000,3936320000,439948587,243218152.2,-0.1,8352.2,591.3,0.3,300,-700,-20690000,29700,"2023-02-23T10:00:00.000Z",1677146400000,29700,29600,29600,23.1,76.9,0,0,0.1,,3.3,1000,1300,133000,,38510000,8910000,29600000,
15082.6,40700,1211545000,2604835000,1393290000,4119845000,439948587,243218152.2,-0.3,8352.2,591.3,0.5,2100,-2000,-59185000,29600,"2023-02-23T10:05:00.000Z",1677146700000,29700,29550,29700,33.9,66.1,0,0.1,0.5,,2,4100,6200,139200,,183525000,62170000,121355000,
15082.6,45100,1341930000,2738175000,1396245000,4256140000,439948587,243218152.2,0.7,8352.2,591.3,45,4500,4400,130385000,29600,"2023-02-23T10:10:00.000Z",1677147000000,29650,29550,29600,97.8,2.2,0,0.3,0,,0,100,4600,143800,,136295000,133340000,2955000,
15082.6,34900,1041665000,3004095000,1962430000,5088245000,439948587,243218152.2,-1.5,8352.2,591.3,0.5,9000,-10200,-300265000,29500,"2023-02-23T10:15:00.000Z",1677147300000,29600,29350,29600,31.9,68.1,0,0.6,2.3,,2.1,19200,28200,172000,,832105000,265920000,566185000,
15082.6,29100,872130000,3142510000,2270380000,5534610000,439948587,243218152.2,-0.9,8352.2,591.3,0.4,4700,-5800,-169535000,29300,"2023-02-23T10:20:00.000Z",1677147600000,29450,29300,29350,30.9,69.1,0,0.3,1.3,,2.2,10500,15200,187200,,446365000,138415000,307950000,
15082.6,22400,676930000,3401730000,2724800000,6248250000,439948587,243218152.2,-1,8352.2,591.3,0.6,8800,-6700,-195200000,29250,"2023-02-23T10:25:00.000Z",1677147900000,29500,29250,29450,36.2,63.8,0,0.6,1.9,,1.8,15500,24300,211500,,713640000,259220000,454420000,
15082.6,26700,803630000,3534295000,2730665000,6386680000,439948587,243218152.2,0.6,8352.2,591.3,22.5,4500,4300,126700000,29500,"2023-02-23T10:30:00.000Z",1677148200000,29500,29200,29450,95.7,4.3,0,0.3,0,,0,200,4700,216200,,138430000,132565000,5865000,
15082.6,32400,971910000,3791065000,2819155000,6731940000,439948587,243218152.2,0.9,8352.2,591.3,2.9,8700,5700,168280000,29550,"2023-02-23T10:35:00.000Z",1677148500000,29550,29400,29500,74.4,25.6,0,0.6,0.4,,0.3,3000,11700,227900,,345260000,256770000,88490000,
15082.6,32700,980765000,3855970000,2875205000,6852895000,439948587,243218152.2,0,8352.2,591.3,1.2,2200,300,8855000,29550,"2023-02-23T10:40:00.000Z",1677148800000,29550,29500,29500,53.7,46.3,0,0.1,0.2,,0.9,1900,4100,232000,,120955000,64905000,56050000,
15082.6,32600,977830000,3861870000,2884040000,6867630000,439948587,243218152.2,0,8352.2,591.3,0.7,200,-100,-2935000,29450,"2023-02-23T10:45:00.000Z",1677149100000,29500,29450,29500,40,60,0,0,0,,1.5,300,500,232500,,14735000,5900000,8835000,
15082.6,29000,872785000,3932625000,3059840000,7114185000,439948587,243218152.2,-0.5,8352.2,591.3,0.4,2400,-3600,-105045000,29450,"2023-02-23T10:50:00.000Z",1677149400000,29500,29300,29300,28.6,71.4,0,0.2,0.7,,2.5,6000,8400,240900,,246555000,70755000,175800000,
15082.6,28300,852310000,3941475000,3089165000,7152360000,439948587,243218152.2,-0.1,8352.2,591.3,0.3,300,-700,-20475000,29500,"2023-02-23T10:55:00.000Z",1677149700000,29500,29250,29400,23.1,76.9,0,0,0.1,,3.3,1000,1300,242200,,38175000,8850000,29325000,
15082.6,28400,855255000,3944420000,3089165000,7155305000,439948587,243218152.2,0,8352.2,591.3,Infinity,100,100,2945000,29450,"2023-02-23T11:00:00.000Z",1677150000000,29450,29450,29450,100,0,0,0,,,0,,100,242300,,2945000,2945000,,
15082.6,31100,934710000,4038600000,3103890000,7278910000,439948587,243218152.2,0.4,8352.2,591.3,6.4,3200,2700,79455000,29400,"2023-02-23T11:05:00.000Z",1677150300000,29450,29400,29450,76.2,11.9,11.9,0.2,0.1,0.8,0.2,500,4200,246500,500,123605000,94180000,14725000,14700000
15082.6,33700,1011215000,4115105000,3103890000,7355415000,439948587,243218152.2,0.4,8352.2,591.3,Infinity,2600,2600,76505000,29450,"2023-02-23T11:10:00.000Z",1677150600000,29450,29400,29400,100,0,0,0.2,,,0,,2600,249100,,76505000,76505000,,
15082.6,34800,1043610000,4147500000,3103890000,7387810000,439948587,243218152.2,0.2,8352.2,591.3,Infinity,1100,1100,32395000,29450,"2023-02-23T11:15:00.000Z",1677150900000,29450,29450,29450,100,0,0,0.1,,,0,,1100,250200,,32395000,32395000,,
15082.6,35000,1049620000,4247590000,3197970000,7581980000,439948587,243218152.2,0,8352.2,591.3,1.1,3400,200,6010000,29400,"2023-02-23T11:20:00.000Z",1677151200000,29450,29400,29450,51.5,48.5,0,0.2,0.4,,0.9,3200,6600,256800,,194170000,100090000,94080000,
15082.6,35600,1067300000,4271150000,3203850000,7611420000,439948587,243218152.2,0.1,8352.2,591.3,4,800,600,17680000,29450,"2023-02-23T11:25:00.000Z",1677151500000,29450,29400,29450,80,20,0,0.1,0,,0.3,200,1000,257800,,29440000,23560000,5880000,
15082.6,32500,977430000,4556115000,3578685000,8271220000,439948587,243218152.2,-0.5,8352.2,591.3,0.8,9700,-3100,-89870000,29300,"2023-02-23T13:00:00.000Z",1677157200000,29400,29250,29350,43.1,56.9,0,0.6,1.5,,1.3,12800,22500,280300,,659800000,284965000,374835000,
15082.6,35100,1055425000,5321270000,4265845000,9723535000,439948587,243218152.2,0.4,8352.2,591.3,1.1,26100,2600,77995000,29350,"2023-02-23T13:05:00.000Z",1677157500000,29400,29200,29300,52.6,47.4,0,1.7,2.8,,0.9,23500,49600,329900,,1452315000,765155000,687160000,
15082.6,36000,1082535000,5544195000,4461660000,10142275000,439948587,243218152.2,0.1,8352.2,591.3,1.1,7600,900,27110000,29350,"2023-02-23T13:10:00.000Z",1677157800000,29350,29200,29350,53.1,46.9,0,0.5,0.8,,0.9,6700,14300,344200,,418740000,222925000,195815000,
15082.6,32400,977075000,5676060000,4698985000,10511465000,439948587,243218152.2,-0.5,8352.2,591.3,0.6,4500,-3600,-105460000,29300,"2023-02-23T13:15:00.000Z",1677158100000,29350,29250,29350,35.7,64.3,0,0.3,1,,1.8,8100,12600,356800,,369190000,131865000,237325000,
15082.6,35100,1056205000,5766890000,4710685000,10613995000,439948587,243218152.2,0.4,8352.2,591.3,7.8,3100,2700,79130000,29300,"2023-02-23T13:20:00.000Z",1677158400000,29300,29250,29300,88.6,11.4,0,0.2,0,,0.1,400,3500,360300,,102530000,90830000,11700000,
15082.6,400,49810000,6206620000,6156810000,12499850000,439948587,243218152.2,-5.1,8352.2,591.3,0.3,15000,-34700,-1006395000,29000,"2023-02-23T13:25:00.000Z",1677158700000,29350,29000,29250,23.2,76.8,0,1,6,,3.3,49700,64700,425000,,1885855000,439730000,1446125000,
15082.6,1200,77015000,7049210000,6972195000,14157825000,439948587,243218152.2,0.1,8352.2,591.3,1,28900,800,27205000,29000,"2023-02-23T13:30:00.000Z",1677159000000,29300,28950,29250,50.7,49.3,0,1.9,3.4,,1,28100,57000,482000,,1657975000,842590000,815385000,
15082.6,34500,1053190000,8115595000,7062405000,15314420000,439948587,243218152.2,5,8352.2,591.3,11.7,36400,33300,976175000,29300,"2023-02-23T13:35:00.000Z",1677159300000,29300,29100,29100,92.2,7.8,0,2.4,0.4,,0.1,3100,39500,521500,,1156595000,1066385000,90210000,
15082.6,28300,873940000,8238640000,7364700000,15739760000,439948587,243218152.2,-0.9,8352.2,591.3,0.4,4200,-6200,-179250000,29300,"2023-02-23T13:40:00.000Z",1677159600000,29300,29000,29200,28.8,71.2,0,0.3,1.2,,2.5,10400,14600,536100,,425340000,123045000,302295000,
15082.6,29100,897280000,8343425000,7446145000,15925990000,439948587,243218152.2,0.1,8352.2,591.3,1.3,3600,800,23340000,29200,"2023-02-23T13:45:00.000Z",1677159900000,29250,29050,29050,56.3,43.8,0,0.2,0.3,,0.8,2800,6400,542500,,186230000,104785000,81445000,
15082.6,42000,1275125000,8756310000,7481185000,16373915000,439948587,243218152.2,1.9,8352.2,591.3,11.8,14100,12900,377845000,29300,"2023-02-23T13:50:00.000Z",1677160200000,29300,29200,29250,92.2,7.8,0,0.9,0.1,,0.1,1200,15300,557800,,447925000,412885000,35040000,
15082.6,26800,836165000,9060875000,8224710000,17422005000,439948587,243218152.2,-2.2,8352.2,591.3,0.4,10400,-15200,-438960000,29300,"2023-02-23T13:55:00.000Z",1677160500000,29300,29000,29250,28.9,71.1,0,0.7,3.1,,2.5,25600,36000,593800,,1048090000,304565000,743525000,
15082.6,6900,263470000,9563615000,9300145000,19014805000,439948587,243218152.2,-2.9,8352.2,591.3,0.5,17400,-19900,-572695000,28700,"2023-02-23T14:00:00.000Z",1677160800000,29300,28650,29300,31.5,67.6,0.9,1.2,4.5,0.8,2.1,37300,55200,649000,500,1592800000,502740000,1075435000,14625000
15082.6,110600,3260650000,13212285000,9951635000,23447645000,439948587,243218152.2,15.2,8352.2,591.3,5.6,126400,103700,2997180000,28900,"2023-02-23T14:05:00.000Z",1677161100000,28900,28650,28700,82.2,14.8,3,8.4,2.7,7.8,0.2,22700,153700,802700,4600,4432840000,3648670000,651490000,132680000
15082.6,125700,3697220000,14011750000,10314530000,24610005000,439948587,243218152.2,2.2,8352.2,591.3,2.2,27700,15100,436570000,28800,"2023-02-23T14:10:00.000Z",1677161400000,28900,28750,28900,68.7,31.3,0,1.8,1.5,,0.5,12600,40300,843000,,1162360000,799465000,362895000,
15082.6,118900,3503455000,14348675000,10845220000,25796070000,439948587,243218152.2,-1,8352.2,591.3,0.6,11700,-6800,-193765000,28600,"2023-02-23T14:15:00.000Z",1677161700000,28800,28600,28800,28.3,44.8,26.9,0.8,2.2,18.8,1.6,18500,41300,884300,11100,1186065000,336925000,530690000,318450000
15082.6,259000,7554400000,18739485000,11185085000,30711065000,439948587,243218152.2,20.6,8352.2,591.3,12.9,151900,140100,4050945000,29300,"2023-02-23T14:20:00.000Z",1677162000000,29300,28700,28700,89.3,6.9,3.8,10.1,1.4,10.8,0.1,11800,170100,1054400,6400,4914995000,4390810000,339865000,184320000
15082.6,285500,8333830000,19521865000,11188035000,31496395000,439948587,243218152.2,4,8352.2,591.3,266,26600,26500,779430000,29700,"2023-02-23T14:25:00.000Z",1677162300000,29700,29300,29300,99.6,0.4,0,1.8,0,,0,100,26700,1081100,,785330000,782380000,2950000,
15082.6,309600,9049600000,20237635000,11188035000,32212165000,439948587,243218152.2,3.6,8352.2,591.3,Infinity,24100,24100,715770000,29700,"2023-02-23T14:45:00.000Z",1677163500000,29700,29700,29700,100,0,0,1.6,,,0,,24100,1105200,,715770000,715770000,,
