"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
272.2,-800,-40160000,0,40160000,40160000,13883333.3,7567777.8,-6.4,150,144.4,0,,-800,-40160000,50200,"2023-02-24T09:00:00.000Z",1677229200000,50200,50200,50200,0,100,0,,5.3,,Infinity,800,800,800,,40160000,,40160000,
272.2,-900,-45220000,0,45220000,45220000,13883333.3,7567777.8,-0.8,150,144.4,0,,-100,-5060000,50600,"2023-02-24T09:15:00.000Z",1677230100000,50600,50600,50600,0,100,0,,0.7,,Infinity,100,100,900,,5060000,,5060000,
272.2,-800,-40120000,5100000,45220000,50320000,13883333.3,7567777.8,0.8,150,144.4,Infinity,100,100,5100000,51000,"2023-02-24T10:05:00.000Z",1677233100000,51000,51000,51000,100,0,0,0.4,,,0,,100,1000,,5100000,5100000,,
272.2,-500,-24820000,45900000,70720000,116620000,13883333.3,7567777.8,2.4,150,144.4,1.6,800,300,15300000,51000,"2023-02-24T10:10:00.000Z",1677233400000,51000,51000,51000,61.5,38.5,0,2.9,3.3,,0.6,500,1300,2300,,66300000,40800000,25500000,
272.2,600,31280000,127500000,96220000,223720000,13883333.3,7567777.8,8.9,150,144.4,3.2,1600,1100,56100000,51000,"2023-02-24T10:15:00.000Z",1677233700000,51000,51000,51000,76.2,23.8,0,5.9,3.3,,0.3,500,2100,4400,,107100000,81600000,25500000,
272.2,1000,51680000,147900000,96220000,244120000,13883333.3,7567777.8,3.2,150,144.4,Infinity,400,400,20400000,51000,"2023-02-24T10:30:00.000Z",1677234600000,51000,51000,51000,100,0,0,1.5,,,0,,400,4800,,20400000,20400000,,
272.2,1200,61880000,158100000,96220000,254320000,13883333.3,7567777.8,1.6,150,144.4,Infinity,200,200,10200000,51000,"2023-02-24T10:50:00.000Z",1677235800000,51000,51000,51000,100,0,0,0.7,,,0,,200,5000,,10200000,10200000,,
272.2,1200,61880000,158100000,96220000,264520000,13883333.3,7567777.8,0,150,144.4,NaN,,0,0,51000,"2023-02-24T11:05:00.000Z",1677236700000,51000,51000,51000,0,0,100,,,1.4,NaN,,200,5200,200,10200000,,,10200000
272.2,1200,61880000,158100000,96220000,279820000,13883333.3,7567777.8,0,150,144.4,NaN,,0,0,51000,"2023-02-24T11:10:00.000Z",1677237000000,51000,51000,51000,0,0,100,,,2.1,NaN,,300,5500,300,15300000,,,15300000
272.2,1200,61880000,158100000,96220000,300220000,13883333.3,7567777.8,0,150,144.4,NaN,,0,0,51000,"2023-02-24T11:20:00.000Z",1677237600000,51000,51000,51000,0,0,100,,,2.8,NaN,,400,5900,400,20400000,,,20400000
272.2,2600,133280000,229500000,96220000,371620000,13883333.3,7567777.8,11.3,150,144.4,Infinity,1400,1400,71400000,51000,"2023-02-24T13:00:00.000Z",1677243600000,51000,51000,51000,100,0,0,5.1,,,0,,1400,7300,,71400000,71400000,,
272.2,2700,138380000,234600000,96220000,376720000,13883333.3,7567777.8,0.8,150,144.4,Infinity,100,100,5100000,51000,"2023-02-24T13:35:00.000Z",1677245700000,51000,51000,51000,100,0,0,0.4,,,0,,100,7400,,5100000,5100000,,
272.2,2700,138380000,234600000,96220000,402220000,13883333.3,7567777.8,0,150,144.4,NaN,,0,0,51000,"2023-02-24T13:40:00.000Z",1677246000000,51000,51000,51000,0,0,100,,,3.5,NaN,,500,7900,500,25500000,,,25500000
272.2,2800,143480000,239700000,96220000,407320000,13883333.3,7567777.8,0.8,150,144.4,Infinity,100,100,5100000,51000,"2023-02-24T13:45:00.000Z",1677246300000,51000,51000,51000,100,0,0,0.4,,,0,,100,8000,,5100000,5100000,,
272.2,2800,143480000,239700000,96220000,417520000,13883333.3,7567777.8,0,150,144.4,NaN,,0,0,51000,"2023-02-24T13:50:00.000Z",1677246600000,51000,51000,51000,0,0,100,,,1.4,NaN,,200,8200,200,10200000,,,10200000
272.2,3000,153680000,249900000,96220000,427720000,13883333.3,7567777.8,1.6,150,144.4,Infinity,200,200,10200000,51000,"2023-02-24T14:00:00.000Z",1677247200000,51000,51000,51000,100,0,0,0.7,,,0,,200,8400,,10200000,10200000,,
272.2,3000,153680000,249900000,96220000,478220000,13883333.3,7567777.8,0,150,144.4,NaN,,0,0,50500,"2023-02-24T14:10:00.000Z",1677247800000,50500,50500,50500,0,0,100,,,6.9,NaN,,1000,9400,1000,50500000,,,50500000
272.2,2200,113680000,249900000,136220000,518220000,13883333.3,7567777.8,-6.3,150,144.4,0,,-800,-40000000,50000,"2023-02-24T14:55:00.000Z",1677250500000,50000,50000,50000,0,100,0,,5.3,,Infinity,800,800,10200,,40000000,,40000000,
