"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
669.7,2700,78165000,78165000,0,78165000,19203484.8,41328333.3,-3.5,1445.5,187.9,Infinity,2700,2700,78165000,28950,"2023-02-24T09:15:00.000Z",1677230100000,28950,28950,28950,100,0,0,4,,,0,,2700,2700,,78165000,78165000,,
669.7,3900,112725000,112725000,0,112725000,19203484.8,41328333.3,-1.6,1445.5,187.9,Infinity,1200,1200,34560000,28800,"2023-02-24T09:20:00.000Z",1677230400000,28800,28800,28800,100,0,0,1.8,,,0,,1200,3900,,34560000,34560000,,
669.7,4100,118485000,118485000,0,118485000,19203484.8,41328333.3,-0.3,1445.5,187.9,Infinity,200,200,5760000,28800,"2023-02-24T09:25:00.000Z",1677230700000,28800,28800,28800,100,0,0,0.3,,,0,,200,4100,,5760000,5760000,,
669.7,5200,150165000,150165000,0,150165000,19203484.8,41328333.3,-1.4,1445.5,187.9,Infinity,1100,1100,31680000,28800,"2023-02-24T09:30:00.000Z",1677231000000,28800,28800,28800,100,0,0,1.6,,,0,,1100,5200,,31680000,31680000,,
669.7,8100,234165000,265945000,31780000,320885000,19203484.8,41328333.3,-3.8,1445.5,187.9,3.6,4000,2900,84000000,29000,"2023-02-24T09:35:00.000Z",1677231300000,29000,28800,28900,67.8,18.6,13.6,6,0.8,4.3,0.3,1100,5900,11100,800,170720000,115780000,31780000,23160000
669.7,4800,138345000,268855000,130510000,530035000,19203484.8,41328333.3,4.3,1445.5,187.9,0,100,-3300,-95820000,29000,"2023-02-24T09:40:00.000Z",1677231600000,29100,29000,29000,1.4,47.2,51.4,0.1,2.4,19.7,34,3400,7200,18300,3700,209150000,2910000,98730000,107510000
669.7,900,25245000,268855000,243610000,646035000,19203484.8,41328333.3,5.1,1445.5,187.9,0,,-3900,-113100000,29000,"2023-02-24T09:45:00.000Z",1677231900000,29000,29000,29000,0,97.5,2.5,,2.7,0.5,Infinity,3900,4000,22300,100,116000000,,113100000,2900000
669.7,1000,28145000,271755000,243610000,648935000,19203484.8,41328333.3,-0.1,1445.5,187.9,Infinity,100,100,2900000,29000,"2023-02-24T09:50:00.000Z",1677232200000,29000,29000,29000,100,0,0,0.1,,,0,,100,22400,,2900000,2900000,,
669.7,0,-665000,271755000,272420000,677745000,19203484.8,41328333.3,1.3,1445.5,187.9,0,,-1000,-28810000,28800,"2023-02-24T10:00:00.000Z",1677232800000,28850,28800,28850,0,100,0,,0.7,,Infinity,1000,1000,23400,,28810000,,28810000,
669.7,-800,-23690000,280395000,304085000,718050000,19203484.8,41328333.3,1,1445.5,187.9,0.3,300,-800,-23025000,28750,"2023-02-24T10:05:00.000Z",1677233100000,28800,28750,28800,21.4,78.6,0,0.4,0.8,,3.7,1100,1400,24800,,40305000,8640000,31665000,
669.7,-800,-23690000,286115000,309805000,729490000,19203484.8,41328333.3,0,1445.5,187.9,1,200,0,0,28600,"2023-02-24T10:10:00.000Z",1677233400000,28600,28600,28600,50,50,0,0.3,0.1,,1,200,400,25200,,11440000,5720000,5720000,
669.7,-900,-26560000,286115000,312675000,732360000,19203484.8,41328333.3,0.1,1445.5,187.9,0,,-100,-2870000,28700,"2023-02-24T10:30:00.000Z",1677234600000,28700,28700,28700,0,100,0,,0.1,,Infinity,100,100,25300,,2870000,,2870000,
669.7,-1100,-32300000,286115000,318415000,738100000,19203484.8,41328333.3,0.3,1445.5,187.9,0,,-200,-5740000,28700,"2023-02-24T10:40:00.000Z",1677235200000,28700,28700,28700,0,100,0,,0.1,,Infinity,200,200,25500,,5740000,,5740000,
669.7,-900,-26560000,294725000,321285000,749580000,19203484.8,41328333.3,-0.3,1445.5,187.9,3,300,200,5740000,28700,"2023-02-24T10:45:00.000Z",1677235500000,28700,28700,28700,75,25,0,0.4,0.1,,0.3,100,400,25900,,11480000,8610000,2870000,
669.7,-800,-23680000,297605000,321285000,752460000,19203484.8,41328333.3,-0.1,1445.5,187.9,Infinity,100,100,2880000,28800,"2023-02-24T11:10:00.000Z",1677237000000,28800,28800,28800,100,0,0,0.1,,,0,,100,26000,,2880000,2880000,,
669.7,-1000,-29420000,297605000,327025000,758200000,19203484.8,41328333.3,0.3,1445.5,187.9,0,,-200,-5740000,28700,"2023-02-24T11:15:00.000Z",1677237300000,28700,28700,28700,0,100,0,,0.1,,Infinity,200,200,26200,,5740000,,5740000,
669.7,-19600,-560440000,297605000,858045000,1329190000,19203484.8,41328333.3,24,1445.5,187.9,0,,-18600,-531020000,28500,"2023-02-24T11:25:00.000Z",1677237900000,28650,28500,28650,0,93,7,,12.9,7.5,Infinity,18600,20000,46200,1400,570990000,,531020000,39970000
669.7,-18800,-537530000,360275000,897805000,1431620000,19203484.8,41328333.3,-1,1445.5,187.9,1.6,2200,800,22910000,28400,"2023-02-24T13:00:00.000Z",1677243600000,28500,28400,28500,61.1,38.9,0,3.3,1,,0.6,1400,3600,49800,,102430000,62670000,39760000,
669.7,-18400,-526170000,371635000,897805000,1442980000,19203484.8,41328333.3,-0.5,1445.5,187.9,Infinity,400,400,11360000,28400,"2023-02-24T13:05:00.000Z",1677243900000,28400,28400,28400,100,0,0,0.6,,,0,,400,50200,,11360000,11360000,,
669.7,-18600,-531845000,371635000,903480000,1451495000,19203484.8,41328333.3,0.3,1445.5,187.9,0,,-200,-5675000,28350,"2023-02-24T13:10:00.000Z",1677244200000,28400,28350,28400,0,66.7,33.3,,0.1,0.5,Infinity,200,300,50500,100,8515000,,5675000,2840000
