┌─────────┬─────┬─────┬─────┬─────┬───────┬──────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c  │  h  │  l  │  o  │  bu   │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼─────┼─────┼─────┼─────┼───────┼──────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 700 │ 700 │ 700 │ 700 │  300  │  210000  │    300    │   300   │  210000  │  210000  │ 1677229200000 │ '2023-02-24T09:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 0.1  │  300  │  210000   │ 3351764.7  │     0      │    300    │    210000     │   210000    │      0      │  0.1  │
│    1    │ 700 │ 700 │ 700 │ 700 │ 2000  │ 1400000  │   2300    │  2000   │ 1400000  │ 1610000  │ 1677230100000 │ '2023-02-24T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 0.4  │ 2000  │  1400000  │ 3351764.7  │     0      │   2300    │    1610000    │   1610000   │      0      │  0.4  │
│    2    │ 700 │ 700 │ 700 │ 700 │ 50000 │ 35000000 │   52300   │  50000  │ 35000000 │ 36610000 │ 1677230700000 │ '2023-02-24T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 10.4 │ 50000 │ 35000000  │ 3351764.7  │     0      │   52300   │   36610000    │  36610000   │      0      │ 10.4  │
│    3    │ 700 │ 700 │ 700 │ 700 │ 2600  │ 1820000  │   54900   │  2600   │ 1820000  │ 38430000 │ 1677231000000 │ '2023-02-24T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 0.5  │ 2600  │  1820000  │ 3351764.7  │     0      │   54900   │   38430000    │  38430000   │      0      │  0.5  │
│    4    │ 700 │ 700 │ 700 │ 700 │ 11000 │ 7700000  │   65900   │  11000  │ 7700000  │ 46130000 │ 1677231900000 │ '2023-02-24T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 2.3  │ 11000 │  7700000  │ 3351764.7  │     0      │   65900   │   46130000    │  46130000   │      0      │  2.3  │
│    5    │ 700 │ 700 │ 700 │ 700 │ 1700  │ 1190000  │   67600   │  1700   │ 1190000  │ 47320000 │ 1677232200000 │ '2023-02-24T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 0.4  │ 1700  │  1190000  │ 3351764.7  │     0      │   67600   │   47320000    │  47320000   │      0      │  0.4  │
│    6    │ 700 │ 700 │ 700 │ 700 │  200  │  140000  │   67800   │   200   │  140000  │ 47460000 │ 1677232800000 │ '2023-02-24T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │  0   │  200  │  140000   │ 3351764.7  │     0      │   67800   │   47460000    │  47460000   │      0      │   0   │
│    7    │ 700 │ 700 │ 700 │ 700 │  500  │  350000  │   68300   │   500   │  350000  │ 47810000 │ 1677234000000 │ '2023-02-24T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 0.1  │  500  │  350000   │ 3351764.7  │     0      │   68300   │   47810000    │  47810000   │      0      │  0.1  │
│    8    │ 700 │ 700 │ 700 │ 700 │  500  │  350000  │   68800   │   500   │  350000  │ 48160000 │ 1677234900000 │ '2023-02-24T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4788.2 │  0  │  0  │ 0.1  │  500  │  350000   │ 3351764.7  │     0      │   68800   │   48160000    │  48160000   │      0      │  0.1  │
