"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
2512.5,3900,32850000,32850000,0,32850000,21138000,15906000,6.3,1912.5,80,Infinity,3900,3900,32850000,8400,"2023-02-27T09:00:00.000Z",1677488400000,8500,8400,8500,100,0,0,1.6,,,0,,3900,3900,,32850000,32850000,,
2512.5,10700,89970000,94170000,4200000,98370000,21138000,15906000,10.9,1912.5,80,14.6,7300,6800,57120000,8400,"2023-02-27T09:05:00.000Z",1677488700000,8400,8400,8400,93.6,6.4,0,2.9,0.3,,0.1,500,7800,11700,,65520000,61320000,4200000,
2512.5,11400,95880000,101730000,5850000,107580000,21138000,15906000,1.1,1912.5,80,4.5,900,700,5910000,8300,"2023-02-27T09:15:00.000Z",1677489300000,8400,8200,8400,81.8,18.2,0,0.4,0.1,,0.2,200,1100,12800,,9210000,7560000,1650000,
2512.5,9600,81640000,144890000,63250000,208140000,21138000,15906000,-2.7,1912.5,80,0.7,5200,-1800,-14240000,8300,"2023-02-27T09:20:00.000Z",1677489600000,8300,8200,8300,42.6,57.4,0,2.1,3.7,,1.3,7000,12200,25000,,100560000,43160000,57400000,
2512.5,8200,70170000,145720000,75550000,222100000,21138000,15906000,-2.2,1912.5,80,0.1,100,-1400,-11470000,8200,"2023-02-27T09:25:00.000Z",1677489900000,8300,8200,8300,5.9,88.2,5.9,0,0.8,1.3,15,1500,1700,26700,100,13960000,830000,12300000,830000
2512.5,13200,111880000,189090000,77210000,267130000,21138000,15906000,8,1912.5,80,26,5200,5000,41710000,8400,"2023-02-27T09:35:00.000Z",1677490500000,8400,8300,8300,96.3,3.7,0,2.1,0.1,,0,200,5400,32100,,45030000,43370000,1660000,
2512.5,14200,120280000,197490000,77210000,275530000,21138000,15906000,1.6,1912.5,80,Infinity,1000,1000,8400000,8400,"2023-02-27T09:40:00.000Z",1677490800000,8400,8400,8400,100,0,0,0.4,,,0,,1000,33100,,8400000,8400000,,
2512.5,19800,167320000,244530000,77210000,322570000,21138000,15906000,9,1912.5,80,Infinity,5600,5600,47040000,8400,"2023-02-27T09:45:00.000Z",1677491100000,8400,8400,8400,100,0,0,2.2,,,0,,5600,38700,,47040000,47040000,,
2512.5,18500,156550000,246210000,89660000,336700000,21138000,15906000,-2.1,1912.5,80,0.1,200,-1300,-10770000,8400,"2023-02-27T09:50:00.000Z",1677491400000,8400,8300,8400,11.8,88.2,0,0.1,0.8,,7.5,1500,1700,40400,,14130000,1680000,12450000,
2512.5,26800,227100000,325260000,98160000,424250000,21138000,15906000,13.5,1912.5,80,9.3,9300,8300,70550000,8500,"2023-02-27T09:55:00.000Z",1677491700000,8500,8500,8500,90.3,9.7,0,3.7,0.5,,0.1,1000,10300,50700,,87550000,79050000,8500000,
