"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
4805.6,39700,51610000,51610000,0,51610000,6363055.6,2003888.9,11.8,1544.4,413.9,Infinity,39700,39700,51610000,1.3,"2023-03-01T09:00:00.000Z",1677661200000,1.3,1.3,1.3,100,0,0,8.3,,,0,,39700,39700,,51610000,51610000,,
4805.6,40000,52010000,52010000,0,52140000,6363055.6,2003888.9,0.1,1544.4,413.9,Infinity,300,300,400000,1.4,"2023-03-01T09:05:00.000Z",1677661500000,1.4,1.3,1.3,75,0,25,0.1,,0.2,0,,400,40100,100,530000,400000,,130000
4805.6,38900,50580000,52010000,1430000,53570000,6363055.6,2003888.9,-0.3,1544.4,413.9,0,,-1100,-1430000,1.3,"2023-03-01T09:15:00.000Z",1677662100000,1.3,1.3,1.3,0,100,0,,0.7,,Infinity,1100,1100,41200,,1430000,,1430000,
4805.6,33900,44080000,52010000,7930000,60070000,6363055.6,2003888.9,-1.5,1544.4,413.9,0,,-5000,-6500000,1.3,"2023-03-01T09:20:00.000Z",1677662400000,1.3,1.3,1.3,0,100,0,,3.2,,Infinity,5000,5000,46200,,6500000,,6500000,
4805.6,16900,21980000,52010000,30030000,82170000,6363055.6,2003888.9,-5.1,1544.4,413.9,0,,-17000,-22100000,1.3,"2023-03-01T09:25:00.000Z",1677662700000,1.3,1.3,1.3,0,100,0,,11,,Infinity,17000,17000,63200,,22100000,,22100000,
4805.6,24000,31210000,61240000,30030000,91400000,6363055.6,2003888.9,2.1,1544.4,413.9,Infinity,7100,7100,9230000,1.3,"2023-03-01T09:30:00.000Z",1677663000000,1.3,1.3,1.3,100,0,0,1.5,,,0,,7100,70300,,9230000,9230000,,
4805.6,34700,45120000,75150000,30030000,105310000,6363055.6,2003888.9,3.2,1544.4,413.9,Infinity,10700,10700,13910000,1.3,"2023-03-01T09:35:00.000Z",1677663300000,1.3,1.3,1.3,100,0,0,2.2,,,0,,10700,81000,,13910000,13910000,,
4805.6,36800,47860000,78010000,30150000,108290000,6363055.6,2003888.9,0.6,1544.4,413.9,22,2200,2100,2740000,1.3,"2023-03-01T09:40:00.000Z",1677663600000,1.3,1.2,1.3,95.7,4.3,0,0.5,0.1,,0,100,2300,83300,,2980000,2860000,120000,
4805.6,40900,53190000,83340000,30150000,113620000,6363055.6,2003888.9,1.2,1544.4,413.9,Infinity,4100,4100,5330000,1.3,"2023-03-01T09:45:00.000Z",1677663900000,1.3,1.3,1.3,100,0,0,0.9,,,0,,4100,87400,,5330000,5330000,,
4805.6,41300,53720000,83990000,30270000,114390000,6363055.6,2003888.9,0.1,1544.4,413.9,5,500,400,530000,1.3,"2023-03-01T10:05:00.000Z",1677665100000,1.3,1.2,1.3,83.3,16.7,0,0.1,0.1,,0.2,100,600,88000,,770000,650000,120000,
4805.6,45300,58920000,89190000,30270000,119590000,6363055.6,2003888.9,1.2,1544.4,413.9,Infinity,4000,4000,5200000,1.3,"2023-03-01T10:10:00.000Z",1677665400000,1.3,1.3,1.3,100,0,0,0.8,,,0,,4000,92000,,5200000,5200000,,
4805.6,46600,60620000,91010000,30390000,121530000,6363055.6,2003888.9,0.4,1544.4,413.9,14,1400,1300,1700000,1.2,"2023-03-01T10:15:00.000Z",1677665700000,1.3,1.2,1.3,93.3,6.7,0,0.3,0.1,,0.1,100,1500,93500,,1940000,1820000,120000,
4805.6,47000,61140000,91530000,30390000,122050000,6363055.6,2003888.9,0.1,1544.4,413.9,Infinity,400,400,520000,1.3,"2023-03-01T10:20:00.000Z",1677666000000,1.3,1.3,1.3,100,0,0,0.1,,,0,,400,93900,,520000,520000,,
4805.6,51600,67120000,97510000,30390000,128030000,6363055.6,2003888.9,1.4,1544.4,413.9,Infinity,4600,4600,5980000,1.3,"2023-03-01T10:25:00.000Z",1677666300000,1.3,1.3,1.3,100,0,0,1,,,0,,4600,98500,,5980000,5980000,,
4805.6,55600,72320000,102710000,30390000,133230000,6363055.6,2003888.9,1.2,1544.4,413.9,Infinity,4000,4000,5200000,1.3,"2023-03-01T10:35:00.000Z",1677666900000,1.3,1.3,1.3,100,0,0,0.8,,,0,,4000,102500,,5200000,5200000,,
4805.6,67700,88050000,118440000,30390000,148960000,6363055.6,2003888.9,3.6,1544.4,413.9,Infinity,12100,12100,15730000,1.3,"2023-03-01T10:40:00.000Z",1677667200000,1.3,1.3,1.3,100,0,0,2.5,,,0,,12100,114600,,15730000,15730000,,
4805.6,67700,88150000,119740000,31590000,151460000,6363055.6,2003888.9,0,1544.4,413.9,1,1000,0,100000,1.2,"2023-03-01T10:45:00.000Z",1677667500000,1.3,1.2,1.3,50,50,0,0.2,0.6,,1,1000,2000,116600,,2500000,1300000,1200000,
4805.6,67800,88290000,120000000,31710000,151840000,6363055.6,2003888.9,0,1544.4,413.9,2,200,100,140000,1.3,"2023-03-01T10:50:00.000Z",1677667800000,1.3,1.2,1.2,66.7,33.3,0,0,0.1,,0.5,100,300,116900,,380000,260000,120000,
4805.6,87000,113250000,144960000,31710000,176800000,6363055.6,2003888.9,5.7,1544.4,413.9,Infinity,19200,19200,24960000,1.3,"2023-03-01T10:55:00.000Z",1677668100000,1.3,1.3,1.3,100,0,0,4,,,0,,19200,136100,,24960000,24960000,,
4805.6,87900,114420000,146130000,31710000,177970000,6363055.6,2003888.9,0.3,1544.4,413.9,Infinity,900,900,1170000,1.3,"2023-03-01T11:00:00.000Z",1677668400000,1.3,1.3,1.3,100,0,0,0.2,,,0,,900,137000,,1170000,1170000,,
