"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
25,0,0,0,0,3090000,255625,11673125,0,1156.3,87.5,NaN,,0,0,10300,"2023-03-02T09:30:00.000Z",1677749400000,10300,10300,10300,0,0,100,,,3.4,NaN,,300,300,300,3090000,,,3090000
25,-200,-2030000,1030000,3060000,7180000,255625,11673125,0.2,1156.3,87.5,0.3,100,-200,-2030000,10200,"2023-03-02T09:35:00.000Z",1677749700000,10300,10200,10300,25,75,0,4,0.3,,3,300,400,700,,4090000,1030000,3060000,
25,-200,-2030000,1030000,3060000,17380000,255625,11673125,0,1156.3,87.5,NaN,,0,0,10200,"2023-03-02T09:45:00.000Z",1677750300000,10200,10200,10200,0,0,100,,,11.4,NaN,,1000,1700,1000,10200000,,,10200000
25,-1200,-12130000,1030000,13160000,27480000,255625,11673125,0.9,1156.3,87.5,0,,-1000,-10100000,10100,"2023-03-02T10:00:00.000Z",1677751200000,10100,10100,10100,0,100,0,,0.9,,Infinity,1000,1000,2700,,10100000,,10100000,
25,-1300,-13140000,1030000,14170000,28490000,255625,11673125,0.1,1156.3,87.5,0,,-100,-1010000,10100,"2023-03-02T10:05:00.000Z",1677751500000,10100,10100,10100,0,100,0,,0.1,,Infinity,100,100,2800,,1010000,,1010000,
25,-2800,-28290000,1030000,29320000,43640000,255625,11673125,1.3,1156.3,87.5,0,,-1500,-15150000,10100,"2023-03-02T10:30:00.000Z",1677753000000,10100,10100,10100,0,100,0,,1.3,,Infinity,1500,1500,4300,,15150000,,15150000,
25,-3200,-32330000,1030000,33360000,47680000,255625,11673125,0.4,1156.3,87.5,0,,-400,-4040000,10100,"2023-03-02T10:35:00.000Z",1677753300000,10100,10100,10100,0,100,0,,0.3,,Infinity,400,400,4700,,4040000,,4040000,
25,-4300,-43330000,1030000,44360000,58680000,255625,11673125,1,1156.3,87.5,0,,-1100,-11000000,10000,"2023-03-02T10:40:00.000Z",1677753600000,10000,10000,10000,0,100,0,,1,,Infinity,1100,1100,5800,,11000000,,11000000,
25,-9900,-99890000,1030000,100920000,115240000,255625,11673125,5,1156.3,87.5,0,,-5600,-56560000,10100,"2023-03-02T10:45:00.000Z",1677753900000,10100,10100,10100,0,100,0,,4.8,,Infinity,5600,5600,11400,,56560000,,56560000,
25,-9900,-99890000,1030000,100920000,116260000,255625,11673125,0,1156.3,87.5,NaN,,0,0,10200,"2023-03-02T11:05:00.000Z",1677755100000,10200,10200,10200,0,0,100,,,1.1,NaN,,100,11500,100,1020000,,,1020000
25,-12800,-129180000,1030000,130210000,145550000,255625,11673125,2.6,1156.3,87.5,0,,-2900,-29290000,10100,"2023-03-02T11:20:00.000Z",1677756000000,10100,10100,10100,0,100,0,,2.5,,Infinity,2900,2900,14400,,29290000,,29290000,
25,-16800,-169580000,1030000,170610000,185950000,255625,11673125,3.5,1156.3,87.5,0,,-4000,-40400000,10100,"2023-03-02T11:25:00.000Z",1677756300000,10100,10100,10100,0,100,0,,3.5,,Infinity,4000,4000,18400,,40400000,,40400000,
25,-16900,-170590000,1030000,171620000,186960000,255625,11673125,0.1,1156.3,87.5,0,,-100,-1010000,10100,"2023-03-02T13:00:00.000Z",1677762000000,10100,10100,10100,0,100,0,,0.1,,Infinity,100,100,18500,,1010000,,1010000,
25,-18400,-185740000,1030000,186770000,202110000,255625,11673125,1.3,1156.3,87.5,0,,-1500,-15150000,10100,"2023-03-02T13:50:00.000Z",1677765000000,10100,10100,10100,0,100,0,,1.3,,Infinity,1500,1500,20000,,15150000,,15150000,
25,-18300,-184720000,2050000,186770000,203130000,255625,11673125,-0.1,1156.3,87.5,Infinity,100,100,1020000,10200,"2023-03-02T14:20:00.000Z",1677766800000,10200,10200,10200,100,0,0,4,,,0,,100,20100,,1020000,1020000,,
25,-18100,-182680000,4090000,186770000,205170000,255625,11673125,-0.2,1156.3,87.5,Infinity,200,200,2040000,10200,"2023-03-02T14:45:00.000Z",1677768300000,10200,10200,10200,100,0,0,8,,,0,,200,20300,,2040000,2040000,,
