"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
52359.6,124200,1584905000,2252260000,667355000,2919615000,657240212.8,1136692978.7,-3.3,90817,11114.9,3.4,176400,124200,1584905000,12800,"2023-03-03T09:15:00.000Z",1677834900000,12850,12700,12750,77.2,22.8,0,3.4,0.6,,0.3,52200,228600,228600,,2919615000,2252260000,667355000,
52359.6,111000,1417885000,2607775000,1189890000,3797665000,657240212.8,1136692978.7,0.3,90817,11114.9,0.7,27800,-13200,-167020000,12750,"2023-03-03T09:20:00.000Z",1677835200000,12800,12700,12800,40.4,59.6,0,0.5,0.5,,1.5,41000,68800,297400,,878050000,355515000,522535000,
52359.6,122400,1563845000,2908675000,1344830000,4253505000,657240212.8,1136692978.7,-0.3,90817,11114.9,1.9,23600,11400,145960000,12750,"2023-03-03T09:25:00.000Z",1677835500000,12750,12700,12700,65.9,34.1,0,0.5,0.1,,0.5,12200,35800,333200,,455840000,300900000,154940000,
52359.6,-144100,-1819025000,3059100000,4878125000,7937225000,657240212.8,1136692978.7,7.1,90817,11114.9,0,11800,-266500,-3382870000,12650,"2023-03-03T09:30:00.000Z",1677835800000,12750,12650,12750,4.1,95.9,0,0.2,3.1,,23.6,278300,290100,623300,,3683720000,150425000,3533295000,
52359.6,-281000,-3548035000,3059100000,6607135000,9666235000,657240212.8,1136692978.7,3.6,90817,11114.9,0,,-136900,-1729010000,12600,"2023-03-03T09:35:00.000Z",1677836100000,12650,12600,12650,0,100,0,,1.5,,Infinity,136900,136900,760200,,1729010000,,1729010000,
52359.6,-370000,-4669280000,3098315000,7767595000,10865910000,657240212.8,1136692978.7,2.3,90817,11114.9,0,3100,-89000,-1121245000,12600,"2023-03-03T09:40:00.000Z",1677836400000,12650,12600,12600,3.3,96.7,0,0.1,1,,29.7,92100,95200,855400,,1199675000,39215000,1160460000,
52359.6,-459800,-5799830000,3381540000,9181370000,12583070000,657240212.8,1136692978.7,2.4,90817,11114.9,0.2,22400,-89800,-1130550000,12600,"2023-03-03T09:45:00.000Z",1677836700000,12650,12550,12600,16.4,82.4,1.2,0.4,1.2,0.1,5,112200,136200,991600,1600,1717160000,283225000,1413775000,20160000
52359.6,-478000,-6028945000,3433405000,9462350000,12915915000,657240212.8,1136692978.7,0.5,90817,11114.9,0.2,4100,-18200,-229115000,12650,"2023-03-03T09:50:00.000Z",1677837000000,12650,12600,12600,15.5,84.5,0,0.1,0.2,,5.4,22300,26400,1018000,,332845000,51865000,280980000,
52359.6,-461800,-5823810000,3690200000,9514010000,13224370000,657240212.8,1136692978.7,-0.4,90817,11114.9,5,20300,16200,205135000,12600,"2023-03-03T09:55:00.000Z",1677837300000,12650,12600,12600,83.2,16.8,0,0.4,0,,0.2,4100,24400,1042400,,308455000,256795000,51660000,
52359.6,-462000,-5826240000,3712970000,9539210000,13272340000,657240212.8,1136692978.7,0,90817,11114.9,0.9,1800,-200,-2430000,12600,"2023-03-03T10:00:00.000Z",1677837600000,12650,12600,12650,47.4,52.6,0,0,0,,1.1,2000,3800,1046200,,47970000,22770000,25200000,
52359.6,-463300,-5842020000,3864770000,9706790000,13591720000,657240212.8,1136692978.7,0,90817,11114.9,0.9,12000,-1300,-15780000,12650,"2023-03-03T10:05:00.000Z",1677837900000,12650,12600,12600,47.4,52.6,0,0.2,0.1,,1.1,13300,25300,1071500,,319380000,151800000,167580000,
52359.6,-527100,-6645800000,3890070000,10535870000,14446100000,657240212.8,1136692978.7,1.7,90817,11114.9,0,2000,-63800,-803780000,12650,"2023-03-03T10:10:00.000Z",1677838200000,12650,12600,12600,2.9,97.1,0,0,0.7,,32.9,65800,67800,1139300,,854380000,25300000,829080000,
52359.6,-528700,-6665710000,3953320000,10619030000,14592510000,657240212.8,1136692978.7,0,90817,11114.9,0.8,5000,-1600,-19910000,12600,"2023-03-03T10:15:00.000Z",1677838500000,12650,12600,12650,43.1,56.9,0,0.1,0.1,,1.3,6600,11600,1150900,,146410000,63250000,83160000,
