"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
100,0,0,0,0,2680000,2690000,5932000,0,220,50,NaN,,0,0,26800,"2023-03-06T09:05:00.000Z",1678093500000,26800,26800,26800,0,0,100,,,2,NaN,,100,100,100,2680000,,,2680000
100,-100,-2660000,0,2660000,5340000,2690000,5932000,0.8,220,50,0,,-100,-2660000,26600,"2023-03-06T09:40:00.000Z",1678095600000,26600,26600,26600,0,100,0,,0.5,,Infinity,100,100,200,,2660000,,2660000,
100,-100,-2660000,0,2660000,8020000,2690000,5932000,0,220,50,NaN,,0,0,26800,"2023-03-06T09:45:00.000Z",1678095900000,26800,26800,26800,0,0,100,,,2,NaN,,100,300,100,2680000,,,2680000
100,-200,-5320000,0,5320000,10680000,2690000,5932000,0.8,220,50,0,,-100,-2660000,26600,"2023-03-06T10:50:00.000Z",1678099800000,26600,26600,26600,0,100,0,,0.5,,Infinity,100,100,400,,2660000,,2660000,
100,-1200,-32320000,0,32320000,37680000,2690000,5932000,8.3,220,50,0,,-1000,-27000000,27000,"2023-03-06T11:00:00.000Z",1678100400000,27000,27000,27000,0,100,0,,4.5,,Infinity,1000,1000,1400,,27000000,,27000000,
100,-2200,-59320000,0,59320000,67380000,2690000,5932000,8.3,220,50,0,,-1000,-27000000,27000,"2023-03-06T11:05:00.000Z",1678100700000,27000,27000,27000,0,90.9,9.1,,4.5,2,Infinity,1000,1100,2500,100,29700000,,27000000,2700000
100,-2000,-53940000,5380000,59320000,72760000,2690000,5932000,-1.7,220,50,Infinity,200,200,5380000,26900,"2023-03-06T11:20:00.000Z",1678101600000,26900,26900,26900,100,0,0,2,,,0,,200,2700,,5380000,5380000,,
100,-1800,-48560000,10760000,59320000,78140000,2690000,5932000,-1.7,220,50,Infinity,200,200,5380000,26900,"2023-03-06T11:25:00.000Z",1678101900000,26900,26900,26900,100,0,0,2,,,0,,200,2900,,5380000,5380000,,
100,-1400,-37800000,21520000,59320000,88900000,2690000,5932000,-3.3,220,50,Infinity,400,400,10760000,26900,"2023-03-06T14:05:00.000Z",1678111500000,26900,26900,26900,100,0,0,4,,,0,,400,3300,,10760000,10760000,,
100,-1200,-32420000,26900000,59320000,99640000,2690000,5932000,-1.7,220,50,Infinity,200,200,5380000,26800,"2023-03-06T14:25:00.000Z",1678112700000,26900,26800,26900,50,0,50,2,,4,0,,400,3700,200,10740000,5380000,,5360000
