"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1038.5,900,12735000,12735000,0,12735000,14633461.5,7109615.4,1.7,507.7,0,Infinity,900,900,12735000,14150,"2023-03-08T10:15:00.000Z",1678270500000,14150,14150,14150,100,0,0,0.9,,,0,,900,900,,12735000,12735000,,
1038.5,800,11320000,12735000,1415000,14150000,14633461.5,7109615.4,-0.2,507.7,0,0,,-100,-1415000,14150,"2023-03-08T10:20:00.000Z",1678270800000,14150,14150,14150,0,100,0,,0.2,,Infinity,100,100,1000,,1415000,,1415000,
1038.5,2300,32545000,33960000,1415000,35375000,14633461.5,7109615.4,2.8,507.7,0,Infinity,1500,1500,21225000,14150,"2023-03-08T10:25:00.000Z",1678271100000,14150,14150,14150,100,0,0,1.4,,,0,,1500,2500,,21225000,21225000,,
1038.5,3300,46695000,48110000,1415000,49525000,14633461.5,7109615.4,1.9,507.7,0,Infinity,1000,1000,14150000,14150,"2023-03-08T10:40:00.000Z",1678272000000,14150,14150,14150,100,0,0,1,,,0,,1000,3500,,14150000,14150000,,
1038.5,4300,60795000,62210000,1415000,63625000,14633461.5,7109615.4,1.9,507.7,0,Infinity,1000,1000,14100000,14100,"2023-03-08T11:05:00.000Z",1678273500000,14100,14100,14100,100,0,0,1,,,0,,1000,4500,,14100000,14100000,,
1038.5,5300,74845000,76260000,1415000,77675000,14633461.5,7109615.4,1.9,507.7,0,Infinity,1000,1000,14050000,14050,"2023-03-08T11:10:00.000Z",1678273800000,14050,14050,14050,100,0,0,1,,,0,,1000,5500,,14050000,14050000,,
1038.5,6500,91705000,94525000,2820000,97345000,14633461.5,7109615.4,2.2,507.7,0,13,1300,1200,16860000,14050,"2023-03-08T11:15:00.000Z",1678274100000,14050,14050,14050,92.9,7.1,0,1.3,0.2,,0.1,100,1400,6900,,19670000,18265000,1405000,
1038.5,10100,142285000,145105000,2820000,147925000,14633461.5,7109615.4,6.7,507.7,0,Infinity,3600,3600,50580000,14050,"2023-03-08T11:20:00.000Z",1678274400000,14050,14050,14050,100,0,0,3.5,,,0,,3600,10500,,50580000,50580000,,
1038.5,10700,150715000,170395000,19680000,190075000,14633461.5,7109615.4,1.1,507.7,0,1.5,1800,600,8430000,14050,"2023-03-08T11:25:00.000Z",1678274700000,14050,14050,14050,60,40,0,1.7,2.4,,0.7,1200,3000,13500,,42150000,25290000,16860000,
1038.5,8900,125505000,170395000,44890000,215285000,14633461.5,7109615.4,-3.4,507.7,0,0,,-1800,-25210000,14000,"2023-03-08T13:00:00.000Z",1678280400000,14050,14000,14050,0,100,0,,3.5,,Infinity,1800,1800,15300,,25210000,,25210000,
1038.5,6800,96105000,170395000,74290000,244685000,14633461.5,7109615.4,-3.9,507.7,0,0,,-2100,-29400000,14000,"2023-03-08T13:05:00.000Z",1678280700000,14000,14000,14000,0,100,0,,4.1,,Infinity,2100,2100,17400,,29400000,,29400000,
1038.5,5700,80770000,173195000,92425000,265620000,14633461.5,7109615.4,-2,507.7,0,0.2,200,-1100,-15335000,14000,"2023-03-08T13:10:00.000Z",1678281000000,14000,13950,13950,13.3,86.7,0,0.2,2.6,,6.5,1300,1500,18900,,20935000,2800000,18135000,
1038.5,6900,97810000,190235000,92425000,282660000,14633461.5,7109615.4,2.3,507.7,0,Infinity,1200,1200,17040000,14200,"2023-03-08T14:45:00.000Z",1678286700000,14200,14200,14200,100,0,0,1.2,,,0,,1200,20100,,17040000,17040000,,
