"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1225,1100,30580000,36140000,5560000,41700000,34008125,33853750,198.1,1220.8,20.8,6.5,1300,1100,30580000,27800,"2023-03-10T09:15:00.000Z",1678439700000,27800,27800,27800,86.7,13.3,0,1.1,0.2,,0.2,200,1500,1500,,41700000,36140000,5560000,
1225,100,2730000,36140000,33410000,69550000,34008125,33853750,-180.4,1220.8,20.8,0,,-1000,-27850000,27850,"2023-03-10T09:30:00.000Z",1678440600000,27850,27850,27850,0,100,0,,0.8,,Infinity,1000,1000,2500,,27850000,,27850000,
1225,-500,-13980000,36140000,50120000,86260000,34008125,33853750,-108.2,1220.8,20.8,0,,-600,-16710000,27850,"2023-03-10T09:35:00.000Z",1678440900000,27850,27850,27850,0,100,0,,0.5,,Infinity,600,600,3100,,16710000,,16710000,
1225,-4800,-133390000,47280000,180670000,227950000,34008125,33853750,-773.5,1220.8,20.8,0.1,400,-4300,-119410000,27700,"2023-03-10T09:50:00.000Z",1678441800000,27850,27700,27800,7.8,92.2,0,0.3,3.8,,11.8,4700,5100,8200,,141690000,11140000,130550000,
1225,800,22010000,202680000,180670000,383350000,34008125,33853750,1006.6,1220.8,20.8,Infinity,5600,5600,155400000,27750,"2023-03-10T09:55:00.000Z",1678442100000,27750,27750,27750,100,0,0,4.6,,,0,,5600,13800,,155400000,155400000,,
1225,2100,58085000,238755000,180670000,419425000,34008125,33853750,233.7,1220.8,20.8,Infinity,1300,1300,36075000,27750,"2023-03-10T10:00:00.000Z",1678442400000,27750,27750,27750,100,0,0,1.1,,,0,,1300,15100,,36075000,36075000,,
1225,3600,99710000,297030000,197320000,494350000,34008125,33853750,269.6,1220.8,20.8,3.5,2100,1500,41625000,27750,"2023-03-10T10:05:00.000Z",1678442700000,27750,27750,27750,77.8,22.2,0,1.7,0.5,,0.3,600,2700,17800,,74925000,58275000,16650000,
1225,-600,-16680000,316500000,333180000,649680000,34008125,33853750,-753.9,1220.8,20.8,0.1,700,-4200,-116390000,27700,"2023-03-10T10:10:00.000Z",1678443000000,27850,27700,27850,12.5,87.5,0,0.6,4,,7,4900,5600,23400,,155330000,19470000,135860000,
1225,2300,63765000,396945000,333180000,730125000,34008125,33853750,521.1,1220.8,20.8,Infinity,2900,2900,80445000,27750,"2023-03-10T10:15:00.000Z",1678443300000,27750,27700,27700,100,0,0,2.4,,,0,,2900,26300,,80445000,80445000,,
1225,300,8400000,396945000,388545000,785490000,34008125,33853750,-358.6,1220.8,20.8,0,,-2000,-55365000,27650,"2023-03-10T10:25:00.000Z",1678443900000,27750,27650,27750,0,100,0,,1.6,,Infinity,2000,2000,28300,,55365000,,55365000,
1225,-400,-10990000,405255000,416245000,821500000,34008125,33853750,-125.6,1220.8,20.8,0.3,300,-700,-19390000,27700,"2023-03-10T10:30:00.000Z",1678444200000,27700,27700,27700,23.1,76.9,0,0.2,0.8,,3.3,1000,1300,29600,,36010000,8310000,27700000,
1225,-1600,-44100000,444035000,488135000,932170000,34008125,33853750,-214.5,1220.8,20.8,0.5,1400,-1200,-33110000,27650,"2023-03-10T10:35:00.000Z",1678444500000,27700,27650,27700,35,65,0,1.1,2.1,,1.9,2600,4000,33600,,110670000,38780000,71890000,
1225,5100,141415000,629550000,488135000,1117685000,34008125,33853750,1201.7,1220.8,20.8,Infinity,6700,6700,185515000,28000,"2023-03-10T10:40:00.000Z",1678444800000,28000,27650,27650,100,0,0,5.5,,,0,,6700,40300,,185515000,185515000,,
1225,4900,135985000,637945000,501960000,1153780000,34008125,33853750,-35.2,1220.8,20.8,0.6,300,-200,-5430000,27950,"2023-03-10T13:00:00.000Z",1678453200000,28000,27650,27950,23.1,38.5,38.5,0.2,0.4,24,1.7,500,1300,41600,500,36095000,8395000,13825000,13875000
1225,5100,141565000,643525000,501960000,1159360000,34008125,33853750,36.1,1220.8,20.8,Infinity,200,200,5580000,27900,"2023-03-10T13:10:00.000Z",1678453800000,27900,27900,27900,100,0,0,0.2,,,0,,200,41800,,5580000,5580000,,
