"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1216.7,2500,28250000,29370000,1120000,30490000,13459761.9,13898333.3,-64.4,1264.3,226.2,26,2600,2500,28250000,11200,"2023-03-16T09:00:00.000Z",1678957200000,11300,11200,11300,96.3,3.7,0,2.1,0.1,,0,100,2700,2700,,30490000,29370000,1120000,
1216.7,400,5260000,42680000,37420000,80100000,13459761.9,13898333.3,52.4,1264.3,226.2,0.4,1200,-2100,-22990000,11000,"2023-03-16T09:10:00.000Z",1678957800000,11100,11000,11100,26.7,73.3,0,1,2.6,,2.8,3300,4500,7200,,49610000,13310000,36300000,
1216.7,-400,-3460000,87270000,90730000,178000000,13459761.9,13898333.3,19.9,1264.3,226.2,0.8,4000,-800,-8720000,11200,"2023-03-16T09:15:00.000Z",1678958100000,11200,11000,11000,45.5,54.5,0,3.3,3.8,,1.2,4800,8800,16000,,97900000,44590000,53310000,
1216.7,-1300,-13450000,87270000,100720000,206860000,13459761.9,13898333.3,22.8,1264.3,226.2,0,,-900,-9990000,11100,"2023-03-16T09:20:00.000Z",1678958400000,11100,11100,11100,0,34.6,65.4,,0.7,7.5,Infinity,900,2600,18600,1700,28860000,,9990000,18870000
1216.7,-4200,-45640000,89490000,135130000,246820000,13459761.9,13898333.3,73.4,1264.3,226.2,0.1,200,-2900,-32190000,11100,"2023-03-16T09:25:00.000Z",1678958700000,11100,11100,11100,5.6,86.1,8.3,0.2,2.5,1.3,15.5,3100,3600,22200,300,39960000,2220000,34410000,3330000
1216.7,-3200,-34540000,100590000,135130000,257920000,13459761.9,13898333.3,-25.3,1264.3,226.2,Infinity,1000,1000,11100000,11100,"2023-03-16T09:30:00.000Z",1678959000000,11100,11100,11100,100,0,0,0.8,,,0,,1000,23200,,11100000,11100000,,
1216.7,-4400,-47610000,115020000,162630000,299850000,13459761.9,13898333.3,29.8,1264.3,226.2,0.5,1300,-1200,-13070000,11100,"2023-03-16T09:35:00.000Z",1678959300000,11100,11000,11000,34.2,65.8,0,1.1,2,,1.9,2500,3800,27000,,41930000,14430000,27500000,
1216.7,500,6780000,169410000,162630000,354240000,13459761.9,13898333.3,-124,1264.3,226.2,Infinity,4900,4900,54390000,11100,"2023-03-16T09:40:00.000Z",1678959600000,11100,11100,11100,100,0,0,4,,,0,,4900,31900,,54390000,54390000,,
1216.7,1300,15660000,178290000,162630000,385320000,13459761.9,13898333.3,-20.2,1264.3,226.2,Infinity,800,800,8880000,11100,"2023-03-16T09:45:00.000Z",1678959900000,11100,11100,11100,28.6,0,71.4,0.7,,8.8,0,,2800,34700,2000,31080000,8880000,,22200000
1216.7,1400,16770000,179400000,162630000,386430000,13459761.9,13898333.3,-2.5,1264.3,226.2,Infinity,100,100,1110000,11100,"2023-03-16T09:55:00.000Z",1678960500000,11100,11100,11100,100,0,0,0.1,,,0,,100,34800,,1110000,1110000,,
1216.7,1400,16770000,179400000,162630000,418620000,13459761.9,13898333.3,0,1264.3,226.2,NaN,,0,0,11100,"2023-03-16T10:00:00.000Z",1678960800000,11100,11100,11100,0,0,100,,,12.8,NaN,,2900,37700,2900,32190000,,,32190000
1216.7,1500,17880000,180510000,162630000,419730000,13459761.9,13898333.3,-2.5,1264.3,226.2,Infinity,100,100,1110000,11100,"2023-03-16T10:05:00.000Z",1678961100000,11100,11100,11100,100,0,0,0.1,,,0,,100,37800,,1110000,1110000,,
1216.7,3200,36750000,199380000,162630000,438600000,13459761.9,13898333.3,-43,1264.3,226.2,Infinity,1700,1700,18870000,11100,"2023-03-16T10:10:00.000Z",1678961400000,11100,11100,11100,100,0,0,1.4,,,0,,1700,39500,,18870000,18870000,,
1216.7,5200,58950000,221580000,162630000,460800000,13459761.9,13898333.3,-50.6,1264.3,226.2,Infinity,2000,2000,22200000,11100,"2023-03-16T10:15:00.000Z",1678961700000,11100,11100,11100,100,0,0,1.6,,,0,,2000,41500,,22200000,22200000,,
1216.7,5400,61170000,223800000,162630000,463020000,13459761.9,13898333.3,-5.1,1264.3,226.2,Infinity,200,200,2220000,11100,"2023-03-16T10:20:00.000Z",1678962000000,11100,11100,11100,100,0,0,0.2,,,0,,200,41700,,2220000,2220000,,
1216.7,4900,55620000,223800000,168180000,468570000,13459761.9,13898333.3,12.7,1264.3,226.2,0,,-500,-5550000,11100,"2023-03-16T10:25:00.000Z",1678962300000,11100,11100,11100,0,100,0,,0.4,,Infinity,500,500,42200,,5550000,,5550000,
1216.7,-2900,-30180000,267800000,297980000,642370000,13459761.9,13898333.3,195.6,1264.3,226.2,0.3,4000,-7800,-85800000,11000,"2023-03-16T10:45:00.000Z",1678963500000,11000,11000,11000,25.3,74.7,0,3.3,9.3,,3,11800,15800,58000,,173800000,44000000,129800000,
1216.7,-3900,-41180000,267800000,308980000,653370000,13459761.9,13898333.3,25.1,1264.3,226.2,0,,-1000,-11000000,11000,"2023-03-16T10:55:00.000Z",1678964100000,11000,11000,11000,0,100,0,,0.8,,Infinity,1000,1000,59000,,11000000,,11000000,
1216.7,-3400,-35680000,273300000,308980000,664370000,13459761.9,13898333.3,-12.5,1264.3,226.2,Infinity,500,500,5500000,11000,"2023-03-16T11:00:00.000Z",1678964400000,11000,11000,11000,50,0,50,0.4,,2.2,0,,1000,60000,500,11000000,5500000,,5500000
1216.7,-2200,-22480000,286500000,308980000,677570000,13459761.9,13898333.3,-30.1,1264.3,226.2,Infinity,1200,1200,13200000,11000,"2023-03-16T11:05:00.000Z",1678964700000,11000,11000,11000,100,0,0,1,,,0,,1200,61200,,13200000,13200000,,
