"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
7337.5,600,2300000,3040000,740000,3780000,27883958.3,37816041.7,-0.2,10091.7,4904.2,4,800,600,2300000,3800,"2023-03-20T09:00:00.000Z",1679302800000,3800,3700,3700,80,20,0,0.1,0,,0.3,200,1000,1000,,3780000,3040000,740000,
7337.5,300,1220000,4180000,2960000,7140000,27883958.3,37816041.7,0.1,10091.7,4904.2,0.5,300,-300,-1080000,3700,"2023-03-20T09:05:00.000Z",1679303100000,3800,3700,3800,33.3,66.7,0,0,0.1,,2,600,900,1900,,3360000,1140000,2220000,
7337.5,-12100,-44660000,4180000,48840000,53020000,27883958.3,37816041.7,4.6,10091.7,4904.2,0,,-12400,-45880000,3700,"2023-03-20T09:15:00.000Z",1679303700000,3700,3700,3700,0,100,0,,1.2,,Infinity,12400,12400,14300,,45880000,,45880000,
7337.5,-3100,-10450000,38760000,49210000,87970000,27883958.3,37816041.7,-3.4,10091.7,4904.2,91,9100,9000,34210000,3800,"2023-03-20T09:20:00.000Z",1679304000000,3800,3700,3700,98.9,1.1,0,1.2,0,,0,100,9200,23500,,34950000,34580000,370000,
7337.5,6900,27550000,76760000,49210000,125970000,27883958.3,37816041.7,-3.8,10091.7,4904.2,Infinity,10000,10000,38000000,3800,"2023-03-20T09:25:00.000Z",1679304300000,3800,3800,3800,100,0,0,1.4,,,0,,10000,33500,,38000000,38000000,,
7337.5,69400,265050000,314260000,49210000,363470000,27883958.3,37816041.7,-23.9,10091.7,4904.2,Infinity,62500,62500,237500000,3800,"2023-03-20T09:30:00.000Z",1679304600000,3800,3800,3800,100,0,0,8.5,,,0,,62500,96000,,237500000,237500000,,
7337.5,221000,841130000,953800000,112670000,1066470000,27883958.3,37816041.7,-58,10091.7,4904.2,10.1,168300,151600,576080000,3800,"2023-03-20T09:35:00.000Z",1679304900000,3800,3800,3800,91,9,0,22.9,1.7,,0.1,16700,185000,281000,,703000000,639540000,63460000,
7337.5,216000,822140000,954190000,132050000,1086240000,27883958.3,37816041.7,1.9,10091.7,4904.2,0,100,-5000,-18990000,3900,"2023-03-20T09:40:00.000Z",1679305200000,3900,3800,3800,1.9,98.1,0,0,0.5,,51,5100,5200,286200,,19770000,390000,19380000,
7337.5,200200,762100000,954190000,192090000,1146280000,27883958.3,37816041.7,6,10091.7,4904.2,0,,-15800,-60040000,3800,"2023-03-20T09:45:00.000Z",1679305500000,3800,3800,3800,0,100,0,,1.6,,Infinity,15800,15800,302000,,60040000,,60040000,
7337.5,200000,761340000,954190000,192850000,1147040000,27883958.3,37816041.7,0.1,10091.7,4904.2,0,,-200,-760000,3800,"2023-03-20T09:50:00.000Z",1679305800000,3800,3800,3800,0,100,0,,0,,Infinity,200,200,302200,,760000,,760000,
7337.5,195900,745760000,954190000,208430000,1162620000,27883958.3,37816041.7,1.6,10091.7,4904.2,0,,-4100,-15580000,3800,"2023-03-20T09:55:00.000Z",1679306100000,3800,3800,3800,0,100,0,,0.4,,Infinity,4100,4100,306300,,15580000,,15580000,
7337.5,188700,718400000,954190000,235790000,1189980000,27883958.3,37816041.7,2.8,10091.7,4904.2,0,,-7200,-27360000,3800,"2023-03-20T10:00:00.000Z",1679306400000,3800,3800,3800,0,100,0,,0.7,,Infinity,7200,7200,313500,,27360000,,27360000,
7337.5,183800,699790000,954580000,254790000,1209370000,27883958.3,37816041.7,1.9,10091.7,4904.2,0,100,-4900,-18610000,3800,"2023-03-20T10:05:00.000Z",1679306700000,3900,3800,3900,2,98,0,0,0.5,,50,5000,5100,318600,,19390000,390000,19000000,
7337.5,177300,675100000,954970000,279870000,1234840000,27883958.3,37816041.7,2.5,10091.7,4904.2,0,100,-6500,-24690000,3800,"2023-03-20T10:10:00.000Z",1679307000000,3900,3800,3800,1.5,98.5,0,0,0.7,,66,6600,6700,325300,,25470000,390000,25080000,
7337.5,172700,657660000,956530000,298870000,1255400000,27883958.3,37816041.7,1.8,10091.7,4904.2,0.1,400,-4600,-17440000,3900,"2023-03-20T10:15:00.000Z",1679307300000,3900,3800,3800,7.4,92.6,0,0.1,0.5,,12.5,5000,5400,330700,,20560000,1560000,19000000,
7337.5,23000,88800000,956530000,867730000,1824260000,27883958.3,37816041.7,57.3,10091.7,4904.2,0,,-149700,-568860000,3800,"2023-03-20T10:20:00.000Z",1679307600000,3800,3800,3800,0,100,0,,14.8,,Infinity,149700,149700,480400,,568860000,,568860000,
