"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1628.1,7300,43980000,104750000,60770000,165520000,9546875,14133750,-9.6,2450,1178.1,1.7,17600,7300,43980000,6000,"2023-03-20T09:00:00.000Z",1679302800000,6000,5900,5900,63.1,36.9,0,10.8,4.2,,0.6,10300,27900,27900,,165520000,104750000,60770000,
1628.1,3400,21080000,111350000,90270000,334960000,9546875,14133750,5,2450,1178.1,0.2,1100,-3900,-22900000,5900,"2023-03-20T09:05:00.000Z",1679303100000,6000,5900,6000,3.8,17.4,78.7,0.7,2,19.2,4.5,5000,28700,56600,22600,169440000,6600000,29500000,133340000
1628.1,13200,78900000,172120000,93220000,398680000,9546875,14133750,-12.6,2450,1178.1,20.6,10300,9800,57820000,5900,"2023-03-20T09:10:00.000Z",1679303400000,5900,5900,5900,95.4,4.6,0,6.3,0.2,,0,500,10800,67400,,63720000,60770000,2950000,
1628.1,9300,56280000,172120000,115840000,421300000,9546875,14133750,4.9,2450,1178.1,0,,-3900,-22620000,5800,"2023-03-20T09:30:00.000Z",1679304600000,5800,5800,5800,0,100,0,,1.6,,Infinity,3900,3900,71300,,22620000,,22620000,
1628.1,7300,44690000,172710000,128020000,434070000,9546875,14133750,2.5,2450,1178.1,0,100,-2000,-11590000,5800,"2023-03-20T09:35:00.000Z",1679304900000,5900,5800,5900,4.5,95.5,0,0.1,0.9,,21,2100,2200,73500,,12770000,590000,12180000,
1628.1,200,3510000,172710000,169200000,475250000,9546875,14133750,9,2450,1178.1,0,,-7100,-41180000,5800,"2023-03-20T09:55:00.000Z",1679306100000,5800,5800,5800,0,100,0,,2.9,,Infinity,7100,7100,80600,,41180000,,41180000,
1628.1,-800,-2290000,172710000,175000000,481050000,9546875,14133750,1.3,2450,1178.1,0,,-1000,-5800000,5800,"2023-03-20T10:00:00.000Z",1679306400000,5800,5800,5800,0,100,0,,0.4,,Infinity,1000,1000,81600,,5800000,,5800000,
1628.1,-4800,-25490000,172710000,198200000,504250000,9546875,14133750,5.1,2450,1178.1,0,,-4000,-23200000,5800,"2023-03-20T10:10:00.000Z",1679307000000,5800,5800,5800,0,100,0,,1.6,,Infinity,4000,4000,85600,,23200000,,23200000,
1628.1,-6800,-37090000,172710000,209800000,515850000,9546875,14133750,2.5,2450,1178.1,0,,-2000,-11600000,5800,"2023-03-20T10:15:00.000Z",1679307300000,5800,5800,5800,0,100,0,,0.8,,Infinity,2000,2000,87600,,11600000,,11600000,
1628.1,-12700,-71310000,172710000,244020000,550070000,9546875,14133750,7.5,2450,1178.1,0,,-5900,-34220000,5800,"2023-03-20T10:20:00.000Z",1679307600000,5800,5800,5800,0,100,0,,2.4,,Infinity,5900,5900,93500,,34220000,,34220000,
1628.1,-5900,-31870000,212150000,244020000,589510000,9546875,14133750,-8.6,2450,1178.1,Infinity,6800,6800,39440000,5800,"2023-03-20T10:25:00.000Z",1679307900000,5800,5800,5800,100,0,0,4.2,,,0,,6800,100300,,39440000,39440000,,
1628.1,-11400,-63220000,212150000,275370000,620860000,9546875,14133750,6.8,2450,1178.1,0,,-5500,-31350000,5700,"2023-03-20T10:35:00.000Z",1679308500000,5700,5700,5700,0,100,0,,2.2,,Infinity,5500,5500,105800,,31350000,,31350000,
1628.1,-15100,-84310000,212150000,296460000,641950000,9546875,14133750,4.6,2450,1178.1,0,,-3700,-21090000,5700,"2023-03-20T10:40:00.000Z",1679308800000,5700,5700,5700,0,100,0,,1.5,,Infinity,3700,3700,109500,,21090000,,21090000,
1628.1,-6100,-32110000,264350000,296460000,694150000,9546875,14133750,-11.4,2450,1178.1,Infinity,9000,9000,52200000,5800,"2023-03-20T10:45:00.000Z",1679309100000,5800,5800,5800,100,0,0,5.5,,,0,,9000,118500,,52200000,52200000,,
1628.1,-5000,-25730000,270730000,296460000,700530000,9546875,14133750,-1.4,2450,1178.1,Infinity,1100,1100,6380000,5800,"2023-03-20T10:50:00.000Z",1679309400000,5800,5800,5800,100,0,0,0.7,,,0,,1100,119600,,6380000,6380000,,
1628.1,-7000,-37330000,270730000,308060000,712130000,9546875,14133750,2.5,2450,1178.1,0,,-2000,-11600000,5800,"2023-03-20T11:00:00.000Z",1679310000000,5800,5800,5800,0,100,0,,0.8,,Infinity,2000,2000,121600,,11600000,,11600000,
1628.1,-7100,-37910000,270730000,308640000,712710000,9546875,14133750,0.1,2450,1178.1,0,,-100,-580000,5800,"2023-03-20T11:20:00.000Z",1679311200000,5800,5800,5800,0,100,0,,0,,Infinity,100,100,121700,,580000,,580000,
1628.1,-11000,-60140000,270730000,330870000,734940000,9546875,14133750,4.8,2450,1178.1,0,,-3900,-22230000,5700,"2023-03-20T13:05:00.000Z",1679317500000,5700,5700,5700,0,100,0,,1.6,,Infinity,3900,3900,125600,,22230000,,22230000,
1628.1,-13300,-73250000,270730000,343980000,748050000,9546875,14133750,2.9,2450,1178.1,0,,-2300,-13110000,5700,"2023-03-20T13:10:00.000Z",1679317800000,5700,5700,5700,0,100,0,,0.9,,Infinity,2300,2300,127900,,13110000,,13110000,
1628.1,-18300,-101750000,270730000,372480000,776550000,9546875,14133750,6.2,2450,1178.1,0,,-5000,-28500000,5700,"2023-03-20T13:15:00.000Z",1679318100000,5700,5700,5700,0,100,0,,2,,Infinity,5000,5000,132900,,28500000,,28500000,
1628.1,-23300,-130250000,270730000,400980000,805050000,9546875,14133750,6.2,2450,1178.1,0,,-5000,-28500000,5700,"2023-03-20T13:20:00.000Z",1679318400000,5700,5700,5700,0,100,0,,2,,Infinity,5000,5000,137900,,28500000,,28500000,
