"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1564.3,-800,-11200000,0,11200000,11200000,22198571.4,5511428.6,-0.7,392.9,0,0,,-800,-11200000,14000,"2023-03-24T09:15:00.000Z",1679649300000,14000,14000,14000,0,100,0,,2,,Infinity,800,800,800,,11200000,,11200000,
1564.3,-1400,-19600000,0,19600000,19600000,22198571.4,5511428.6,-0.5,392.9,0,0,,-600,-8400000,14000,"2023-03-24T09:25:00.000Z",1679649900000,14000,14000,14000,0,100,0,,1.5,,Infinity,600,600,1400,,8400000,,8400000,
1564.3,-600,-8400000,11200000,19600000,30800000,22198571.4,5511428.6,0.7,392.9,0,Infinity,800,800,11200000,14000,"2023-03-24T09:35:00.000Z",1679650500000,14000,14000,14000,100,0,0,0.5,,,0,,800,2200,,11200000,11200000,,
1564.3,-600,-8400000,12600000,21000000,33600000,22198571.4,5511428.6,0,392.9,0,1,100,0,0,14000,"2023-03-24T10:45:00.000Z",1679654700000,14000,14000,14000,50,50,0,0.1,0.3,,1,100,200,2400,,2800000,1400000,1400000,
1564.3,-1000,-14000000,12600000,26600000,39200000,22198571.4,5511428.6,-0.3,392.9,0,0,,-400,-5600000,14000,"2023-03-24T13:00:00.000Z",1679662800000,14000,14000,14000,0,100,0,,1,,Infinity,400,400,2800,,5600000,,5600000,
1564.3,-3000,-42000000,12600000,54600000,67200000,22198571.4,5511428.6,-1.7,392.9,0,0,,-2000,-28000000,14000,"2023-03-24T13:15:00.000Z",1679663700000,14000,14000,14000,0,100,0,,5.1,,Infinity,2000,2000,4800,,28000000,,28000000,
1564.3,-2900,-40590000,14010000,54600000,68610000,22198571.4,5511428.6,0.1,392.9,0,Infinity,100,100,1410000,14100,"2023-03-24T13:20:00.000Z",1679664000000,14100,14100,14100,100,0,0,0.1,,,0,,100,4900,,1410000,1410000,,
1564.3,-2800,-39180000,15420000,54600000,70020000,22198571.4,5511428.6,0.1,392.9,0,Infinity,100,100,1410000,14100,"2023-03-24T13:25:00.000Z",1679664300000,14100,14100,14100,100,0,0,0.1,,,0,,100,5000,,1410000,1410000,,
1564.3,-1400,-19240000,43820000,63060000,106880000,22198571.4,5511428.6,1.2,392.9,0,3.3,2000,1400,19940000,14200,"2023-03-24T13:40:00.000Z",1679665200000,14200,14100,14100,76.9,23.1,0,1.3,1.5,,0.3,600,2600,7600,,36860000,28400000,8460000,
1564.3,5600,80160000,143220000,63060000,206280000,22198571.4,5511428.6,6,392.9,0,Infinity,7000,7000,99400000,14200,"2023-03-24T13:50:00.000Z",1679665800000,14200,14200,14200,100,0,0,4.5,,,0,,7000,14600,,99400000,99400000,,
1564.3,15700,223580000,286640000,63060000,349700000,22198571.4,5511428.6,8.6,392.9,0,Infinity,10100,10100,143420000,14200,"2023-03-24T14:00:00.000Z",1679666400000,14200,14200,14200,100,0,0,6.5,,,0,,10100,24700,,143420000,143420000,,
1564.3,15900,226420000,289480000,63060000,352540000,22198571.4,5511428.6,0.2,392.9,0,Infinity,200,200,2840000,14200,"2023-03-24T14:05:00.000Z",1679666700000,14200,14200,14200,100,0,0,0.1,,,0,,200,24900,,2840000,2840000,,
1564.3,17400,247720000,310780000,63060000,373840000,22198571.4,5511428.6,1.3,392.9,0,Infinity,1500,1500,21300000,14200,"2023-03-24T14:15:00.000Z",1679667300000,14200,14200,14200,100,0,0,1,,,0,,1500,26400,,21300000,21300000,,
1564.3,16400,233620000,310780000,77160000,387940000,22198571.4,5511428.6,-0.8,392.9,0,0,,-1000,-14100000,14100,"2023-03-24T14:20:00.000Z",1679667600000,14100,14100,14100,0,100,0,,2.5,,Infinity,1000,1000,27400,,14100000,,14100000,
