"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
727.3,100,460000,460000,0,460000,3280909.1,1829090.9,0.3,413.6,0,Infinity,100,100,460000,4600,"2023-03-28T09:15:00.000Z",1679994900000,4600,4600,4600,100,0,0,0.1,,,0,,100,100,,460000,460000,,
727.3,300,1380000,1380000,0,1380000,3280909.1,1829090.9,0.6,413.6,0,Infinity,200,200,920000,4600,"2023-03-28T09:20:00.000Z",1679995200000,4600,4600,4600,100,0,0,0.3,,,0,,200,300,,920000,920000,,
727.3,400,1830000,2280000,450000,2730000,3280909.1,1829090.9,0.3,413.6,0,2,200,100,450000,4500,"2023-03-28T09:25:00.000Z",1679995500000,4500,4500,4500,66.7,33.3,0,0.3,0.2,,0.5,100,300,600,,1350000,900000,450000,
727.3,1800,8130000,8580000,450000,9030000,3280909.1,1829090.9,4.3,413.6,0,Infinity,1400,1400,6300000,4500,"2023-03-28T09:30:00.000Z",1679995800000,4500,4500,4500,100,0,0,1.9,,,0,,1400,2000,,6300000,6300000,,
727.3,2100,9480000,9930000,450000,10380000,3280909.1,1829090.9,0.9,413.6,0,Infinity,300,300,1350000,4500,"2023-03-28T09:35:00.000Z",1679996100000,4500,4500,4500,100,0,0,0.4,,,0,,300,2300,,1350000,1350000,,
727.3,2000,9040000,9930000,890000,10820000,3280909.1,1829090.9,-0.3,413.6,0,0,,-100,-440000,4400,"2023-03-28T09:40:00.000Z",1679996400000,4400,4400,4400,0,100,0,,0.2,,Infinity,100,100,2400,,440000,,440000,
727.3,4500,20290000,21180000,890000,22070000,3280909.1,1829090.9,7.7,413.6,0,Infinity,2500,2500,11250000,4500,"2023-03-28T09:45:00.000Z",1679996700000,4500,4500,4500,100,0,0,3.4,,,0,,2500,4900,,11250000,11250000,,
727.3,5500,24790000,25680000,890000,26570000,3280909.1,1829090.9,3.1,413.6,0,Infinity,1000,1000,4500000,4500,"2023-03-28T09:50:00.000Z",1679997000000,4500,4500,4500,100,0,0,1.4,,,0,,1000,5900,,4500000,4500000,,
727.3,9000,40690000,41580000,890000,42470000,3280909.1,1829090.9,11,413.6,0,Infinity,3500,3500,15900000,4600,"2023-03-28T09:55:00.000Z",1679997300000,4600,4500,4500,100,0,0,4.8,,,0,,3500,9400,,15900000,15900000,,
727.3,8600,38930000,41580000,2650000,44230000,3280909.1,1829090.9,-1.2,413.6,0,0,,-400,-1760000,4400,"2023-03-28T10:15:00.000Z",1679998500000,4400,4400,4400,0,100,0,,1,,Infinity,400,400,9800,,1760000,,1760000,
727.3,8300,37610000,41580000,3970000,45550000,3280909.1,1829090.9,-0.9,413.6,0,0,,-300,-1320000,4400,"2023-03-28T10:35:00.000Z",1679999700000,4400,4400,4400,0,100,0,,0.7,,Infinity,300,300,10100,,1320000,,1320000,
727.3,8800,39860000,43830000,3970000,47800000,3280909.1,1829090.9,1.5,413.6,0,Infinity,500,500,2250000,4500,"2023-03-28T11:15:00.000Z",1680002100000,4500,4500,4500,100,0,0,0.7,,,0,,500,10600,,2250000,2250000,,
727.3,9800,44360000,48330000,3970000,52300000,3280909.1,1829090.9,3.1,413.6,0,Infinity,1000,1000,4500000,4500,"2023-03-28T11:25:00.000Z",1680002700000,4500,4500,4500,100,0,0,1.4,,,0,,1000,11600,,4500000,4500000,,
727.3,9900,44810000,48780000,3970000,52750000,3280909.1,1829090.9,0.3,413.6,0,Infinity,100,100,450000,4500,"2023-03-28T13:05:00.000Z",1680008700000,4500,4500,4500,100,0,0,0.1,,,0,,100,11700,,450000,450000,,
727.3,9600,43490000,48780000,5290000,54070000,3280909.1,1829090.9,-0.9,413.6,0,0,,-300,-1320000,4400,"2023-03-28T13:10:00.000Z",1680009000000,4400,4400,4400,0,100,0,,0.7,,Infinity,300,300,12000,,1320000,,1320000,
727.3,4600,21490000,48780000,27290000,76070000,3280909.1,1829090.9,-15.2,413.6,0,0,,-5000,-22000000,4400,"2023-03-28T13:15:00.000Z",1680009300000,4400,4400,4400,0,100,0,,12.1,,Infinity,5000,5000,17000,,22000000,,22000000,
727.3,3600,17090000,48780000,31690000,80470000,3280909.1,1829090.9,-3,413.6,0,0,,-1000,-4400000,4400,"2023-03-28T13:20:00.000Z",1680009600000,4400,4400,4400,0,100,0,,2.4,,Infinity,1000,1000,18000,,4400000,,4400000,
727.3,4400,20690000,52380000,31690000,84070000,3280909.1,1829090.9,2.5,413.6,0,Infinity,800,800,3600000,4500,"2023-03-28T13:25:00.000Z",1680009900000,4500,4500,4500,100,0,0,1.1,,,0,,800,18800,,3600000,3600000,,
727.3,4900,22940000,54630000,31690000,86320000,3280909.1,1829090.9,1.5,413.6,0,Infinity,500,500,2250000,4500,"2023-03-28T13:45:00.000Z",1680011100000,4500,4500,4500,100,0,0,0.7,,,0,,500,19300,,2250000,2250000,,
727.3,8600,39590000,72180000,32590000,104770000,3280909.1,1829090.9,11.5,413.6,0,19.5,3900,3700,16650000,4500,"2023-03-28T14:05:00.000Z",1680012300000,4500,4500,4500,95.1,4.9,0,5.4,0.5,,0.1,200,4100,23400,,18450000,17550000,900000,
727.3,7700,35540000,72180000,36640000,108820000,3280909.1,1829090.9,-2.8,413.6,0,0,,-900,-4050000,4500,"2023-03-28T14:15:00.000Z",1680012900000,4500,4500,4500,0,100,0,,2.2,,Infinity,900,900,24300,,4050000,,4050000,
727.3,6900,31940000,72180000,40240000,112420000,3280909.1,1829090.9,-2.5,413.6,0,0,,-800,-3600000,4500,"2023-03-28T14:45:00.000Z",1680014700000,4500,4500,4500,0,100,0,,1.9,,Infinity,800,800,25100,,3600000,,3600000,
