"adjRatio","buyCount","buyForeignQuantity","buyForeignValue","buyQuantity","currentForeignRoom","date","dealVolume","priceAverage","priceBasic","priceClose","priceHigh","priceLow","priceOpen","propTradingNetDealValue","propTradingNetPTValue","propTradingNetValue","putthroughValue","putthroughVolume","sellCount","sellForeignQuantity","sellForeignValue","sellQuantity","symbol","totalValue"
1,0,0,0,7000,19498000,"2022-12-19T00:00:00",300,11,11,11,11,11,11,,,,0,0,0,0,0,10300,"POS",3300000
1,0,0,0,8300,19498000,"2022-12-16T00:00:00",0,11,11,11,11,11,11,0,0,0,0,0,0,0,0,13100,"POS",0
1,0,0,0,11300,19498000,"2022-12-15T00:00:00",400,11,11,11,11,11,11,0,0,0,0,0,0,0,0,7800,"POS",4400000
1,0,0,0,8500,19498000,"2022-12-14T00:00:00",1200,11,11.4,11,11,11,11,0,0,0,0,0,0,0,0,16200,"POS",13200000
1,0,0,0,9400,19498000,"2022-12-13T00:00:00",300,11.4,11,11,11.6,11,11.6,0,0,0,0,0,0,0,0,24200,"POS",3420000
1,13,0,0,8400,19498000,"2022-12-12T00:00:00",900,11,11.4,10.9,11.1,10.9,11.1,0,0,0,0,0,23,0,0,29100,"POS",9870003
1,14,0,0,9900,19498000,"2022-12-09T00:00:00",600,11.4,11.3,11.3,11.9,11.3,11.9,0,0,0,0,0,24,0,0,16200,"POS",6840000
1,11,0,0,6300,19498000,"2022-12-08T00:00:00",2400,11.3,11.2,11.2,11.9,11,11.9,0,0,0,0,0,31,0,0,27446,"POS",27100008
1,12,0,0,5800,19498000,"2022-12-07T00:00:00",1000,11.2,11.6,11.4,11.4,11,11,0,0,0,0,0,25,0,0,17200,"POS",11190000
1,11,0,0,10100,19498000,"2022-12-06T00:00:00",3200,11.6,11.8,10.8,11.8,10.8,11.8,0,0,0,0,0,25,0,0,26300,"POS",37260000
1,19,0,0,15000,19498000,"2022-12-05T00:00:00",11000,11.8,11.2,11.9,12,11.1,11.9,0,0,0,0,0,33,0,0,30300,"POS",129999980
1,23,0,0,13054,19498000,"2022-12-02T00:00:00",6400,11.2,11.3,11.4,11.4,11,11.1,0,0,0,0,0,29,0,0,21200,"POS",71760000
1,12,0,0,4054,19498000,"2022-12-01T00:00:00",2900,11.3,10.6,10.4,11.6,10.4,11.6,0,0,0,0,0,28,0,0,16900,"POS",32629988
1,6,0,0,6500,19498000,"2022-11-30T00:00:00",1500,10.6,10.7,10.6,10.6,10.6,10.6,0,0,0,0,0,18,0,0,16400,"POS",15900000
1,19,0,0,11400,19497900,"2022-11-29T00:00:00",2700,10.7,10.5,10.7,11.2,10.2,11.2,0,0,0,0,0,25,0,0,15000,"POS",28899990
1,27,700,7359653,24700,19497900,"2022-11-28T00:00:00",8700,10.5,9.3,10.5,10.6,10.3,10.4,0,0,0,0,0,18,0,0,12700,"POS",91469973
1,15,0,0,16200,19498600,"2022-11-25T00:00:00",4800,9.3,9.1,9.5,9.5,7.8,7.8,0,0,0,0,0,8,100,932917,5600,"POS",44780016
1,16,0,0,10400,19498600,"2022-11-24T00:00:00",800,9.1,8.5,9.2,9.5,8.8,9.5,0,0,0,0,0,16,0,0,11100,"POS",7300000
1,6,0,0,2000,19498600,"2022-11-23T00:00:00",700,8.5,9.6,8.6,8.6,8.5,8.5,0,0,0,0,0,12,0,0,11000,"POS",5960003
1,7,0,0,5600,19498600,"2022-11-22T00:00:00",100,9.6,8.4,9.6,9.6,9.6,9.6,0,0,0,0,0,7,0,0,5900,"POS",960000
1,16,0,0,10900,19498600,"2022-11-21T00:00:00",1500,8.4,8.5,8.6,9.5,8,9.5,0,0,0,0,0,7,0,0,3100,"POS",12600000
1,12,1700,14393339,7500,19498600,"2022-11-18T00:00:00",3000,8.5,8.5,8.4,9.4,8.4,9.4,0,0,0,0,0,7,0,0,8100,"POS",25400010
