"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
600,4000,68000,68000,0,17254700.000000004,2495000,325127.3,0,854.5,18.2,Infinity,4000,4000,68000,17,"2022-12-08T10:50:00.000Z",1670496600000,17,17,17,100,0,0,6.7,,,0,,4000,2000,,68000,68000,,
600,5000,85000,85000,0,18973200.000000004,2495000,325127.3,0,854.5,18.2,Infinity,1000,1000,17000,17.1,"2022-12-08T10:52:00.000Z",1670496720000,17.1,17,17,83.3,0,16.7,1.7,,11,0,,1200,2600,200,3437000.0000000005,17000,,3420000.0000000005
600,4800,-3335000.0000000005,85000,3420000.0000000005,20683200.000000004,2495000,325127.3,1.6,854.5,18.2,0,,-200,-3420000.0000000005,17.1,"2022-12-08T11:20:00.000Z",1670498400000,17.1,17.1,17.1,0,100,0,,0.2,,Infinity,200,200,2700,,3420000.0000000005,,3420000.0000000005,
600,4400,-3341800.0000000005,85000,3426800.0000000005,20686600.000000004,2495000,325127.3,0,854.5,18.2,0,,-400,-6800,17,"2022-12-08T13:16:00.000Z",1670505360000,17,17,17,0,100,0,,0.5,,Infinity,400,400,2900,,6800,,6800,
600,4200,-3345200.0000000005,85000,3430200.0000000005,20688300.000000004,2495000,325127.3,0,854.5,18.2,0,,-200,-3400,17,"2022-12-08T13:28:00.000Z",1670506080000,17,17,17,0,100,0,,0.2,,Infinity,200,200,3000,,3400,,3400,
600,3800,-3352000.0000000005,85000,3437000.0000000005,20691700.000000004,2495000,325127.3,0,854.5,18.2,0,,-400,-6800,17,"2022-12-08T13:32:00.000Z",1670506320000,17,17,17,0,100,0,,0.5,,Infinity,400,400,3200,,6800,,6800,
600,1800,-3386000.0000000005,85000,3471000.0000000005,20708700.000000004,2495000,325127.3,0,854.5,18.2,0,,-2000,-34000,17,"2022-12-08T13:50:00.000Z",1670507400000,17,17,17,0,100,0,,2.3,,Infinity,2000,2000,4200,,34000,,34000,
600,3200,20554000.000000004,24025000.000000004,3471000.0000000005,32678700.000000007,2495000,325127.3,11,854.5,18.2,Infinity,1400,1400,23940000.000000004,17.1,"2022-12-08T13:54:00.000Z",1670507640000,17.1,17.1,17.1,100,0,0,2.3,,,0,,1400,4900,,23940000.000000004,23940000.000000004,,
600,3400,23974000.000000004,27445000.000000004,3471000.0000000005,34388700.00000001,2495000,325127.3,1.6,854.5,18.2,Infinity,200,200,3420000.0000000005,17.1,"2022-12-08T14:10:00.000Z",1670508600000,17.1,17.1,17.1,100,0,0,0.3,,,0,,200,5000,,3420000.0000000005,3420000.0000000005,,
600,-2400,23875400.000000004,27445000.000000004,3569600.0000000005,34438000.00000001,2495000,325127.3,0,854.5,18.2,0,,-5800,-98600,17,"2022-12-08T14:26:00.000Z",1670509560000,17,17,17,0,100,0,,6.8,,Infinity,5800,5800,7900,,98600,,98600,
600,-2800,23868600.000000004,27445000.000000004,3576400.0000000005,34441400.00000001,2495000,325127.3,0,854.5,18.2,0,,-400,-6800,17,"2022-12-08T14:36:00.000Z",1670510160000,17,17,17,0,100,0,,0.5,,Infinity,400,400,8100,,6800,,6800,
