"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1600,100,120000,120000,0,120000,1920000,469090.9,0.1,390.9,509.1,Infinity,100,100,120000,1.2,"2022-12-16T09:36:00.000Z",1671183360000,1.2,1.2,1.2,100,0,0,0.1,,,0,,100,100,,120000,120000,,
1600,300,360000,360000,0,360000,1920000,469090.9,0.2,390.9,509.1,Infinity,200,200,240000,1.2,"2022-12-16T09:48:00.000Z",1671184080000,1.2,1.2,1.2,100,0,0,0.1,,,0,,200,300,,240000,240000,,
1600,-1200,-1440000,360000,1800000,2160000,1920000,469090.9,1.2,390.9,509.1,0,,-1500,-1800000,1.2,"2022-12-16T09:54:00.000Z",1671184440000,1.2,1.2,1.2,0,100,0,,3.8,,Infinity,1500,1500,1800,,1800000,,1800000,
1600,-1300,-1560000,360000,1920000,2280000,1920000,469090.9,0.1,390.9,509.1,0,,-100,-120000,1.2,"2022-12-16T09:56:00.000Z",1671184560000,1.2,1.2,1.2,0,100,0,,0.3,,Infinity,100,100,1900,,120000,,120000,
1600,-300,-360000,1560000,1920000,3480000,1920000,469090.9,0.8,390.9,509.1,Infinity,1000,1000,1200000,1.2,"2022-12-16T09:58:00.000Z",1671184680000,1.2,1.2,1.2,100,0,0,0.6,,,0,,1000,2900,,1200000,1200000,,
1600,-300,-360000,1560000,1920000,3600000,1920000,469090.9,0,390.9,509.1,NaN,,0,0,1.2,"2022-12-16T10:06:00.000Z",1671185160000,1.2,1.2,1.2,0,0,100,,,0.2,NaN,,100,3000,100,120000,,,120000
1600,-2300,-2760000,1560000,4320000,6000000,1920000,469090.9,1.7,390.9,509.1,0,,-2000,-2400000,1.2,"2022-12-16T10:18:00.000Z",1671185880000,1.2,1.2,1.2,0,100,0,,5.1,,Infinity,2000,2000,5000,,2400000,,2400000,
1600,13800,16560000,20880000,4320000,25320000,1920000,469090.9,13.3,390.9,509.1,Infinity,16100,16100,19320000,1.2,"2022-12-16T11:00:00.000Z",1671188400000,1.2,1.2,1.2,100,0,0,10.1,,,0,,16100,21100,,19320000,19320000,,
1600,14000,16800000,21120000,4320000,25560000,1920000,469090.9,0.2,390.9,509.1,Infinity,200,200,240000,1.2,"2022-12-16T11:14:00.000Z",1671189240000,1.2,1.2,1.2,100,0,0,0.1,,,0,,200,21300,,240000,240000,,
1600,14000,16800000,21120000,4320000,32160000,1920000,469090.9,0,390.9,509.1,NaN,,0,0,1.2,"2022-12-16T13:00:00.000Z",1671195600000,1.2,1.2,1.2,0,0,100,,,10.8,NaN,,5500,26800,5500,6600000,,,6600000
1600,13300,15960000,21120000,5160000,33000000,1920000,469090.9,0.6,390.9,509.1,0,,-700,-840000,1.2,"2022-12-16T13:14:00.000Z",1671196440000,1.2,1.2,1.2,0,100,0,,1.8,,Infinity,700,700,27500,,840000,,840000,
