"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1700,-100,-3090000,0,3090000,3090000,50246935.5,53187752.7,1.1,1753.8,128,0,,-100,-3090000,30.9,"2023-01-05T09:14:00.000Z",1672910040000,30.9,30.9,30.9,0,100,0,,0.1,,Infinity,100,100,100,,3090000,,3090000,
1700,-3100,-95790000,0,95790000,95790000,50246935.5,53187752.7,31.5,1753.8,128,0,,-3000,-92700000,30.9,"2023-01-05T09:16:00.000Z",1672910160000,30.9,30.9,30.9,0,100,0,,1.7,,Infinity,3000,3000,3100,,92700000,,92700000,
1700,-600,-95712500,93000,95805500,95898500,50246935.5,53187752.7,0,1753.8,128,6,3000,2500,77500,31,"2023-01-05T09:18:00.000Z",1672910280000,31,31,31,85.7,14.3,0,1.8,0.3,,0.2,500,3500,6600,,108500,93000,15500,
1700,-1100,-95728000,93000,95821000,95914000,50246935.5,53187752.7,0,1753.8,128,0,,-500,-15500,31,"2023-01-05T09:20:00.000Z",1672910400000,31,31,31,0,100,0,,0.3,,Infinity,500,500,7100,,15500,,15500,
1700,-300,-95703200,117800,95821000,95938800,50246935.5,53187752.7,0,1753.8,128,Infinity,800,800,24800,31,"2023-01-05T09:22:00.000Z",1672910520000,31,31,31,100,0,0,0.5,,,0,,800,7900,,24800,24800,,
1700,-100,-95697000,124000,95821000,95945000,50246935.5,53187752.7,0,1753.8,128,Infinity,200,200,6200,31,"2023-01-05T09:24:00.000Z",1672910640000,31,31,31,100,0,0,0.1,,,0,,200,8100,,6200,6200,,
1700,0,-95693900,127100,95821000,95948100,50246935.5,53187752.7,0,1753.8,128,Infinity,100,100,3100,31,"2023-01-05T09:28:00.000Z",1672910880000,31,31,31,100,0,0,0.1,,,0,,100,8200,,3100,3100,,
1700,-100,-98773900,127100,98901000,99028100,50246935.5,53187752.7,1,1753.8,128,0,,-100,-3080000,30.8,"2023-01-05T09:30:00.000Z",1672911000000,30.8,30.8,30.8,0,100,0,,0.1,,Infinity,100,100,8300,,3080000,,3080000,
1700,-300,-104913900,127100,105041000,105168100,50246935.5,53187752.7,2.1,1753.8,128,0,,-200,-6140000,30.7,"2023-01-05T09:32:00.000Z",1672911120000,30.7,30.7,30.7,0,100,0,,0.1,,Infinity,200,200,8500,,6140000,,6140000,
1700,700,-74013900,31027100,105041000,136068100,50246935.5,53187752.7,10.5,1753.8,128,Infinity,1000,1000,30900000,30.9,"2023-01-05T09:34:00.000Z",1672911240000,30.9,30.9,30.9,100,0,0,0.6,,,0,,1000,9500,,30900000,30900000,,
1700,800,-70863900,46457100,117321000,163778100,50246935.5,53187752.7,1.1,1753.8,128,1.3,500,100,3150000,30.7,"2023-01-05T09:38:00.000Z",1672911480000,30.9,30.7,30.85,55.6,44.4,0,0.3,0.2,,0.8,400,900,10400,,27710000,15430000,12280000,
1700,-700,-116913900,46457100,163371000,209828100,50246935.5,53187752.7,15.7,1753.8,128,0,,-1500,-46050000,30.7,"2023-01-05T09:44:00.000Z",1672911840000,30.7,30.7,30.7,0,100,0,,0.9,,Infinity,1500,1500,11900,,46050000,,46050000,
1700,-400,-107628900,55742100,163371000,219113100,50246935.5,53187752.7,3.2,1753.8,128,Infinity,300,300,9285000,30.95,"2023-01-05T09:48:00.000Z",1672912080000,30.95,30.95,30.95,100,0,0,0.2,,,0,,300,12200,,9285000,9285000,,
1700,600,-76828900,86542100,163371000,249913100,50246935.5,53187752.7,10.5,1753.8,128,Infinity,1000,1000,30800000,30.8,"2023-01-05T09:50:00.000Z",1672912200000,30.8,30.8,30.8,100,0,0,0.6,,,0,,1000,13200,,30800000,30800000,,
