"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
510.9,6000,71100000,71100000,0,71100000,6031956.5,13216847.8,9.9,1128.3,219.6,Infinity,6000,6000,71100000,11.85,"2023-01-13T09:14:00.000Z",1673601240000,11.85,11.85,11.85,100,0,0,11.7,,,0,,6000,6000,,71100000,71100000,,
510.9,10400,123250000,123250000,0,123250000,6031956.5,13216847.8,7.3,1128.3,219.6,Infinity,4400,4400,52150000,11.95,"2023-01-13T09:16:00.000Z",1673601360000,11.95,11.85,11.85,100,0,0,8.6,,,0,,4400,10400,,52150000,52150000,,
510.9,9500,112585000,123250000,10665000,133915000,6031956.5,13216847.8,1.5,1128.3,219.6,0,,-900,-10665000,11.85,"2023-01-13T09:18:00.000Z",1673601480000,11.85,11.85,11.85,0,100,0,,0.8,,Infinity,900,900,11300,,10665000,,10665000,
510.9,11500,136485000,147150000,10665000,157815000,6031956.5,13216847.8,3.3,1128.3,219.6,Infinity,2000,2000,23900000,11.95,"2023-01-13T09:20:00.000Z",1673601600000,11.95,11.95,11.95,100,0,0,3.9,,,0,,2000,13300,,23900000,23900000,,
510.9,13000,154410000,165075000,10665000,175740000,6031956.5,13216847.8,2.5,1128.3,219.6,Infinity,1500,1500,17925000,11.95,"2023-01-13T09:22:00.000Z",1673601720000,11.95,11.95,11.95,100,0,0,2.9,,,0,,1500,14800,,17925000,17925000,,
510.9,7300,86865000,165075000,78210000,243285000,6031956.5,13216847.8,9.4,1128.3,219.6,0,,-5700,-67545000,11.85,"2023-01-13T09:24:00.000Z",1673601840000,11.85,11.85,11.85,0,100,0,,5.1,,Infinity,5700,5700,20500,,67545000,,67545000,
510.9,6800,80940000,165075000,84135000,249210000,6031956.5,13216847.8,0.8,1128.3,219.6,0,,-500,-5925000,11.85,"2023-01-13T09:28:00.000Z",1673602080000,11.85,11.85,11.85,0,100,0,,0.4,,Infinity,500,500,21000,,5925000,,5925000,
510.9,6300,75020000,166265000,91245000,257510000,6031956.5,13216847.8,0.8,1128.3,219.6,0.2,100,-500,-5920000,11.9,"2023-01-13T09:30:00.000Z",1673602200000,11.9,11.85,11.85,14.3,85.7,0,0.2,0.5,,6,600,700,21700,,8300000,1190000,7110000,
510.9,5600,66725000,166265000,99540000,265805000,6031956.5,13216847.8,1.2,1128.3,219.6,0,,-700,-8295000,11.85,"2023-01-13T09:32:00.000Z",1673602320000,11.85,11.85,11.85,0,100,0,,0.6,,Infinity,700,700,22400,,8295000,,8295000,
510.9,7000,83315000,182855000,99540000,282395000,6031956.5,13216847.8,2.3,1128.3,219.6,Infinity,1400,1400,16590000,11.85,"2023-01-13T09:38:00.000Z",1673602680000,11.85,11.85,11.85,100,0,0,2.7,,,0,,1400,23800,,16590000,16590000,,
510.9,8000,95215000,194755000,99540000,294295000,6031956.5,13216847.8,1.7,1128.3,219.6,Infinity,1000,1000,11900000,11.9,"2023-01-13T09:40:00.000Z",1673602800000,11.9,11.9,11.9,100,0,0,2,,,0,,1000,24800,,11900000,11900000,,
510.9,8100,96405000,195945000,99540000,295485000,6031956.5,13216847.8,0.2,1128.3,219.6,Infinity,100,100,1190000,11.9,"2023-01-13T09:48:00.000Z",1673603280000,11.9,11.9,11.9,100,0,0,0.2,,,0,,100,24900,,1190000,1190000,,
510.9,3700,44265000,195945000,151680000,347625000,6031956.5,13216847.8,7.3,1128.3,219.6,0,,-4400,-52140000,11.85,"2023-01-13T09:50:00.000Z",1673603400000,11.85,11.85,11.85,0,100,0,,3.9,,Infinity,4400,4400,29300,,52140000,,52140000,
510.9,-1300,-14985000,195945000,210930000,406875000,6031956.5,13216847.8,8.2,1128.3,219.6,0,,-5000,-59250000,11.85,"2023-01-13T09:52:00.000Z",1673603520000,11.85,11.85,11.85,0,100,0,,4.4,,Infinity,5000,5000,34300,,59250000,,59250000,
510.9,-1400,-16170000,195945000,212115000,408060000,6031956.5,13216847.8,0.2,1128.3,219.6,0,,-100,-1185000,11.85,"2023-01-13T09:54:00.000Z",1673603640000,11.85,11.85,11.85,0,100,0,,0.1,,Infinity,100,100,34400,,1185000,,1185000,
510.9,-4500,-52780000,195945000,248725000,444670000,6031956.5,13216847.8,5.1,1128.3,219.6,0,,-3100,-36610000,11.8,"2023-01-13T09:56:00.000Z",1673603760000,11.85,11.8,11.85,0,100,0,,2.7,,Infinity,3100,3100,37500,,36610000,,36610000,
510.9,-11500,-135380000,195945000,331325000,527270000,6031956.5,13216847.8,11.5,1128.3,219.6,0,,-7000,-82600000,11.8,"2023-01-13T09:58:00.000Z",1673603880000,11.8,11.8,11.8,0,100,0,,6.2,,Infinity,7000,7000,44500,,82600000,,82600000,
510.9,-14000,-164880000,195945000,360825000,556770000,6031956.5,13216847.8,4.1,1128.3,219.6,0,,-2500,-29500000,11.8,"2023-01-13T10:02:00.000Z",1673604120000,11.8,11.8,11.8,0,100,0,,2.2,,Infinity,2500,2500,47000,,29500000,,29500000,
510.9,-14400,-169580000,195945000,365525000,561470000,6031956.5,13216847.8,0.7,1128.3,219.6,0,,-400,-4700000,11.75,"2023-01-13T10:08:00.000Z",1673604480000,11.75,11.75,11.75,0,100,0,,0.4,,Infinity,400,400,47400,,4700000,,4700000,
510.9,-14100,-166055000,199470000,365525000,564995000,6031956.5,13216847.8,0.5,1128.3,219.6,Infinity,300,300,3525000,11.75,"2023-01-13T10:10:00.000Z",1673604600000,11.75,11.75,11.75,100,0,0,0.6,,,0,,300,47700,,3525000,3525000,,
510.9,-14200,-167230000,199470000,366700000,566170000,6031956.5,13216847.8,0.2,1128.3,219.6,0,,-100,-1175000,11.75,"2023-01-13T10:16:00.000Z",1673604960000,11.75,11.75,11.75,0,100,0,,0.1,,Infinity,100,100,47800,,1175000,,1175000,
510.9,-13800,-162530000,204170000,366700000,570870000,6031956.5,13216847.8,0.7,1128.3,219.6,Infinity,400,400,4700000,11.75,"2023-01-13T10:20:00.000Z",1673605200000,11.75,11.75,11.75,100,0,0,0.8,,,0,,400,48200,,4700000,4700000,,
510.9,-13700,-161355000,205345000,366700000,572045000,6031956.5,13216847.8,0.2,1128.3,219.6,Infinity,100,100,1175000,11.75,"2023-01-13T10:24:00.000Z",1673605440000,11.75,11.75,11.75,100,0,0,0.2,,,0,,100,48300,,1175000,1175000,,
510.9,-12800,-150735000,215965000,366700000,582665000,6031956.5,13216847.8,1.5,1128.3,219.6,Infinity,900,900,10620000,11.8,"2023-01-13T10:32:00.000Z",1673605920000,11.8,11.8,11.8,100,0,0,1.8,,,0,,900,49200,,10620000,10620000,,
510.9,-13100,-154255000,215965000,370220000,586185000,6031956.5,13216847.8,0.5,1128.3,219.6,0,,-300,-3520000,11.7,"2023-01-13T10:34:00.000Z",1673606040000,11.75,11.7,11.75,0,100,0,,0.3,,Infinity,300,300,49500,,3520000,,3520000,
510.9,-13500,-158935000,215965000,374900000,590865000,6031956.5,13216847.8,0.7,1128.3,219.6,0,,-400,-4680000,11.7,"2023-01-13T10:36:00.000Z",1673606160000,11.7,11.7,11.7,0,100,0,,0.4,,Infinity,400,400,49900,,4680000,,4680000,
510.9,-13800,-162400000,218305000,380705000,599010000,6031956.5,13216847.8,0.5,1128.3,219.6,0.4,200,-300,-3465000,11.6,"2023-01-13T10:40:00.000Z",1673606400000,11.7,11.6,11.7,28.6,71.4,0,0.4,0.4,,2.5,500,700,50600,,8145000,2340000,5805000,
510.9,-16300,-191215000,218305000,409520000,627825000,6031956.5,13216847.8,4,1128.3,219.6,0,,-2500,-28815000,11.5,"2023-01-13T10:42:00.000Z",1673606520000,11.55,11.5,11.55,0,100,0,,2.2,,Infinity,2500,2500,53100,,28815000,,28815000,
510.9,-16800,-196990000,218305000,415295000,633600000,6031956.5,13216847.8,0.8,1128.3,219.6,0,,-500,-5775000,11.55,"2023-01-13T10:46:00.000Z",1673606760000,11.55,11.55,11.55,0,100,0,,0.4,,Infinity,500,500,53600,,5775000,,5775000,
510.9,-16700,-195820000,219475000,415295000,634770000,6031956.5,13216847.8,0.2,1128.3,219.6,Infinity,100,100,1170000,11.7,"2023-01-13T10:50:00.000Z",1673607000000,11.7,11.7,11.7,100,0,0,0.2,,,0,,100,53700,,1170000,1170000,,
510.9,-16400,-192310000,222985000,415295000,638280000,6031956.5,13216847.8,0.5,1128.3,219.6,Infinity,300,300,3510000,11.7,"2023-01-13T11:18:00.000Z",1673608680000,11.7,11.7,11.7,100,0,0,0.6,,,0,,300,54000,,3510000,3510000,,
510.9,-17600,-206230000,222985000,429215000,652200000,6031956.5,13216847.8,1.9,1128.3,219.6,0,,-1200,-13920000,11.6,"2023-01-13T13:00:00.000Z",1673614800000,11.6,11.6,11.6,0,100,0,,1.1,,Infinity,1200,1200,55200,,13920000,,13920000,
510.9,-18000,-210870000,224145000,435015000,659160000,6031956.5,13216847.8,0.6,1128.3,219.6,0.2,100,-400,-4640000,11.6,"2023-01-13T13:16:00.000Z",1673615760000,11.6,11.6,11.6,16.7,83.3,0,0.2,0.4,,5,500,600,55800,,6960000,1160000,5800000,
510.9,-21100,-246675000,224145000,470820000,694965000,6031956.5,13216847.8,5,1128.3,219.6,0,,-3100,-35805000,11.55,"2023-01-13T13:18:00.000Z",1673615880000,11.55,11.55,11.55,0,100,0,,2.7,,Infinity,3100,3100,58900,,35805000,,35805000,
510.9,-23100,-269675000,224145000,493820000,717965000,6031956.5,13216847.8,3.2,1128.3,219.6,0,,-2000,-23000000,11.5,"2023-01-13T13:22:00.000Z",1673616120000,11.5,11.5,11.5,0,100,0,,1.8,,Infinity,2000,2000,60900,,23000000,,23000000,
510.9,-22000,-256960000,236860000,493820000,730680000,6031956.5,13216847.8,1.8,1128.3,219.6,Infinity,1100,1100,12715000,11.6,"2023-01-13T13:24:00.000Z",1673616240000,11.6,11.55,11.55,100,0,0,2.2,,,0,,1100,62000,,12715000,12715000,,
510.9,-21800,-254640000,239180000,493820000,733000000,6031956.5,13216847.8,0.3,1128.3,219.6,Infinity,200,200,2320000,11.6,"2023-01-13T13:26:00.000Z",1673616360000,11.6,11.6,11.6,100,0,0,0.4,,,0,,200,62200,,2320000,2320000,,
510.9,-27000,-314710000,243790000,558500000,802290000,6031956.5,13216847.8,8.4,1128.3,219.6,0.1,400,-5200,-60070000,11.5,"2023-01-13T13:28:00.000Z",1673616480000,11.6,11.5,11.6,6.7,93.3,0,0.8,5,,14,5600,6000,68200,,69290000,4610000,64680000,
510.9,-26000,-303060000,255440000,558500000,813940000,6031956.5,13216847.8,1.6,1128.3,219.6,Infinity,1000,1000,11650000,11.65,"2023-01-13T13:42:00.000Z",1673617320000,11.65,11.65,11.65,100,0,0,2,,,0,,1000,69200,,11650000,11650000,,
