"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
3250.5,-1800,-9860000,51700000,61560000,113260000,18154444.4,25972727.3,1.3,4700,1772.7,0.8,9000,-1800,-9860000,5.8,"2023-01-31T09:00:00.000Z",1675155600000,5.8,5.7,5.7,45.5,54.5,0,2.8,2.3,,1.2,10800,19800,19800,,113260000,51700000,61560000,
3250.5,4500,26140000,109440000,83300000,192740000,18154444.4,25972727.3,4.6,4700,1772.7,2.6,10200,6300,36000000,5.6,"2023-01-31T09:02:00.000Z",1675155720000,5.7,5.5,5.7,72.3,27.7,0,3.1,0.8,,0.4,3900,14100,33900,,79480000,57740000,21740000,
3250.5,11800,67020000,153120000,86100000,239220000,18154444.4,25972727.3,5.2,4700,1772.7,15.6,7800,7300,40880000,5.6,"2023-01-31T09:04:00.000Z",1675155840000,5.6,5.6,5.6,94,6,0,2.4,0.1,,0.1,500,8300,42200,,46480000,43680000,2800000,
3250.5,11500,65340000,153120000,87780000,240900000,18154444.4,25972727.3,0.2,4700,1772.7,0,,-300,-1680000,5.6,"2023-01-31T09:06:00.000Z",1675155960000,5.6,5.6,5.6,0,100,0,,0.1,,Infinity,300,300,42500,,1680000,,1680000,
3250.5,31500,179340000,267120000,87780000,354900000,18154444.4,25972727.3,14.6,4700,1772.7,Infinity,20000,20000,114000000,5.7,"2023-01-31T09:08:00.000Z",1675156080000,5.7,5.7,5.7,100,0,0,6.2,,,0,,20000,62500,,114000000,114000000,,
3250.5,33300,189600000,277380000,87780000,365160000,18154444.4,25972727.3,1.3,4700,1772.7,Infinity,1800,1800,10260000,5.7,"2023-01-31T09:10:00.000Z",1675156200000,5.7,5.7,5.7,100,0,0,0.6,,,0,,1800,64300,,10260000,10260000,,
3250.5,23600,134310000,279090000,144780000,423870000,18154444.4,25972727.3,7.1,4700,1772.7,0,300,-9700,-55290000,5.7,"2023-01-31T09:12:00.000Z",1675156320000,5.7,5.7,5.7,2.9,97.1,0,0.1,2.1,,33.3,10000,10300,74600,,58710000,1710000,57000000,
3250.5,23800,135450000,280230000,144780000,425010000,18154444.4,25972727.3,0.1,4700,1772.7,Infinity,200,200,1140000,5.7,"2023-01-31T09:16:00.000Z",1675156560000,5.7,5.7,5.7,100,0,0,0.1,,,0,,200,74800,,1140000,1140000,,
3250.5,28800,163950000,308730000,144780000,453510000,18154444.4,25972727.3,3.6,4700,1772.7,Infinity,5000,5000,28500000,5.7,"2023-01-31T09:18:00.000Z",1675156680000,5.7,5.7,5.7,100,0,0,1.5,,,0,,5000,79800,,28500000,28500000,,
3250.5,30000,170790000,315570000,144780000,460350000,18154444.4,25972727.3,0.9,4700,1772.7,Infinity,1200,1200,6840000,5.7,"2023-01-31T09:20:00.000Z",1675156800000,5.7,5.7,5.7,100,0,0,0.4,,,0,,1200,81000,,6840000,6840000,,
