"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
888.5,100,2060000,2060000,0,2060000,15366859,26780229.5,0.2,1563.9,213.1,Infinity,100,100,2060000,20.6,"2023-02-01T09:04:00.000Z",1675242240000,20.6,20.6,20.6,100,0,0,0.1,,,0,,100,100,,2060000,2060000,,
888.5,0,0,2060000,2060000,4120000,15366859,26780229.5,0.2,1563.9,213.1,0,,-100,-2060000,20.6,"2023-02-01T09:06:00.000Z",1675242360000,20.6,20.6,20.6,0,100,0,,0.1,,Infinity,100,100,200,,2060000,,2060000,
888.5,-200,-4120000,2060000,6180000,8240000,15366859,26780229.5,0.4,1563.9,213.1,0,,-200,-4120000,20.6,"2023-02-01T09:08:00.000Z",1675242480000,20.6,20.6,20.6,0,100,0,,0.1,,Infinity,200,200,400,,4120000,,4120000,
888.5,-6100,-125660000.00000001,2060000,127720000.00000001,129780000.00000001,15366859,26780229.5,10.6,1563.9,213.1,0,,-5900,-121540000.00000001,20.6,"2023-02-01T09:16:00.000Z",1675242960000,20.6,20.6,20.6,0,100,0,,3.8,,Infinity,5900,5900,6300,,121540000.00000001,,121540000.00000001,
888.5,-5700,-117420000.00000001,10300000,127720000.00000001,138020000,15366859,26780229.5,0.7,1563.9,213.1,Infinity,400,400,8240000,20.6,"2023-02-01T09:18:00.000Z",1675243080000,20.6,20.6,20.6,100,0,0,0.5,,,0,,400,6700,,8240000,8240000,,
888.5,-6000,-123600000.00000001,10300000,133900000.00000001,144200000,15366859,26780229.5,0.5,1563.9,213.1,0,,-300,-6180000,20.6,"2023-02-01T09:22:00.000Z",1675243320000,20.6,20.6,20.6,0,100,0,,0.2,,Infinity,300,300,7000,,6180000,,6180000,
888.5,-5900,-121530000.00000001,12370000,133900000.00000001,146270000,15366859,26780229.5,0.2,1563.9,213.1,Infinity,100,100,2070000,20.7,"2023-02-01T09:24:00.000Z",1675243440000,20.7,20.7,20.7,100,0,0,0.1,,,0,,100,7100,,2070000,2070000,,
888.5,-5800,-119470000.00000001,18550000,138020000,156570000,15366859,26780229.5,0.2,1563.9,213.1,1.5,300,100,2060000,20.6,"2023-02-01T09:26:00.000Z",1675243560000,20.6,20.6,20.6,60,40,0,0.3,0.1,,0.7,200,500,7600,,10300000,6180000,4120000,
888.5,-8400,-172770000,18550000,191320000,209870000,15366859,26780229.5,4.7,1563.9,213.1,0,,-2600,-53300000,20.5,"2023-02-01T09:32:00.000Z",1675243920000,20.5,20.5,20.5,0,100,0,,1.7,,Infinity,2600,2600,10200,,53300000,,53300000,
888.5,-8200,-168670000,22650000,191320000,213970000,15366859,26780229.5,0.4,1563.9,213.1,Infinity,200,200,4100000,20.5,"2023-02-01T09:34:00.000Z",1675244040000,20.5,20.5,20.5,100,0,0,0.2,,,0,,200,10400,,4100000,4100000,,
