"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
15886,24200,943516500,943800000,283500,944083500,405288868.4,483096024.6,12.1,19490.4,7,3.3,34700,24200,943516500,27,"2023-02-06T09:14:00.000Z",1675674840000,27.2,27,27.2,76.8,23.2,0,2.2,0.5,,0.3,10500,45200,45200,,944083500,943800000,283500,
15886,1000,-13858700,1213134800,1226993500,2440128300,405288868.4,483096024.6,12.3,19490.4,7,0.5,22400,-23200,-957375200,26.9,"2023-02-06T09:16:00.000Z",1675674960000,27,26.9,27,32.9,67.1,0,1.4,2.3,,2,45600,68000,113200,,1496044800,269334800,1226710000,
15886,22300,556626300,3315859800,2759233500,6075093300,405288868.4,483096024.6,7.3,19490.4,7,1.4,78600,21300,570485000,26.8,"2023-02-06T09:18:00.000Z",1675675080000,26.9,26.65,26.9,57.8,42.2,0,4.9,2.9,,0.7,57300,135900,249100,,3634965000,2102725000,1532240000,
15886,-45300,-1244753700,3945519800,5190273500,9135793300,405288868.4,483096024.6,23.2,19490.4,7,0.3,23500,-67600,-1801380000,26.7,"2023-02-06T09:20:00.000Z",1675675200000,26.9,26.6,26.8,20.5,79.5,0,1.5,4.7,,3.9,91100,114600,363700,,3060700000,629660000,2431040000,
15886,-107500,-2895643700,4826624800,7722268500,12548893300,405288868.4,483096024.6,21.2,19490.4,7,0.3,33100,-62200,-1650890000,26.6,"2023-02-06T09:22:00.000Z",1675675320000,26.65,26.5,26.65,25.8,74.2,0,2.1,4.9,,2.9,95300,128400,492100,,3413100000,881105000,2531995000,
15886,-101700,-2737698700,5599039800,8336738500,13935778300,405288868.4,483096024.6,2,19490.4,7,1.3,28900,5800,157945000,26.65,"2023-02-06T09:24:00.000Z",1675675440000,26.85,26.55,26.6,55.6,44.4,0,1.8,1.2,,0.8,23100,52000,544100,,1386885000,772415000,614470000,
15886,-97500,-2624128700,5934459800,8558588500,14493048300,405288868.4,483096024.6,1.5,19490.4,7,1.5,12500,4200,113570000,26.85,"2023-02-06T09:26:00.000Z",1675675560000,26.85,26.65,26.75,60.1,39.9,0,0.8,0.4,,0.7,8300,20800,564900,,557270000,335420000,221850000,
15886,-82600,-2223258700,6483254800,8706513500,15189768300,405288868.4,483096024.6,5.2,19490.4,7,3.7,20400,14900,400870000,26.85,"2023-02-06T09:28:00.000Z",1675675680000,26.95,26.85,26.9,78.8,21.2,0,1.3,0.3,,0.3,5500,25900,590800,,696720000,548795000,147925000,
15886,-83000,-2233573700,6714594800,8948168500,15662763300,405288868.4,483096024.6,0.1,19490.4,7,1,8600,-400,-10315000,26.9,"2023-02-06T09:30:00.000Z",1675675800000,26.9,26.85,26.9,48.9,51.1,0,0.5,0.5,,1,9000,17600,608400,,472995000,231340000,241655000,
15886,-87600,-2356778700,6768209800,9124988500,15893198300,405288868.4,483096024.6,1.6,19490.4,7,0.3,2000,-4600,-123205000,26.75,"2023-02-06T09:32:00.000Z",1675675920000,26.9,26.75,26.9,23.3,76.7,0,0.1,0.3,,3.3,6600,8600,617000,,230435000,53615000,176820000,
