"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
570.6,-100,-2810000,0,2810000,2810000,16345588.2,3666505.9,0.2,141.2,0,0,,-100,-2810000,28.1,"2023-02-10T09:40:00.000Z",1676022000000,28.1,28.1,28.1,0,100,0,,0.7,,Infinity,100,100,100,,2810000,,2810000,
570.6,900,25990000,28800000,2810000,31610000,16345588.2,3666505.9,2.3,141.2,0,Infinity,1000,1000,28800000,28.8,"2023-02-10T09:58:00.000Z",1676023080000,28.8,28.8,28.8,100,0,0,1.8,,,0,,1000,1100,,28800000,28800000,,
570.6,1900,54890000,57700000,2810000,60510000,16345588.2,3666505.9,2.3,141.2,0,Infinity,1000,1000,28900000,28.9,"2023-02-10T10:00:00.000Z",1676023200000,28.9,28.9,28.9,100,0,0,1.8,,,0,,1000,2100,,28900000,28900000,,
570.6,2100,60670000,63480000,2810000,66290000,16345588.2,3666505.9,0.5,141.2,0,Infinity,200,200,5780000,28.9,"2023-02-10T10:46:00.000Z",1676025960000,28.9,28.9,28.9,100,0,0,0.4,,,0,,200,2300,,5780000,5780000,,
570.6,2700,78010000,80820000,2810000,83630000,16345588.2,3666505.9,1.4,141.2,0,Infinity,600,600,17340000,28.9,"2023-02-10T10:54:00.000Z",1676026440000,28.9,28.9,28.9,100,0,0,1.1,,,0,,600,2900,,17340000,17340000,,
570.6,2300,66450000,80820000,14370000,95190000,16345588.2,3666505.9,0.9,141.2,0,0,,-400,-11560000,28.9,"2023-02-10T10:56:00.000Z",1676026560000,28.9,28.9,28.9,0,100,0,,2.8,,Infinity,400,400,3300,,11560000,,11560000,
570.6,2800,80900000,95270000,14370000,109640000,16345588.2,3666505.9,1.1,141.2,0,Infinity,500,500,14450000,28.9,"2023-02-10T11:20:00.000Z",1676028000000,28.9,28.9,28.9,100,0,0,0.9,,,0,,500,3800,,14450000,14450000,,
570.6,2400,69615000,95270000,25655000,120925000,16345588.2,3666505.9,0.9,141.2,0,0,,-400,-11285000,28.2,"2023-02-10T13:20:00.000Z",1676035200000,28.25,28.2,28.25,0,100,0,,2.8,,Infinity,400,400,4200,,11285000,,11285000,
570.6,2200,63975000,95270000,31295000,126565000,16345588.2,3666505.9,0.4,141.2,0,0,,-200,-5640000,28.2,"2023-02-10T13:22:00.000Z",1676035320000,28.2,28.2,28.2,0,100,0,,1.4,,Infinity,200,200,4400,,5640000,,5640000,
570.6,5000,143805000,175100000,31295000,206395000,16345588.2,3666505.9,6.3,141.2,0,Infinity,2800,2800,79830000,28.55,"2023-02-10T13:56:00.000Z",1676037360000,28.55,28.5,28.5,100,0,0,4.9,,,0,,2800,7200,,79830000,79830000,,
570.6,4900,140950000,175100000,34150000,209250000,16345588.2,3666505.9,0.2,141.2,0,0,,-100,-2855000,28.55,"2023-02-10T13:58:00.000Z",1676037480000,28.55,28.55,28.55,0,100,0,,0.7,,Infinity,100,100,7300,,2855000,,2855000,
570.6,7100,203760000,240765000,37005000,277770000,16345588.2,3666505.9,5,141.2,0,23,2300,2200,62810000,28.55,"2023-02-10T14:00:00.000Z",1676037600000,28.55,28.55,28.55,95.8,4.2,0,4,0.7,,0,100,2400,9700,,68520000,65665000,2855000,
570.6,8300,238020000,275025000,37005000,312030000,16345588.2,3666505.9,2.7,141.2,0,Infinity,1200,1200,34260000,28.55,"2023-02-10T14:04:00.000Z",1676037840000,28.55,28.55,28.55,100,0,0,2.1,,,0,,1200,10900,,34260000,34260000,,
570.6,8100,232380000,275025000,42645000,317670000,16345588.2,3666505.9,0.4,141.2,0,0,,-200,-5640000,28.2,"2023-02-10T14:16:00.000Z",1676038560000,28.2,28.2,28.2,0,100,0,,1.4,,Infinity,200,200,11100,,5640000,,5640000,
570.6,7300,215504400,275025000,59520600,334545600,16345588.2,3666505.9,1.3,141.2,0,0,,-800,-16875600,28,"2023-02-10T14:22:00.000Z",1676038920000,28.2,28,28.2,0,100,0,,5.7,,Infinity,800,800,11900,,16875600,,16875600,
570.6,7200,212694400,275025000,62330600,337355600,16345588.2,3666505.9,0.2,141.2,0,0,,-100,-2810000,28.1,"2023-02-10T14:26:00.000Z",1676039160000,28.1,28.1,28.1,0,100,0,,0.7,,Infinity,100,100,12000,,2810000,,2810000,
570.6,7300,215544400,277875000,62330600,340205600,16345588.2,3666505.9,0.2,141.2,0,Infinity,100,100,2850000,28.5,"2023-02-10T14:44:00.000Z",1676040240000,28.5,28.5,28.5,100,0,0,0.2,,,0,,100,12100,,2850000,2850000,,
