"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1383,-400,-1580000,0,1580000,1580000,3427102.1,9804893.6,0.2,2534,10.6,0,,-400,-1580000,3.95,"2023-02-10T09:16:00.000Z",1676020560000,3.95,3.95,3.95,0,100,0,,0.2,,Infinity,400,400,400,,1580000,,1580000,
1383,-1600,-6268000,1632000,7900000,9532000,3427102.1,9804893.6,0.7,2534,10.6,0.3,400,-1200,-4688000,4.08,"2023-02-10T09:20:00.000Z",1676020800000,4.08,3.95,3.95,20,80,0,0.3,0.6,,4,1600,2000,2400,,7952000,1632000,6320000,
1383,-3700,-14843000,17139000,31982000,49121000,3427102.1,9804893.6,1.3,2534,10.6,0.6,3800,-2100,-8575000,4.1,"2023-02-10T09:26:00.000Z",1676021160000,4.1,4.06,4.06,39.2,60.8,0,2.7,2.3,,1.6,5900,9700,12100,,39589000,15507000,24082000,
1383,-4000,-16070000,17139000,33209000,50348000,3427102.1,9804893.6,0.2,2534,10.6,0,,-300,-1227000,4.09,"2023-02-10T09:28:00.000Z",1676021280000,4.09,4.09,4.09,0,100,0,,0.1,,Infinity,300,300,12400,,1227000,,1227000,
1383,-6800,-27494000,17139000,44633000,61772000,3427102.1,9804893.6,1.8,2534,10.6,0,,-2800,-11424000,4.08,"2023-02-10T09:30:00.000Z",1676021400000,4.08,4.08,4.08,0,100,0,,1.1,,Infinity,2800,2800,15200,,11424000,,11424000,
1383,-7800,-31574000,17139000,48713000,65852000,3427102.1,9804893.6,0.6,2534,10.6,0,,-1000,-4080000,4.08,"2023-02-10T09:32:00.000Z",1676021520000,4.08,4.08,4.08,0,100,0,,0.4,,Infinity,1000,1000,16200,,4080000,,4080000,
1383,-8000,-32378000,17139000,49517000,66656000,3427102.1,9804893.6,0.1,2534,10.6,0,,-200,-803999.9999999999,4.02,"2023-02-10T09:38:00.000Z",1676021880000,4.02,4.02,4.02,0,100,0,,0.1,,Infinity,200,200,16400,,803999.9999999999,,803999.9999999999,
1383,-8400,-33986000,17139000,51125000,68264000,3427102.1,9804893.6,0.3,2534,10.6,0,,-400,-1607999.9999999998,4.02,"2023-02-10T09:42:00.000Z",1676022120000,4.02,4.02,4.02,0,100,0,,0.2,,Infinity,400,400,16800,,1607999.9999999998,,1607999.9999999998,
1383,-6400,-25946000,25179000,51125000,76304000,3427102.1,9804893.6,1.3,2534,10.6,Infinity,2000,2000,8039999.999999999,4.02,"2023-02-10T09:48:00.000Z",1676022480000,4.02,4.02,4.02,100,0,0,1.4,,,0,,2000,18800,,8039999.999999999,8039999.999999999,,
1383,-7000,-27951400,25179000,53130400,78309400,3427102.1,9804893.6,0.3,2534,10.6,0,,-600,-2005400,4,"2023-02-10T09:50:00.000Z",1676022600000,4.01,4,4.01,0,100,0,,0.2,,Infinity,600,600,19400,,2005400,,2005400,
1383,-5000,-27943400,25187000,53130400,78317400,3427102.1,9804893.6,0,2534,10.6,Infinity,2000,2000,8000,4,"2023-02-10T09:52:00.000Z",1676022720000,4,4,4,100,0,0,1.4,,,0,,2000,21400,,8000,8000,,
1383,-1000,-27927400,25203000,53130400,78333400,3427102.1,9804893.6,0,2534,10.6,Infinity,4000,4000,16000,4,"2023-02-10T10:08:00.000Z",1676023680000,4,4,4,100,0,0,2.9,,,0,,4000,25400,,16000,16000,,
1383,4900,-27903800,25226600,53130400,78357000,3427102.1,9804893.6,0,2534,10.6,Infinity,5900,5900,23600,4,"2023-02-10T10:14:00.000Z",1676024040000,4,4,4,100,0,0,4.3,,,0,,5900,31300,,23600,23600,,
1383,6700,-27896600,25234200,53130800,78365000,3427102.1,9804893.6,0,2534,10.6,19,1900,1800,7200,4,"2023-02-10T10:16:00.000Z",1676024160000,4,4,4,95,5,0,1.4,0,,0.1,100,2000,33300,,8000,7600,400,
1383,5700,-27900600,25234200,53134800,78369000,3427102.1,9804893.6,0,2534,10.6,0,,-1000,-4000,4,"2023-02-10T10:26:00.000Z",1676024760000,4,4,4,0,100,0,,0.4,,Infinity,1000,1000,34300,,4000,,4000,
1383,5600,-27901000,25234200,53135200,78369400,3427102.1,9804893.6,0,2534,10.6,0,,-100,-400,4,"2023-02-10T10:32:00.000Z",1676025120000,4,4,4,0,100,0,,0,,Infinity,100,100,34400,,400,,400,
1383,4600,-31871000,25234200,57105200,82339400,3427102.1,9804893.6,0.6,2534,10.6,0,,-1000,-3970000,3.97,"2023-02-10T10:34:00.000Z",1676025240000,3.97,3.97,3.97,0,100,0,,0.4,,Infinity,1000,1000,35400,,3970000,,3970000,
1383,13400,-31835800,25269400,57105200,82374600,3427102.1,9804893.6,0,2534,10.6,Infinity,8800,8800,35200,4,"2023-02-10T10:38:00.000Z",1676025480000,4,4,4,100,0,0,6.4,,,0,,8800,44200,,35200,35200,,
1383,13200,-31836600,25269400,57106000,82375400,3427102.1,9804893.6,0,2534,10.6,0,,-200,-800,4,"2023-02-10T10:40:00.000Z",1676025600000,4,4,4,0,100,0,,0.1,,Infinity,200,200,44400,,800,,800,
1383,13300,-31836200,25269800,57106000,82375800,3427102.1,9804893.6,0,2534,10.6,Infinity,100,100,400,4,"2023-02-10T10:48:00.000Z",1676026080000,4,4,4,100,0,0,0.1,,,0,,100,44500,,400,400,,
1383,14300,-31832200,25273800,57106000,82379800,3427102.1,9804893.6,0,2534,10.6,Infinity,1000,1000,4000,4,"2023-02-10T11:08:00.000Z",1676027280000,4,4,4,100,0,0,0.7,,,0,,1000,45500,,4000,4000,,
1383,9300,-51682200,25273800,76956000,102229800,3427102.1,9804893.6,3.1,2534,10.6,0,,-5000,-19850000,3.97,"2023-02-10T11:10:00.000Z",1676027400000,3.97,3.97,3.97,0,100,0,,2,,Infinity,5000,5000,50500,,19850000,,19850000,
1383,-21400,-172998200,25273800,198272000,223545800,3427102.1,9804893.6,19,2534,10.6,0,,-30700,-121316000,3.95,"2023-02-10T11:16:00.000Z",1676027760000,3.97,3.95,3.97,0,100,0,,12.1,,Infinity,30700,30700,81200,,121316000,,121316000,
1383,-23400,-180898200,25273800,206172000,231445800,3427102.1,9804893.6,1.2,2534,10.6,0,,-2000,-7900000,3.95,"2023-02-10T11:18:00.000Z",1676027880000,3.95,3.95,3.95,0,100,0,,0.8,,Infinity,2000,2000,83200,,7900000,,7900000,
1383,-21400,-172978200,33193800,206172000,239365800,3427102.1,9804893.6,1.2,2534,10.6,Infinity,2000,2000,7920000,3.96,"2023-02-10T11:24:00.000Z",1676028240000,3.96,3.96,3.96,100,0,0,1.4,,,0,,2000,85200,,7920000,7920000,,
1383,-49900,-284191200,35533800,319725000,355258800,3427102.1,9804893.6,17.4,2534,10.6,0,600,-28500,-111213000,3.9,"2023-02-10T11:26:00.000Z",1676028360000,3.93,3.9,3.93,2,98,0,0.4,11.5,,48.5,29100,29700,114900,,115893000,2340000,113553000,
1383,-52300,-293512200,35922800,329435000,367302800,3427102.1,9804893.6,1.5,2534,10.6,0,100,-2400,-9321000,3.86,"2023-02-10T13:00:00.000Z",1676034000000,3.89,3.86,3.89,3.2,80.6,16.1,0.1,1,47.2,25,2500,3100,118000,500,12044000,389000,9710000,1945000
1383,-48100,-277174200,52260800,329435000,383640800,3427102.1,9804893.6,2.6,2534,10.6,Infinity,4200,4200,16338000,3.89,"2023-02-10T13:06:00.000Z",1676034360000,3.89,3.89,3.89,100,0,0,3,,,0,,4200,122200,,16338000,16338000,,
1383,-48600,-279114200,54210800,333325000,389480800,3427102.1,9804893.6,0.3,2534,10.6,0.5,500,-500,-1940000,3.9,"2023-02-10T13:18:00.000Z",1676035080000,3.9,3.89,3.89,33.3,66.7,0,0.4,0.4,,2,1000,1500,123700,,5840000,1950000,3890000,
1383,-48500,-278724200,54600800,333325000,389870800,3427102.1,9804893.6,0.1,2534,10.6,Infinity,100,100,390000,3.9,"2023-02-10T13:20:00.000Z",1676035200000,3.9,3.9,3.9,100,0,0,0.1,,,0,,100,123800,,390000,390000,,
1383,-46500,-270924200,62400800,333325000,397670800,3427102.1,9804893.6,1.2,2534,10.6,Infinity,2000,2000,7800000,3.9,"2023-02-10T13:22:00.000Z",1676035320000,3.9,3.9,3.9,100,0,0,1.4,,,0,,2000,125800,,7800000,7800000,,
1383,-45500,-267024200,66300800,333325000,401570800,3427102.1,9804893.6,0.6,2534,10.6,Infinity,1000,1000,3900000,3.9,"2023-02-10T13:30:00.000Z",1676035800000,3.9,3.9,3.9,100,0,0,0.7,,,0,,1000,126800,,3900000,3900000,,
1383,-40800,-248694200,84630800,333325000,419900800,3427102.1,9804893.6,2.9,2534,10.6,Infinity,4700,4700,18330000,3.9,"2023-02-10T13:32:00.000Z",1676035920000,3.9,3.9,3.9,100,0,0,3.4,,,0,,4700,131500,,18330000,18330000,,
1383,-38800,-240894200,92430800,333325000,427700800,3427102.1,9804893.6,1.2,2534,10.6,Infinity,2000,2000,7800000,3.9,"2023-02-10T13:34:00.000Z",1676036040000,3.9,3.9,3.9,100,0,0,1.4,,,0,,2000,133500,,7800000,7800000,,
1383,-39300,-242844200,92430800,335275000,429650800,3427102.1,9804893.6,0.3,2534,10.6,0,,-500,-1950000,3.9,"2023-02-10T13:42:00.000Z",1676036520000,3.9,3.9,3.9,0,100,0,,0.2,,Infinity,500,500,134000,,1950000,,1950000,
1383,-40300,-246724200,92430800,339155000,433530800,3427102.1,9804893.6,0.6,2534,10.6,0,,-1000,-3880000,3.88,"2023-02-10T13:46:00.000Z",1676036760000,3.88,3.88,3.88,0,100,0,,0.4,,Infinity,1000,1000,135000,,3880000,,3880000,
1383,-41500,-251363200,94370800,345734000,442049800,3427102.1,9804893.6,0.7,2534,10.6,0.3,500,-1200,-4639000,3.88,"2023-02-10T13:48:00.000Z",1676036880000,3.88,3.87,3.87,22.7,77.3,0,0.4,0.7,,3.4,1700,2200,137200,,8519000,1940000,6579000,
1383,-50100,-284268200,95513800,379782000,477240800,3427102.1,9804893.6,5.2,2534,10.6,0,300,-8600,-32905000,3.81,"2023-02-10T13:52:00.000Z",1676037120000,3.87,3.81,3.87,3.3,96.7,0,0.2,3.5,,29.7,8900,9200,146400,,35191000,1143000,34048000,
1383,-39000,-241974200,137807800,379782000,519534800,3427102.1,9804893.6,6.6,2534,10.6,Infinity,11100,11100,42294000,3.82,"2023-02-10T13:54:00.000Z",1676037240000,3.82,3.81,3.81,100,0,0,8,,,0,,11100,157500,,42294000,42294000,,
