"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
5474.1,200,2880000,2880000,0,139680000,78667455.4,56646160.7,0.1,3966.1,128.6,Infinity,200,200,2880000,14400,"2023-02-16T09:14:00.000Z",1676538840000,14400,14400,14400,2.1,0,97.9,0,,73.9,0,,9700,9700,9500,139680000,2880000,,136800000
5474.1,64800,937995000,1150050000,212055000,1498905000,78667455.4,56646160.7,42.5,3966.1,128.6,5.4,79300,64600,935115000,14500,"2023-02-16T09:16:00.000Z",1676538960000,14500,14350,14350,84.4,15.6,0,14.5,3.7,,0.2,14700,94000,103700,,1359225000,1147170000,212055000,
5474.1,109700,1593300000,1838555000,245255000,2220610000,78667455.4,56646160.7,29.8,3966.1,128.6,20.5,47200,44900,655305000,14500,"2023-02-16T09:18:00.000Z",1676539080000,14600,14400,14500,95.4,4.6,0,8.6,0.6,,0,2300,49500,153200,,721705000,688505000,33200000,
5474.1,101900,1480965000,1850145000,369180000,2363350000,78667455.4,56646160.7,-5.1,3966.1,128.6,0.1,800,-7800,-112335000,14450,"2023-02-16T09:20:00.000Z",1676539200000,14550,14400,14550,8.1,86.9,5.1,0.1,2.2,3.9,10.8,8600,9900,163100,500,142740000,11590000,123925000,7225000
5474.1,104800,1522870000,1894940000,372070000,2413925000,78667455.4,56646160.7,1.9,3966.1,128.6,15.5,3100,2900,41905000,14450,"2023-02-16T09:22:00.000Z",1676539320000,14450,14450,14450,88.6,5.7,5.7,0.6,0.1,1.6,0.1,200,3500,166600,200,50575000,44795000,2890000,2890000
5474.1,99800,1450870000,1967440000,516570000,2630925000,78667455.4,56646160.7,-3.3,3966.1,128.6,0.5,5000,-5000,-72000000,14450,"2023-02-16T09:24:00.000Z",1676539440000,14500,14450,14450,33.3,66.7,0,0.9,2.5,,2,10000,15000,181600,,217000000,72500000,144500000,
5474.1,98200,1427775000,1974665000,546890000,2668470000,78667455.4,56646160.7,-1,3966.1,128.6,0.2,500,-1600,-23095000,14400,"2023-02-16T09:26:00.000Z",1676539560000,14450,14400,14450,19.2,80.8,0,0.1,0.5,,4.2,2100,2600,184200,,37545000,7225000,30320000,
5474.1,89200,1298175000,1974665000,676490000,2798070000,78667455.4,56646160.7,-5.9,3966.1,128.6,0,,-9000,-129600000,14400,"2023-02-16T09:28:00.000Z",1676539680000,14400,14400,14400,0,100,0,,2.3,,Infinity,9000,9000,193200,,129600000,,129600000,
5474.1,85700,1247775000,1974665000,726890000,2848470000,78667455.4,56646160.7,-2.3,3966.1,128.6,0,,-3500,-50400000,14400,"2023-02-16T09:30:00.000Z",1676539800000,14400,14400,14400,0,100,0,,0.9,,Infinity,3500,3500,196700,,50400000,,50400000,
5474.1,81200,1183275000,1996265000,812990000,2956170000,78667455.4,56646160.7,-2.9,3966.1,128.6,0.3,1500,-4500,-64500000,14350,"2023-02-16T09:32:00.000Z",1676539920000,14400,14350,14400,20,80,0,0.3,1.5,,4,6000,7500,204200,,107700000,21600000,86100000,
5474.1,80700,1176100000,1996265000,820165000,2963345000,78667455.4,56646160.7,-0.3,3966.1,128.6,0,,-500,-7175000,14350,"2023-02-16T09:34:00.000Z",1676540040000,14350,14350,14350,0,100,0,,0.1,,Infinity,500,500,204700,,7175000,,7175000,
5474.1,73000,1065605000,1996265000,930660000,3073840000,78667455.4,56646160.7,-5,3966.1,128.6,0,,-7700,-110495000,14350,"2023-02-16T09:36:00.000Z",1676540160000,14350,14350,14350,0,100,0,,1.9,,Infinity,7700,7700,212400,,110495000,,110495000,
5474.1,69500,1015380000,1996265000,980885000,3124065000,78667455.4,56646160.7,-2.3,3966.1,128.6,0,,-3500,-50225000,14350,"2023-02-16T09:38:00.000Z",1676540280000,14350,14350,14350,0,100,0,,0.9,,Infinity,3500,3500,215900,,50225000,,50225000,
5474.1,68900,1006770000,1996265000,989495000,3132675000,78667455.4,56646160.7,-0.4,3966.1,128.6,0,,-600,-8610000,14350,"2023-02-16T09:40:00.000Z",1676540400000,14350,14350,14350,0,100,0,,0.2,,Infinity,600,600,216500,,8610000,,8610000,
5474.1,72400,1057050000,2226545000,1169495000,3542955000,78667455.4,56646160.7,2.3,3966.1,128.6,1.3,16000,3500,50280000,14400,"2023-02-16T09:42:00.000Z",1676540520000,14400,14350,14350,56.1,43.9,0,2.9,3.2,,0.8,12500,28500,245000,,410280000,230280000,180000000,
5474.1,71500,1044160000,2243790000,1199630000,3590335000,78667455.4,56646160.7,-0.6,3966.1,128.6,0.6,1200,-900,-12890000,14350,"2023-02-16T09:44:00.000Z",1676540640000,14400,14350,14400,36.4,63.6,0,0.2,0.5,,1.8,2100,3300,248300,,47380000,17245000,30135000,
5474.1,77500,1130260000,2329890000,1199630000,3676435000,78667455.4,56646160.7,3.9,3966.1,128.6,Infinity,6000,6000,86100000,14350,"2023-02-16T09:46:00.000Z",1676540760000,14350,14350,14350,100,0,0,1.1,,,0,,6000,254300,,86100000,86100000,,
5474.1,79100,1153220000,2352850000,1199630000,3699395000,78667455.4,56646160.7,1,3966.1,128.6,Infinity,1600,1600,22960000,14350,"2023-02-16T09:48:00.000Z",1676540880000,14350,14350,14350,100,0,0,0.3,,,0,,1600,255900,,22960000,22960000,,
5474.1,81300,1184950000,2431775000,1246825000,3825515000,78667455.4,56646160.7,1.4,3966.1,128.6,1.7,5500,2200,31730000,14350,"2023-02-16T09:50:00.000Z",1676541000000,14350,14300,14350,62.5,37.5,0,1,0.8,,0.6,3300,8800,264700,,126120000,78925000,47195000,
