"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
8168.3,-24800,-792360000,0,792360000,792360000,262290304.9,103844146.3,-5,3240.2,34.1,0,,-24800,-792360000,31950,"2023-02-20T09:14:00.000Z",1676884440000,31950,31950,31950,0,100,0,,7.7,,Infinity,24800,24800,24800,,792360000,,792360000,
8168.3,-22200,-709160000,83200000,792360000,875560000,262290304.9,103844146.3,0.5,3240.2,34.1,Infinity,2600,2600,83200000,32000,"2023-02-20T09:16:00.000Z",1676884560000,32000,32000,32000,100,0,0,0.3,,,0,,2600,27400,,83200000,83200000,,
8168.3,-12100,-385830000,489600000,875430000,1365030000,262290304.9,103844146.3,2,3240.2,34.1,4.9,12700,10100,323330000,32000,"2023-02-20T09:18:00.000Z",1676884680000,32000,31950,32000,83,17,0,1.6,0.8,,0.2,2600,15300,42700,,489470000,406400000,83070000,
8168.3,-4100,-129700000,819330000,949030000,1768360000,262290304.9,103844146.3,1.6,3240.2,34.1,4.5,10300,8000,256130000,32050,"2023-02-20T09:20:00.000Z",1676884800000,32050,32000,32000,81.7,18.3,0,1.3,0.7,,0.2,2300,12600,55300,,403330000,329730000,73600000,
8168.3,-2500,-78420000,870610000,949030000,1819640000,262290304.9,103844146.3,0.3,3240.2,34.1,Infinity,1600,1600,51280000,32050,"2023-02-20T09:24:00.000Z",1676885040000,32050,32050,32050,100,0,0,0.2,,,0,,1600,56900,,51280000,51280000,,
8168.3,-5400,-171220000,931410000,1102630000,2034040000,262290304.9,103844146.3,-0.6,3240.2,34.1,0.4,1900,-2900,-92800000,32000,"2023-02-20T09:26:00.000Z",1676885160000,32000,32000,32000,28.4,71.6,0,0.2,1.5,,2.5,4800,6700,63600,,214400000,60800000,153600000,
8168.3,-3900,-123220000,979410000,1102630000,2082040000,262290304.9,103844146.3,0.3,3240.2,34.1,Infinity,1500,1500,48000000,32000,"2023-02-20T09:28:00.000Z",1676885280000,32000,32000,32000,100,0,0,0.2,,,0,,1500,65100,,48000000,48000000,,
8168.3,-2200,-68720000,1097810000,1166530000,2264340000,262290304.9,103844146.3,0.3,3240.2,34.1,1.9,3700,1700,54500000,32000,"2023-02-20T09:30:00.000Z",1676885400000,32000,31950,31950,64.9,35.1,0,0.5,0.6,,0.5,2000,5700,70800,,182300000,118400000,63900000,
8168.3,4100,132990000,1462465000,1329475000,2791940000,262290304.9,103844146.3,1.3,3240.2,34.1,2.2,11400,6300,201710000,32000,"2023-02-20T09:32:00.000Z",1676885520000,32000,31950,31950,69.1,30.9,0,1.4,1.6,,0.4,5100,16500,87300,,527600000,364655000,162945000,
8168.3,18800,603720000,1933195000,1329475000,3262670000,262290304.9,103844146.3,3,3240.2,34.1,Infinity,14700,14700,470730000,32050,"2023-02-20T09:34:00.000Z",1676885640000,32050,32000,32000,100,0,0,1.8,,,0,,14700,102000,,470730000,470730000,,
