"c","h","l","o","t","v","av","r","date","updown"
22,22.1,22,22.1,1674012000,800,2433.3333333333335,"0.33","2023-01-18T10:20:00.000Z","down"
22,22,22,22,1674012600,4200,2433.3333333333335,"1.73","2023-01-18T10:30:00.000Z","-"
24.8,24.8,24.8,24.8,1674095400,100,2433.3333333333335,"0.04","2023-01-19T09:30:00.000Z","-"
24.8,24.8,24.8,24.8,1674112500,10100,2433.3333333333335,"4.15","2023-01-19T14:15:00.000Z","-"
24.8,24.8,24.8,24.8,1674112800,1800,2433.3333333333335,"0.74","2023-01-19T14:20:00.000Z","-"
25.2,25.2,24.7,24.7,1674113100,2100,2433.3333333333335,"0.86","2023-01-19T14:25:00.000Z","up"
24.7,24.7,24.7,24.7,1674805500,6300,2433.3333333333335,"2.59","2023-01-27T14:45:00.000Z","-"
25,25,25,25,1674806100,1700,2433.3333333333335,"0.70","2023-01-27T14:55:00.000Z","-"
24.5,24.5,24.5,24.5,1675064700,200,2433.3333333333335,"0.08","2023-01-30T14:45:00.000Z","-"
21.2,21.2,21.2,21.2,1675134000,5500,2433.3333333333335,"2.26","2023-01-31T10:00:00.000Z","-"
24,24,24,24,1675150200,1600,2433.3333333333335,"0.66","2023-01-31T14:30:00.000Z","-"
24,24,24,24,1675150500,100,2433.3333333333335,"0.04","2023-01-31T14:35:00.000Z","-"
23,23,23,23,1675151700,100,2433.3333333333335,"0.04","2023-01-31T14:55:00.000Z","-"
24.5,24.5,24.5,24.5,1675235100,1000,2433.3333333333335,"0.41","2023-02-01T14:05:00.000Z","-"
24.5,24.5,24.5,24.5,1675235700,900,2433.3333333333335,"0.37","2023-02-01T14:15:00.000Z","-"
