"price","change","match_qtty","side","time","total_vol"
6.16,0,78000,"unknown","14:45:01",1938600
6.06,-0.1,900,"unknown","14:30:18",1860600
6.06,-0.1,2000,"unknown","14:30:18",1859700
6.06,-0.1,200,"unknown","14:30:18",1857700
6.07,-0.09,100,"unknown","14:30:15",1857500
6.08,-0.08,200,"unknown","14:30:15",1857400
6.1,-0.06,3000,"unknown","14:30:14",1857200
6.16,0,100,"bu","14:29:58",1854200
6.05,-0.11,200,"sd","14:29:52",1854100
6.05,-0.11,500,"sd","14:29:51",1853900
6.05,-0.11,100,"sd","14:29:51",1853400
6.16,0,100,"bu","14:29:51",1853300
6.06,-0.1,1000,"sd","14:29:48",1853200
6.1,-0.06,2000,"sd","14:29:29",1852200
6.16,0,3000,"sd","14:28:53",1850200
6.17,0.01,100,"bu","14:28:47",1847200
6.16,0,1000,"sd","14:28:43",1847100
6.16,0,1000,"sd","14:28:43",1846100
6.16,0,500,"sd","14:28:39",1845100
6.17,0.01,100,"bu","14:28:22",1844600
6.16,0,1000,"sd","14:28:13",1844500
6.17,0.01,1000,"bu","14:27:48",1843500
6.16,0,3300,"sd","14:27:38",1842500
6.1,-0.06,1200,"sd","14:27:38",1839200
6.1,-0.06,2100,"bu","14:27:38",1838000
6.08,-0.08,900,"bu","14:27:38",1835900
6.08,-0.08,200,"sd","14:27:25",1835000
6.08,-0.08,300,"bu","14:26:58",1834800
6.1,-0.06,1000,"sd","14:25:17",1834500
6.1,-0.06,100,"sd","14:25:17",1833500
6.1,-0.06,1000,"sd","14:25:17",1833400
6.1,-0.06,100,"sd","14:25:16",1832400
6.1,-0.06,700,"sd","14:25:16",1832300
6.1,-0.06,600,"sd","14:24:12",1831600
6.16,0,100,"bu","14:24:11",1831000
6.1,-0.06,100,"sd","14:23:55",1830900
6.12,-0.04,100,"bu","14:23:55",1830800
6.12,-0.04,400,"bu","14:23:52",1830700
6.1,-0.06,600,"sd","14:23:47",1830300
