"price","change","match_qtty","side","time","total_vol"
10.8,-0.2,8400,"bu","14:45:02",424200
10.8,-0.2,200,"bu","14:29:50",415800
10.8,-0.2,300,"bu","14:29:50",415600
10.8,-0.2,4700,"bu","14:29:24",415300
10.8,-0.2,300,"bu","14:29:24",410600
10.8,-0.2,400,"bu","14:29:03",410300
10.8,-0.2,100,"bu","14:28:04",409900
10.8,-0.2,100,"bu","14:27:41",409800
10.8,-0.2,2000,"bu","14:27:21",409700
10.8,-0.2,100,"bu","14:27:02",407700
10.7,-0.3,1000,"bu","14:26:07",407600
10.7,-0.3,1300,"bu","14:26:07",406600
10.65,-0.35,100,"sd","14:24:58",405300
10.7,-0.3,100,"bu","14:24:34",405200
10.7,-0.3,100,"bu","14:23:57",405100
10.65,-0.35,4800,"bu","14:23:49",405000
10.65,-0.35,100,"bu","14:23:39",400200
10.65,-0.35,100,"bu","14:22:45",400100
10.65,-0.35,300,"bu","14:22:44",400000
10.6,-0.4,100,"sd","14:21:48",399700
10.6,-0.4,500,"sd","14:21:07",399600
10.65,-0.35,4600,"bu","14:20:39",399100
10.65,-0.35,100,"bu","14:20:28",394500
10.65,-0.35,1000,"bu","14:19:59",394400
10.65,-0.35,500,"bu","14:17:44",393400
10.65,-0.35,500,"bu","14:17:37",392900
10.65,-0.35,100,"bu","14:16:18",392400
10.65,-0.35,100,"bu","14:16:09",392300
10.45,-0.55,400,"bu","14:14:56",392200
10.45,-0.55,100,"sd","14:14:37",391800
10.45,-0.55,500,"sd","14:14:37",391700
10.45,-0.55,9000,"sd","14:14:37",391200
10.65,-0.35,100,"bu","14:14:36",382200
10.45,-0.55,1000,"bu","14:13:40",382100
10.4,-0.6,1000,"sd","14:13:36",381100
10.4,-0.6,5100,"sd","14:13:32",380100
10.4,-0.6,500,"sd","14:13:32",375000
10.4,-0.6,2000,"sd","14:13:32",374500
10.4,-0.6,100,"sd","14:13:32",372500
10.4,-0.6,500,"sd","14:13:32",372400
10.4,-0.6,1400,"sd","14:13:32",371900
10.4,-0.6,600,"sd","14:13:30",370500
10.4,-0.6,600,"sd","14:13:30",369900
10.4,-0.6,1000,"sd","14:13:14",369300
10.4,-0.6,3400,"sd","14:12:59",368300
10.4,-0.6,10000,"sd","14:12:59",364900
10.4,-0.6,400,"sd","14:12:59",354900
10.45,-0.55,300,"bu","14:12:19",354500
10.4,-0.6,5000,"sd","14:12:10",354200
10.45,-0.55,100,"sd","14:12:09",349200
10.45,-0.55,1000,"sd","14:12:09",349100
10.45,-0.55,100,"sd","14:12:09",348100
10.45,-0.55,8000,"sd","14:12:09",348000
10.45,-0.55,2000,"sd","14:11:48",340000
10.45,-0.55,5000,"sd","14:11:48",338000
10.5,-0.5,1000,"unknown","14:11:48",333000
10.5,-0.5,100,"unknown","14:11:48",332000
10.5,-0.5,100,"sd","14:11:48",331900
10.5,-0.5,600,"sd","14:11:48",331800
10.5,-0.5,1000,"sd","14:11:48",331200
10.5,-0.5,200,"sd","14:11:48",330200
10.5,-0.5,2000,"sd","14:11:16",330000
10.5,-0.5,1000,"sd","14:11:10",328000
10.5,-0.5,300,"sd","14:11:06",327000
10.5,-0.5,1500,"sd","14:10:53",326700
10.5,-0.5,100,"sd","14:10:53",325200
10.5,-0.5,500,"sd","14:10:53",325100
10.5,-0.5,500,"sd","14:10:53",324600
10.5,-0.5,500,"sd","14:10:53",324100
10.5,-0.5,200,"sd","14:10:53",323600
10.5,-0.5,300,"sd","14:10:53",323400
10.5,-0.5,400,"sd","14:10:53",323100
10.55,-0.45,1300,"sd","14:10:43",322700
10.5,-0.5,1600,"sd","14:10:43",321400
10.55,-0.45,100,"sd","14:10:43",319800
10.55,-0.45,500,"sd","14:10:37",319700
10.55,-0.45,4200,"sd","14:10:26",319200
10.55,-0.45,2000,"sd","14:10:26",315000
10.55,-0.45,100,"sd","14:10:26",313000
10.55,-0.45,1000,"sd","14:10:26",312900
10.55,-0.45,100,"sd","14:10:26",311900
10.55,-0.45,2600,"sd","14:10:26",311800
10.55,-0.45,400,"sd","14:09:59",309200
10.55,-0.45,2600,"sd","14:09:59",308800
10.6,-0.4,500,"sd","14:09:28",306200
10.6,-0.4,1500,"sd","14:09:00",305700
10.7,-0.3,100,"bu","14:02:46",304200
10.6,-0.4,100,"bu","14:02:46",304100
10.6,-0.4,100,"bu","14:02:19",304000
10.6,-0.4,500,"bu","14:01:57",303900
10.55,-0.45,1000,"sd","14:01:45",303400
10.6,-0.4,100,"bu","14:01:10",302400
10.6,-0.4,1600,"bu","14:01:04",302300
10.6,-0.4,100,"sd","14:01:04",300700
10.6,-0.4,500,"sd","14:01:04",300600
10.6,-0.4,400,"bu","13:58:21",300100
10.6,-0.4,2000,"bu","13:58:21",299700
10.55,-0.45,1500,"sd","13:58:20",297700
10.55,-0.45,400,"sd","13:58:11",296200
10.55,-0.45,4500,"sd","13:58:04",295800
10.55,-0.45,500,"sd","13:58:04",291300
10.55,-0.45,300,"sd","13:57:54",290800
10.55,-0.45,100,"sd","13:57:51",290500
10.55,-0.45,100,"sd","13:56:26",290400
10.6,-0.4,100,"bu","13:55:54",290300
10.6,-0.4,400,"sd","13:55:01",290200
10.6,-0.4,2000,"bu","13:54:27",289800
10.7,-0.3,100,"bu","13:53:57",287800
10.6,-0.4,400,"bu","13:53:37",287700
10.6,-0.4,1000,"sd","13:53:31",287300
10.6,-0.4,3300,"sd","13:53:31",286300
10.65,-0.35,200,"sd","13:53:31",283000
10.65,-0.35,100,"sd","13:53:31",282800
10.6,-0.4,1000,"sd","13:53:24",282700
