"price","change","match_qtty","side","time","total_vol"
22.8,-0.2,130100,"bu","14:45:03",5662000
22.85,-0.15,1000,"sd","14:30:00",5531900
22.85,-0.15,1500,"sd","14:29:55",5530900
22.85,-0.15,700,"sd","14:29:34",5529400
22.85,-0.15,1100,"sd","14:29:24",5528700
22.85,-0.15,2000,"bu","14:29:18",5527600
22.85,-0.15,10000,"bu","14:29:18",5525600
22.85,-0.15,5000,"bu","14:29:18",5515600
22.85,-0.15,1300,"bu","14:29:18",5510600
22.8,-0.2,100,"bu","14:29:18",5509300
22.85,-0.15,100000,"bu","14:29:18",5509200
22.85,-0.15,100,"bu","14:29:18",5409200
22.85,-0.15,100,"bu","14:29:18",5409100
22.75,-0.25,2000,"sd","14:29:09",5409000
22.8,-0.2,6000,"sd","14:29:09",5407000
22.8,-0.2,300,"bu","14:29:05",5401000
22.8,-0.2,100,"bu","14:29:05",5400700
22.8,-0.2,100,"bu","14:29:05",5400600
22.8,-0.2,200,"bu","14:29:05",5400500
22.8,-0.2,500,"bu","14:29:05",5400300
22.8,-0.2,1000,"bu","14:29:05",5399800
22.8,-0.2,3000,"bu","14:29:05",5398800
22.8,-0.2,300,"bu","14:29:05",5395800
22.75,-0.25,2500,"sd","14:29:03",5395500
22.75,-0.25,200,"sd","14:29:03",5393000
22.75,-0.25,100,"sd","14:28:59",5392800
22.75,-0.25,3000,"sd","14:28:53",5392700
22.75,-0.25,4300,"sd","14:28:52",5389700
22.75,-0.25,500,"sd","14:28:52",5385400
22.75,-0.25,200,"sd","14:28:52",5384900
22.75,-0.25,100,"sd","14:28:52",5384700
22.75,-0.25,500,"sd","14:28:52",5384600
22.75,-0.25,500,"sd","14:28:38",5384100
22.8,-0.2,500,"bu","14:28:31",5383600
22.8,-0.2,500,"bu","14:28:13",5383100
22.8,-0.2,100,"sd","14:27:33",5382600
22.8,-0.2,2600,"sd","14:27:33",5382500
22.8,-0.2,1600,"sd","14:27:32",5379900
22.8,-0.2,100,"sd","14:27:14",5378300
22.8,-0.2,1000,"sd","14:27:09",5378200
22.8,-0.2,2000,"sd","14:27:04",5377200
22.8,-0.2,100,"sd","14:26:54",5375200
22.8,-0.2,500,"sd","14:26:49",5375100
22.8,-0.2,15000,"sd","14:26:49",5374600
22.8,-0.2,6200,"sd","14:26:49",5359600
22.8,-0.2,17600,"sd","14:26:49",5353400
22.8,-0.2,100,"sd","14:26:46",5335800
22.8,-0.2,700,"sd","14:26:28",5335700
22.8,-0.2,2000,"sd","14:26:16",5335000
22.8,-0.2,200,"sd","14:26:13",5333000
22.8,-0.2,800,"sd","14:26:11",5332800
22.8,-0.2,1700,"sd","14:26:11",5332000
22.8,-0.2,100,"sd","14:25:58",5330300
22.8,-0.2,3600,"sd","14:25:48",5330200
22.8,-0.2,10000,"sd","14:25:15",5326600
22.8,-0.2,100,"sd","14:25:04",5316600
22.85,-0.15,700,"bu","14:25:01",5316500
22.85,-0.15,1000,"bu","14:25:01",5315800
22.85,-0.15,1100,"bu","14:25:01",5314800
22.8,-0.2,400,"sd","14:24:59",5313700
22.8,-0.2,500,"bu","14:24:58",5313300
22.8,-0.2,500,"bu","14:24:58",5312800
22.8,-0.2,3100,"bu","14:24:58",5312300
22.75,-0.25,500,"sd","14:24:51",5309200
22.8,-0.2,10000,"sd","14:24:43",5308700
22.8,-0.2,500,"sd","14:24:43",5298700
22.8,-0.2,100,"sd","14:24:43",5298200
22.8,-0.2,7500,"sd","14:24:43",5298100
22.8,-0.2,200,"sd","14:24:43",5290600
22.8,-0.2,4500,"sd","14:24:43",5290400
22.8,-0.2,100,"sd","14:24:25",5285900
22.85,-0.15,3900,"bu","14:24:02",5285800
22.85,-0.15,1300,"bu","14:24:02",5281900
22.85,-0.15,1000,"bu","14:24:02",5280600
22.85,-0.15,400,"bu","14:24:02",5279600
22.85,-0.15,10400,"bu","14:24:02",5279200
22.8,-0.2,400,"sd","14:23:59",5268800
22.8,-0.2,500,"sd","14:23:59",5268400
22.8,-0.2,100,"sd","14:23:59",5267900
22.8,-0.2,1000,"sd","14:23:59",5267800
22.8,-0.2,100,"sd","14:23:59",5266800
22.8,-0.2,200,"sd","14:23:59",5266700
22.8,-0.2,100,"sd","14:23:59",5266500
22.8,-0.2,500,"sd","14:23:59",5266400
22.8,-0.2,1000,"sd","14:23:59",5265900
22.8,-0.2,500,"sd","14:23:59",5264900
22.8,-0.2,1000,"sd","14:23:59",5264400
22.8,-0.2,15600,"sd","14:23:59",5263400
22.8,-0.2,100,"sd","14:23:50",5247800
22.8,-0.2,500,"sd","14:23:50",5247700
22.8,-0.2,500,"sd","14:23:50",5247200
22.8,-0.2,1000,"sd","14:23:50",5246700
22.8,-0.2,2900,"sd","14:23:50",5245700
22.8,-0.2,500,"sd","14:23:01",5242800
22.85,-0.15,2600,"bu","14:22:08",5242300
22.85,-0.15,3000,"bu","14:22:03",5239700
22.8,-0.2,5000,"sd","14:20:59",5236700
22.85,-0.15,100,"bu","14:20:58",5231700
22.8,-0.2,800,"sd","14:20:27",5231600
22.85,-0.15,100,"bu","14:20:06",5230800
22.85,-0.15,400,"bu","14:20:06",5230700
22.85,-0.15,500,"bu","14:19:56",5230300
22.85,-0.15,3000,"bu","14:19:43",5229800
22.85,-0.15,500,"bu","14:19:34",5226800
22.85,-0.15,300,"bu","14:19:17",5226300
22.85,-0.15,15000,"sd","14:19:16",5226000
22.85,-0.15,10000,"sd","14:19:16",5211000
22.85,-0.15,20000,"sd","14:19:16",5201000
22.85,-0.15,300,"sd","14:19:16",5181000
22.9,-0.1,100,"bu","14:18:40",5180700
22.85,-0.15,500,"sd","14:18:36",5180600
22.85,-0.15,700,"sd","14:18:10",5180100
22.85,-0.15,200,"sd","14:17:56",5179400
22.85,-0.15,100,"sd","14:17:56",5179200
22.85,-0.15,900,"sd","14:17:42",5179100
22.85,-0.15,10000,"sd","14:17:28",5178200
22.9,-0.1,200,"bu","14:17:28",5168200
22.85,-0.15,40000,"sd","14:17:25",5168000
22.9,-0.1,200,"bu","14:17:17",5128000
22.85,-0.15,900,"sd","14:17:10",5127800
22.85,-0.15,79900,"sd","14:16:19",5126900
22.85,-0.15,20000,"sd","14:16:19",5047000
22.85,-0.15,100,"sd","14:16:19",5027000
22.9,-0.1,10000,"bu","14:15:13",5026900
22.9,-0.1,2000,"bu","14:15:00",5016900
22.9,-0.1,100,"bu","14:14:46",5014900
22.9,-0.1,1000,"bu","14:14:40",5014800
22.9,-0.1,10000,"bu","14:14:28",5013800
22.9,-0.1,100,"bu","14:14:22",5003800
22.9,-0.1,10000,"bu","14:14:12",5003700
22.85,-0.15,1500,"sd","14:14:07",4993700
22.85,-0.15,500,"sd","14:14:05",4992200
22.9,-0.1,500,"bu","14:14:00",4991700
22.9,-0.1,700,"bu","14:13:37",4991200
22.9,-0.1,400,"bu","14:13:31",4990500
22.9,-0.1,15000,"bu","14:13:27",4990100
22.8,-0.2,100,"sd","14:12:51",4975100
22.9,-0.1,2200,"bu","14:12:46",4975000
22.9,-0.1,2300,"bu","14:12:30",4972800
22.9,-0.1,200,"bu","14:12:18",4970500
22.9,-0.1,2300,"bu","14:12:12",4970300
22.9,-0.1,2200,"bu","14:12:00",4968000
22.9,-0.1,800,"bu","14:11:44",4965800
22.85,-0.15,1000,"bu","14:11:44",4965000
22.85,-0.15,300,"bu","14:11:44",4964000
22.85,-0.15,1000,"bu","14:10:50",4963700
22.85,-0.15,200,"bu","14:10:50",4962700
22.85,-0.15,1800,"bu","14:10:50",4962500
22.85,-0.15,5000,"bu","14:10:15",4960700
22.85,-0.15,100,"bu","14:10:11",4955700
22.85,-0.15,5000,"bu","14:09:47",4955600
22.85,-0.15,10000,"bu","14:09:08",4950600
22.85,-0.15,1000,"bu","14:08:53",4940600
22.85,-0.15,14400,"bu","14:08:41",4939600
22.8,-0.2,500,"sd","14:08:01",4925200
22.85,-0.15,100,"bu","14:07:56",4924700
22.8,-0.2,200,"sd","14:07:13",4924600
22.85,-0.15,1000,"sd","14:07:03",4924400
22.85,-0.15,1000,"sd","14:07:03",4923400
22.85,-0.15,500,"sd","14:07:03",4922400
22.85,-0.15,100,"sd","14:07:03",4921900
22.85,-0.15,1000,"sd","14:07:01",4921800
22.9,-0.1,10000,"bu","14:07:00",4920800
22.85,-0.15,1000,"sd","14:06:50",4910800
22.85,-0.15,6000,"sd","14:06:44",4909800
22.85,-0.15,1000,"sd","14:06:33",4903800
22.85,-0.15,900,"sd","14:06:22",4902800
22.9,-0.1,10000,"bu","14:05:45",4901900
22.9,-0.1,3000,"bu","14:05:39",4891900
22.9,-0.1,2000,"bu","14:05:23",4888900
22.9,-0.1,100,"bu","14:04:36",4886900
22.9,-0.1,500,"bu","14:04:36",4886800
22.9,-0.1,700,"bu","14:04:29",4886300
22.9,-0.1,1500,"bu","14:04:29",4885600
22.9,-0.1,1500,"bu","14:04:17",4884100
22.8,-0.2,200,"sd","14:04:15",4882600
22.9,-0.1,1800,"bu","14:04:11",4882400
22.85,-0.15,300,"bu","14:04:11",4880600
22.85,-0.15,900,"bu","14:04:11",4880300
22.85,-0.15,1500,"bu","14:04:11",4879400
22.85,-0.15,500,"bu","14:04:10",4877900
22.85,-0.15,2000,"bu","14:04:08",4877400
22.85,-0.15,3000,"bu","14:04:06",4875400
22.85,-0.15,1600,"bu","14:04:00",4872400
22.85,-0.15,600,"bu","14:04:00",4870800
22.85,-0.15,4500,"bu","14:03:58",4870200
22.85,-0.15,1000,"bu","14:03:51",4865700
