"price","change","match_qtty","side","time","total_vol"
3.66,0.04,500,"unknown","14:45:09",161300
3.67,0.05,500,"bu","14:28:31",160800
3.67,0.05,100,"bu","14:24:15",160300
3.66,0.04,100,"bu","14:24:15",160200
3.66,0.04,100,"bu","14:23:12",160100
3.64,0.02,600,"sd","14:22:39",160000
3.64,0.02,100,"sd","14:22:39",159400
3.66,0.04,100,"bu","14:22:31",159300
3.65,0.03,1000,"sd","14:22:30",159200
3.65,0.03,200,"sd","14:21:35",158200
3.65,0.03,100,"sd","14:21:35",158000
3.65,0.03,100,"sd","14:21:35",157900
3.65,0.03,300,"sd","14:21:35",157800
3.66,0.04,100,"bu","14:21:34",157500
3.66,0.04,200,"bu","14:21:32",157400
3.66,0.04,400,"sd","14:21:14",157200
3.66,0.04,300,"sd","14:20:53",156800
3.66,0.04,500,"sd","14:20:53",156500
3.66,0.04,200,"sd","14:20:53",156000
3.66,0.04,800,"sd","14:20:11",155800
3.67,0.05,200,"sd","14:20:11",155000
3.68,0.06,300,"bu","14:10:53",154800
3.67,0.05,800,"bu","14:08:14",154500
3.67,0.05,100,"bu","14:06:57",153700
3.66,0.04,1000,"sd","14:06:11",153600
3.67,0.05,100,"bu","14:05:30",152600
3.66,0.04,300,"bu","14:05:30",152500
3.66,0.04,200,"bu","14:04:51",152200
3.66,0.04,500,"sd","14:04:03",152000
3.66,0.04,100,"bu","14:02:43",151500
3.65,0.03,600,"sd","14:01:07",151400
3.66,0.04,100,"bu","14:00:34",150800
3.66,0.04,700,"sd","14:00:11",150700
3.66,0.04,700,"sd","14:00:11",150000
3.66,0.04,200,"sd","14:00:11",149300
3.66,0.04,200,"sd","14:00:11",149100
3.66,0.04,100,"sd","14:00:11",148900
3.67,0.05,500,"bu","13:54:09",148800
3.67,0.05,100,"bu","13:50:43",148300
3.67,0.05,200,"bu","13:48:26",148200
3.67,0.05,200,"bu","13:47:12",148000
3.67,0.05,100,"bu","13:43:11",147800
3.67,0.05,100,"sd","13:40:42",147700
3.67,0.05,100,"sd","13:40:30",147600
3.67,0.05,100,"sd","13:40:30",147500
3.67,0.05,900,"sd","13:37:53",147400
3.67,0.05,2100,"sd","13:37:53",146500
3.68,0.06,300,"bu","13:36:00",144400
3.68,0.06,500,"sd","13:34:51",144100
3.71,0.09,100,"bu","13:26:02",143600
3.7,0.08,1000,"bu","13:25:38",143500
3.71,0.09,200,"sd","13:23:02",142500
3.71,0.09,100,"bu","13:22:44",142300
3.71,0.09,100,"bu","13:17:50",142200
3.7,0.08,300,"sd","13:17:10",142100
3.7,0.08,400,"bu","13:17:02",141800
3.7,0.08,100,"bu","13:16:05",141400
3.69,0.07,100,"bu","13:16:05",141300
3.73,0.11,2700,"bu","13:00:06",141200
3.73,0.11,500,"bu","13:00:05",138500
3.73,0.11,400,"bu","13:00:05",138000
3.73,0.11,300,"bu","13:00:04",137600
3.72,0.1,100,"unknown","13:00:04",137300
