"price","change","match_qtty","side","time","total_vol"
6.25,0.02,97400,"unknown","14:45:01",2897800
6.31,0.08,600,"sd","14:29:54",2800400
6.35,0.12,200,"bu","14:29:51",2799800
6.35,0.12,100,"bu","14:29:46",2799600
6.35,0.12,1000,"bu","14:29:44",2799500
6.35,0.12,100,"bu","14:29:19",2798500
6.3,0.07,100,"bu","14:29:01",2798400
6.3,0.07,700,"bu","14:29:01",2798300
6.3,0.07,2500,"bu","14:29:01",2797600
6.3,0.07,800,"bu","14:29:01",2795100
6.3,0.07,300,"bu","14:29:01",2794300
6.3,0.07,700,"bu","14:28:58",2794000
6.3,0.07,300,"bu","14:28:58",2793300
6.3,0.07,300,"bu","14:28:50",2793000
6.3,0.07,3300,"bu","14:28:46",2792700
6.3,0.07,300,"bu","14:28:46",2789400
6.3,0.07,2100,"bu","14:28:46",2789100
6.29,0.06,500,"sd","14:28:43",2787000
6.29,0.06,100,"sd","14:28:25",2786500
6.29,0.06,1700,"sd","14:27:46",2786400
6.28,0.05,100,"sd","14:27:35",2784700
6.28,0.05,1000,"sd","14:27:32",2784600
6.29,0.06,6800,"sd","14:27:26",2783600
6.3,0.07,800,"bu","14:27:08",2776800
6.29,0.06,8000,"sd","14:27:03",2776000
6.3,0.07,9300,"bu","14:26:57",2768000
6.3,0.07,4800,"sd","14:26:51",2758700
6.3,0.07,100,"sd","14:26:50",2753900
6.3,0.07,500,"bu","14:26:47",2753800
6.3,0.07,4600,"bu","14:26:47",2753300
6.29,0.06,1700,"sd","14:26:46",2748700
6.29,0.06,3300,"sd","14:26:46",2747000
6.29,0.06,100,"sd","14:26:43",2743700
6.29,0.06,1000,"sd","14:26:29",2743600
6.3,0.07,100,"bu","14:26:17",2742600
6.29,0.06,3000,"sd","14:26:12",2742500
6.29,0.06,700,"sd","14:26:09",2739500
6.3,0.07,15000,"bu","14:26:06",2738800
6.3,0.07,300,"sd","14:25:34",2723800
6.3,0.07,200,"sd","14:25:21",2723500
6.3,0.07,10000,"sd","14:25:21",2723300
6.3,0.07,2200,"sd","14:25:21",2713300
6.3,0.07,100,"sd","14:25:21",2711100
6.3,0.07,17500,"sd","14:25:21",2711000
6.3,0.07,5000,"sd","14:25:19",2693500
6.3,0.07,12500,"sd","14:25:17",2688500
6.3,0.07,22500,"sd","14:25:17",2676000
6.3,0.07,500,"sd","14:24:48",2653500
6.3,0.07,300,"sd","14:24:46",2653000
6.3,0.07,800,"sd","14:24:28",2652700
6.3,0.07,200,"sd","14:24:28",2651900
