"price","change","match_qtty","side","time","total_vol"
62.3,-0.2,20500,"bu","14:45:02",843800
62.2,-0.3,500,"bu","14:28:23",823300
62.2,-0.3,2500,"bu","14:28:23",822800
62.2,-0.3,300,"bu","14:17:32",820300
62.2,-0.3,1000,"bu","14:13:17",820000
62.2,-0.3,500,"bu","14:12:44",819000
62.2,-0.3,400,"bu","14:12:22",818500
62.2,-0.3,100,"bu","14:12:14",818100
62.2,-0.3,1400,"bu","14:12:14",818000
62.2,-0.3,800,"bu","14:12:05",816600
62.2,-0.3,600,"bu","14:12:05",815800
62.2,-0.3,600,"bu","14:11:32",815200
62.2,-0.3,300,"bu","14:11:32",814600
62.2,-0.3,200,"sd","14:10:47",814300
62.2,-0.3,900,"bu","14:10:28",814100
62.1,-0.4,400,"bu","14:10:28",813200
62.1,-0.4,500,"bu","14:10:28",812800
62.1,-0.4,500,"bu","14:08:28",812300
62.1,-0.4,600,"bu","14:08:05",811800
62.1,-0.4,1100,"bu","14:07:32",811200
62.1,-0.4,200,"bu","14:07:01",810100
62.1,-0.4,400,"bu","14:07:01",809900
62.1,-0.4,400,"bu","14:06:31",809500
62.1,-0.4,1000,"bu","14:05:58",809100
62.1,-0.4,900,"bu","14:05:12",808100
62.1,-0.4,400,"bu","14:04:58",807200
62.1,-0.4,400,"bu","14:04:58",806800
62.1,-0.4,500,"bu","14:03:56",806400
62.1,-0.4,700,"bu","14:03:28",805900
62.1,-0.4,100,"bu","14:03:28",805200
62.1,-0.4,1600,"bu","14:03:28",805100
62.1,-0.4,700,"bu","14:03:02",803500
62.1,-0.4,500,"bu","14:02:23",802800
62.1,-0.4,1000,"bu","14:02:18",802300
62.1,-0.4,200,"bu","14:02:18",801300
62.1,-0.4,400,"bu","14:02:14",801100
62.1,-0.4,1000,"bu","14:02:06",800700
62.1,-0.4,500,"bu","14:02:02",799700
62.1,-0.4,1200,"bu","14:01:44",799200
62.1,-0.4,500,"bu","14:01:40",798000
62.1,-0.4,1600,"bu","14:01:36",797500
62.1,-0.4,1800,"bu","14:01:36",795900
62.1,-0.4,1700,"bu","14:01:20",794100
62.1,-0.4,1100,"bu","14:01:20",792400
62.1,-0.4,400,"bu","14:00:54",791300
62.1,-0.4,500,"bu","14:00:51",790900
62.1,-0.4,1300,"bu","14:00:46",790400
62.1,-0.4,1800,"bu","14:00:42",789100
62.1,-0.4,900,"bu","14:00:42",787300
62.1,-0.4,1200,"bu","14:00:13",786400
62.1,-0.4,2000,"bu","14:00:08",785200
62.1,-0.4,1800,"bu","14:00:08",783200
62.1,-0.4,2100,"bu","13:59:50",781400
62.1,-0.4,400,"bu","13:59:50",779300
62.1,-0.4,5000,"bu","13:59:33",778900
