"price","change","match_qtty","side","time","total_vol"
13.85,-0.45,22000,"unknown","14:45:00",90800
13.9,-0.4,2200,"bu","14:28:28",68800
13.85,-0.45,2800,"sd","14:27:56",66600
13.85,-0.45,3000,"sd","14:27:31",63800
13.85,-0.45,2000,"sd","14:27:31",60800
13.9,-0.4,1000,"bu","14:26:05",58800
13.9,-0.4,100,"bu","14:25:55",57800
13.9,-0.4,3200,"bu","14:24:57",57700
13.9,-0.4,400,"bu","14:24:17",54500
13.9,-0.4,800,"bu","14:24:06",54100
13.9,-0.4,100,"bu","14:23:53",53300
13.9,-0.4,2100,"bu","14:23:21",53200
13.9,-0.4,500,"bu","14:22:33",51100
13.9,-0.4,1000,"bu","14:22:26",50600
13.9,-0.4,1000,"bu","14:22:26",49600
13.9,-0.4,200,"bu","14:22:26",48600
13.9,-0.4,2000,"bu","14:22:26",48400
13.9,-0.4,100,"unknown","14:22:26",46400
13.95,-0.35,200,"sd","14:22:26",46300
13.95,-0.35,100,"sd","14:22:26",46100
14,-0.3,100,"sd","14:20:28",46000
14.05,-0.25,100,"sd","14:20:28",45900
14.1,-0.2,1000,"bu","14:05:13",45800
13.9,-0.4,100,"bu","14:03:07",44800
13.9,-0.4,100,"bu","14:02:55",44700
13.9,-0.4,100,"bu","14:02:34",44600
13.9,-0.4,1000,"sd","14:02:32",44500
13.9,-0.4,1000,"sd","14:02:32",43500
13.9,-0.4,500,"sd","14:02:32",42500
13.9,-0.4,100,"sd","14:02:32",42000
13.9,-0.4,200,"sd","14:02:32",41900
13.9,-0.4,4800,"sd","13:57:47",41700
13.9,-0.4,1000,"sd","13:57:47",36900
13.95,-0.35,600,"unknown","13:57:47",35900
13.95,-0.35,500,"unknown","13:57:47",35300
13.95,-0.35,1000,"unknown","13:57:47",34800
13.95,-0.35,100,"unknown","13:57:47",33800
13.95,-0.35,100,"sd","13:57:47",33700
14,-0.3,1000,"sd","13:57:47",33600
14,-0.3,900,"sd","13:57:47",32600
14,-0.3,800,"bu","13:50:15",31700
14,-0.3,200,"bu","13:49:54",30900
14,-0.3,100,"bu","13:49:00",30700
14,-0.3,1000,"bu","13:46:34",30600
14,-0.3,1000,"bu","13:46:23",29600
14,-0.3,1900,"bu","13:44:31",28600
14,-0.3,100,"bu","13:44:31",26700
14,-0.3,100,"bu","13:44:15",26600
14,-0.3,400,"bu","13:43:01",26500
14,-0.3,500,"bu","13:41:33",26100
14,-0.3,800,"bu","13:37:10",25600
14,-0.3,500,"bu","13:36:26",24800
14,-0.3,700,"bu","13:32:44",24300
14,-0.3,100,"sd","13:29:39",23600
14,-0.3,1800,"sd","13:29:39",23500
14,-0.3,5300,"sd","13:29:04",21700
14,-0.3,2000,"sd","13:29:04",16400
14,-0.3,400,"sd","13:29:04",14400
14,-0.3,200,"sd","13:29:04",14000
14,-0.3,200,"sd","13:29:04",13800
14.05,-0.25,500,"sd","13:29:04",13600
14.05,-0.25,300,"sd","13:29:04",13100
14.05,-0.25,200,"bu","13:24:50",12800
14.05,-0.25,100,"bu","13:22:31",12600
14.1,-0.2,200,"sd","13:19:56",12500
14.1,-0.2,400,"sd","13:19:56",12300
14.1,-0.2,100,"bu","13:18:49",11900
14.1,-0.2,1200,"bu","13:16:39",11800
14.1,-0.2,300,"bu","13:15:57",10600
14.1,-0.2,400,"sd","13:11:58",10300
14.1,-0.2,500,"bu","13:05:47",9900
14.15,-0.15,1500,"bu","11:17:27",9400
14.2,-0.1,100,"bu","10:39:46",7900
14.2,-0.1,500,"bu","10:39:23",7800
14.2,-0.1,200,"bu","10:38:52",7300
14.2,-0.1,2000,"bu","10:38:52",7100
14.2,-0.1,1000,"bu","10:38:52",5100
14.2,-0.1,1800,"bu","10:38:52",4100
14.2,-0.1,100,"bu","10:21:57",2300
14.15,-0.15,900,"unknown","10:17:09",2200
14.15,-0.15,100,"bu","10:16:18",1300
14.2,-0.1,1000,"bu","09:49:13",1200
14.2,-0.1,100,"bu","09:18:51",200
13.85,-0.45,100,"sd","09:18:46",100
