"price","change","match_qtty","side","time","total_vol"
16.15,0.65,3600,"sd","14:45:04",336300
16.15,0.65,900,"bu","14:29:49",332700
16.15,0.65,100,"bu","14:28:18",331800
16.1,0.6,300,"sd","14:27:24",331700
16.1,0.6,400,"sd","14:26:57",331400
16.1,0.6,700,"sd","14:26:39",331000
16.1,0.6,500,"unknown","14:26:18",330300
16.1,0.6,1000,"unknown","14:26:18",329800
16.1,0.6,300,"bu","14:25:48",328800
16.1,0.6,100,"bu","14:24:21",328500
16.1,0.6,100,"bu","14:23:10",328400
16.1,0.6,1000,"bu","14:23:06",328300
16.1,0.6,2000,"bu","14:21:22",327300
16.1,0.6,500,"bu","14:21:16",325300
16.1,0.6,300,"sd","14:20:51",324800
16.1,0.6,200,"sd","14:20:51",324500
16.1,0.6,400,"sd","14:20:51",324300
16.1,0.6,100,"sd","14:20:51",323900
16.2,0.7,100,"bu","14:17:36",323800
16.2,0.7,100,"bu","14:17:36",323700
16.15,0.65,100,"bu","14:16:50",323600
16.15,0.65,100,"bu","14:16:27",323500
16.15,0.65,100,"bu","14:16:27",323400
16.15,0.65,500,"bu","14:14:06",323300
16.15,0.65,1000,"unknown","14:10:43",322800
16.15,0.65,100,"unknown","14:10:43",321800
16.15,0.65,200,"unknown","14:10:43",321700
16.1,0.6,1900,"sd","14:09:10",321500
16.1,0.6,300,"sd","14:09:10",319600
16.1,0.6,300,"sd","14:09:10",319300
16.1,0.6,100,"sd","14:09:10",319000
16.1,0.6,400,"sd","14:09:10",318900
16.1,0.6,500,"bu","14:01:51",318500
16.15,0.65,2200,"sd","13:59:53",318000
16.15,0.65,200,"sd","13:59:40",315800
16.15,0.65,700,"bu","13:56:44",315600
16.15,0.65,1000,"bu","13:56:44",314900
16.15,0.65,500,"bu","13:56:44",313900
16.15,0.65,100,"bu","13:56:44",313400
16.15,0.65,1000,"bu","13:56:44",313300
16.15,0.65,1000,"bu","13:56:44",312300
16.15,0.65,200,"bu","13:56:44",311300
16.1,0.6,100,"bu","13:56:44",311100
16.1,0.6,1000,"bu","13:56:20",311000
16.1,0.6,500,"bu","13:56:20",310000
16.1,0.6,3500,"bu","13:56:20",309500
16.05,0.55,300,"unknown","13:53:36",306000
16.05,0.55,1000,"bu","13:53:24",305700
16.05,0.55,600,"sd","13:52:38",304700
16.1,0.6,1500,"bu","13:51:46",304100
16.1,0.6,300,"bu","13:51:46",302600
16.1,0.6,100,"bu","13:51:46",302300
16.1,0.6,300,"bu","13:51:46",302200
16.1,0.6,700,"bu","13:51:46",301900
16.1,0.6,100,"bu","13:51:46",301200
16.1,0.6,1000,"bu","13:51:05",301100
16.05,0.55,1400,"bu","13:48:38",300100
16.05,0.55,100,"bu","13:48:33",298700
16.05,0.55,500,"bu","13:48:26",298600
16.05,0.55,1600,"unknown","13:47:06",298100
16,0.5,400,"bu","13:46:34",296500
16,0.5,8300,"bu","13:46:34",296100
16,0.5,1000,"sd","13:46:22",287800
16,0.5,500,"sd","13:46:22",286800
16,0.5,5000,"sd","13:46:22",286300
16,0.5,1600,"sd","13:46:22",281300
16,0.5,3400,"bu","13:46:00",279700
15.95,0.45,700,"bu","13:45:56",276300
15.95,0.45,600,"sd","13:45:55",275600
15.95,0.45,700,"sd","13:45:55",275000
16,0.5,500,"bu","13:45:52",274300
16,0.5,18400,"bu","13:45:30",273800
15.95,0.45,1600,"bu","13:45:30",255400
15.95,0.45,200,"sd","13:45:27",253800
15.95,0.45,200,"sd","13:45:27",253600
16,0.5,400,"bu","13:45:00",253400
16,0.5,1600,"bu","13:44:53",253000
16,0.5,2000,"sd","13:44:13",251400
16,0.5,2000,"sd","13:44:13",249400
16,0.5,200,"sd","13:44:13",247400
16,0.5,500,"sd","13:44:13",247200
16,0.5,1000,"sd","13:44:13",246700
16,0.5,3000,"bu","13:41:56",245700
16,0.5,1000,"bu","13:41:42",242700
16,0.5,1000,"sd","13:41:10",241700
16.1,0.6,200,"bu","13:41:06",240700
16.1,0.6,100,"bu","13:41:06",240500
16.1,0.6,500,"bu","13:41:06",240400
16.05,0.55,100,"unknown","13:41:06",239900
16.05,0.55,1000,"unknown","13:41:06",239800
16.05,0.55,400,"unknown","13:41:06",238800
16,0.5,900,"unknown","13:41:06",238400
16,0.5,100,"bu","13:36:55",237500
16,0.5,500,"bu","13:35:45",237400
16,0.5,100,"bu","13:35:45",236900
16,0.5,1300,"bu","13:35:45",236800
16,0.5,300,"bu","13:27:36",235500
15.9,0.4,3300,"sd","13:27:36",235200
15.9,0.4,200,"sd","13:27:36",231900
16,0.5,300,"bu","13:26:20",231700
16,0.5,1000,"bu","13:23:03",231400
16,0.5,100,"bu","13:20:14",230400
16,0.5,1000,"bu","13:19:27",230300
16,0.5,500,"bu","13:19:27",229300
16,0.5,100,"bu","13:18:38",228800
