"price","change","match_qtty","side","time","total_vol"
15.85,0.15,258200,"unknown","14:45:02",8350100
15.75,0.05,100,"bu","14:29:59",8091900
15.75,0.05,800,"bu","14:29:57",8091800
15.75,0.05,5000,"bu","14:29:56",8091000
15.75,0.05,2500,"bu","14:29:50",8086000
15.75,0.05,100,"bu","14:29:49",8083500
15.75,0.05,3100,"bu","14:29:48",8083400
15.75,0.05,400,"sd","14:29:47",8080300
15.75,0.05,900,"sd","14:29:47",8079900
15.75,0.05,100,"sd","14:29:44",8079000
15.75,0.05,100,"sd","14:29:44",8078900
15.75,0.05,10000,"sd","14:29:40",8078800
15.75,0.05,4000,"sd","14:29:38",8068800
15.75,0.05,1300,"bu","14:29:31",8064800
15.75,0.05,200,"bu","14:29:30",8063500
15.75,0.05,500,"sd","14:29:28",8063300
15.75,0.05,1000,"sd","14:29:28",8062800
15.75,0.05,600,"bu","14:29:25",8061800
15.75,0.05,100,"sd","14:29:24",8061200
15.75,0.05,800,"sd","14:29:24",8061100
15.75,0.05,2000,"sd","14:29:24",8060300
15.75,0.05,500,"sd","14:29:24",8058300
15.8,0.1,3800,"bu","14:29:24",8057800
15.8,0.1,100,"bu","14:29:24",8054000
15.8,0.1,100,"bu","14:29:24",8053900
15.8,0.1,100,"bu","14:29:24",8053800
15.75,0.05,100,"sd","14:29:23",8053700
15.75,0.05,200,"sd","14:29:23",8053600
15.75,0.05,300,"sd","14:29:23",8053400
15.8,0.1,400,"bu","14:29:21",8053100
15.8,0.1,1500,"bu","14:29:21",8052700
15.8,0.1,400,"bu","14:29:21",8051200
15.75,0.05,500,"sd","14:29:20",8050800
15.8,0.1,500,"bu","14:29:15",8050300
15.8,0.1,3600,"bu","14:29:15",8049800
15.8,0.1,4600,"bu","14:29:15",8046200
15.8,0.1,600,"bu","14:29:15",8041600
15.8,0.1,2000,"bu","14:29:15",8041000
15.8,0.1,1000,"bu","14:29:15",8039000
15.8,0.1,100,"bu","14:29:15",8038000
15.75,0.05,1000,"sd","14:29:14",8037900
15.75,0.05,1600,"sd","14:29:11",8036900
15.75,0.05,700,"sd","14:29:11",8035300
15.75,0.05,700,"sd","14:29:09",8034600
15.75,0.05,300,"sd","14:29:09",8033900
15.75,0.05,4700,"sd","14:29:06",8033600
15.75,0.05,300,"sd","14:29:06",8028900
15.75,0.05,700,"bu","14:29:01",8028600
15.7,0,1000,"sd","14:29:01",8027900
15.7,0,1000,"sd","14:29:01",8026900
15.75,0.05,1200,"bu","14:29:00",8025900
15.75,0.05,3000,"bu","14:28:59",8024700
15.75,0.05,500,"bu","14:28:59",8021700
15.75,0.05,200,"bu","14:28:57",8021200
15.75,0.05,2000,"bu","14:28:56",8021000
15.75,0.05,800,"bu","14:28:52",8019000
15.75,0.05,300,"bu","14:28:52",8018200
15.75,0.05,18000,"bu","14:28:52",8017900
15.75,0.05,800,"unknown","14:28:52",7999900
15.75,0.05,100,"sd","14:28:52",7999100
15.75,0.05,600,"sd","14:28:52",7999000
15.75,0.05,200,"sd","14:28:52",7998400
15.75,0.05,2000,"sd","14:28:52",7998200
15.75,0.05,200,"sd","14:28:52",7996200
15.75,0.05,22600,"sd","14:28:52",7996000
15.75,0.05,800,"sd","14:28:52",7973400
15.75,0.05,5000,"sd","14:28:52",7972600
15.75,0.05,1000,"sd","14:28:52",7967600
15.8,0.1,200,"bu","14:28:40",7966600
15.8,0.1,100,"bu","14:28:38",7966400
15.75,0.05,7400,"sd","14:28:36",7966300
15.75,0.05,300,"sd","14:28:36",7958900
15.75,0.05,2300,"sd","14:28:36",7958600
15.75,0.05,2000,"sd","14:28:35",7956300
15.75,0.05,500,"sd","14:28:30",7954300
15.8,0.1,1000,"bu","14:28:28",7953800
15.75,0.05,200,"sd","14:28:27",7952800
15.75,0.05,500,"sd","14:28:27",7952600
15.75,0.05,100,"sd","14:28:27",7952100
15.75,0.05,300,"sd","14:28:27",7952000
15.75,0.05,1000,"sd","14:28:27",7951700
15.75,0.05,400,"sd","14:28:27",7950700
15.8,0.1,100,"bu","14:28:19",7950300
15.8,0.1,1900,"bu","14:28:19",7950200
15.8,0.1,1000,"bu","14:28:19",7948300
15.8,0.1,2000,"bu","14:28:19",7947300
15.8,0.1,4000,"bu","14:28:18",7945300
15.8,0.1,6000,"bu","14:28:18",7941300
15.8,0.1,1000,"bu","14:28:16",7935300
15.8,0.1,500,"bu","14:28:10",7934300
15.8,0.1,100,"bu","14:28:05",7933800
15.8,0.1,7000,"bu","14:28:02",7933700
15.75,0.05,100,"sd","14:28:01",7926700
15.8,0.1,100,"bu","14:28:01",7926600
15.75,0.05,300,"sd","14:27:57",7926500
15.75,0.05,500,"sd","14:27:57",7926200
15.75,0.05,200,"sd","14:27:57",7925700
15.75,0.05,200,"sd","14:27:57",7925500
15.75,0.05,100,"sd","14:27:57",7925300
15.75,0.05,600,"sd","14:27:57",7925200
15.75,0.05,1100,"sd","14:27:57",7924600
15.8,0.1,200,"bu","14:27:55",7923500
15.8,0.1,700,"bu","14:27:54",7923300
15.8,0.1,500,"bu","14:27:50",7922600
15.75,0.05,300,"sd","14:27:47",7922100
15.8,0.1,600,"bu","14:27:42",7921800
15.75,0.05,200,"sd","14:27:41",7921200
15.75,0.05,1400,"sd","14:27:37",7921000
15.75,0.05,200,"sd","14:27:37",7919600
15.75,0.05,7500,"sd","14:27:37",7919400
15.75,0.05,900,"sd","14:27:37",7911900
15.75,0.05,1100,"sd","14:27:34",7911000
15.8,0.1,600,"bu","14:27:30",7909900
15.8,0.1,3000,"sd","14:27:29",7909300
15.8,0.1,500,"sd","14:27:29",7906300
15.8,0.1,1000,"sd","14:27:29",7905800
15.8,0.1,100,"sd","14:27:29",7904800
15.8,0.1,100,"sd","14:27:29",7904700
