"price","change","match_qtty","side","time","total_vol"
4.6,-0.15,285600,"unknown","14:45:04",12494600
4.59,-0.16,3000,"bu","14:29:59",12209000
4.59,-0.16,100,"bu","14:29:58",12206000
4.59,-0.16,500,"bu","14:29:58",12205900
4.59,-0.16,1800,"bu","14:29:58",12205400
4.58,-0.17,3600,"sd","14:29:57",12203600
4.58,-0.17,500,"sd","14:29:57",12200000
4.58,-0.17,500,"sd","14:29:57",12199500
4.58,-0.17,300,"sd","14:29:57",12199000
4.58,-0.17,1000,"sd","14:29:57",12198700
4.58,-0.17,1000,"sd","14:29:57",12197700
4.58,-0.17,100,"sd","14:29:57",12196700
4.58,-0.17,6000,"sd","14:29:57",12196600
4.58,-0.17,2000,"sd","14:29:57",12190600
4.58,-0.17,1000,"sd","14:29:57",12188600
4.58,-0.17,5000,"sd","14:29:57",12187600
4.58,-0.17,200,"sd","14:29:57",12182600
4.58,-0.17,2000,"sd","14:29:57",12182400
4.59,-0.16,1900,"sd","14:29:56",12180400
4.59,-0.16,500,"sd","14:29:56",12178500
4.59,-0.16,100,"sd","14:29:56",12178000
4.59,-0.16,4200,"sd","14:29:56",12177900
4.59,-0.16,17200,"sd","14:29:54",12173700
4.59,-0.16,100,"sd","14:29:54",12156500
4.59,-0.16,500,"sd","14:29:54",12156400
4.59,-0.16,200,"sd","14:29:54",12155900
4.59,-0.16,2000,"sd","14:29:54",12155700
4.6,-0.15,100,"bu","14:29:54",12153700
4.6,-0.15,2000,"bu","14:29:52",12153600
4.6,-0.15,500,"bu","14:29:50",12151600
4.6,-0.15,700,"bu","14:29:50",12151100
4.6,-0.15,100,"bu","14:29:47",12150400
4.6,-0.15,100,"bu","14:29:44",12150300
4.6,-0.15,100,"bu","14:29:40",12150200
4.6,-0.15,500,"sd","14:29:35",12150100
4.6,-0.15,10000,"sd","14:29:35",12149600
4.6,-0.15,1000,"sd","14:29:35",12139600
4.6,-0.15,200,"sd","14:29:35",12138600
4.6,-0.15,20000,"bu","14:29:20",12138400
4.59,-0.16,3000,"bu","14:29:19",12118400
4.59,-0.16,2000,"sd","14:29:18",12115400
4.59,-0.16,500,"sd","14:29:18",12113400
4.59,-0.16,400,"sd","14:29:18",12112900
4.59,-0.16,4100,"sd","14:29:18",12112500
