"price","change","match_qtty","side","time","total_vol"
5.3,0,500,"sd","14:56:18",72100
5.3,0,1500,"sd","14:54:24",71600
5.3,0,100,"bu","14:54:14",70100
5.3,0,100,"bu","14:53:19",70000
5.3,0,100,"bu","14:53:00",69900
5.3,0,400,"bu","14:50:33",69800
5.3,0,2500,"sd","14:34:12",69400
5.3,0,100,"sd","14:32:27",66900
5.3,0,2000,"sd","14:27:06",66800
5.3,0,400,"sd","14:22:22",64800
5.3,0,100,"sd","14:16:20",64400
5.3,0,3500,"sd","14:14:48",64300
5.3,0,100,"sd","14:12:19",60800
5.3,0,400,"sd","14:10:26",60700
5.3,0,900,"sd","14:08:40",60300
5.3,0,1000,"sd","14:04:05",59400
5.3,0,3000,"sd","14:01:20",58400
5.3,0,3600,"sd","13:44:12",55400
5.3,0,3000,"sd","13:43:31",51800
5.3,0,100,"sd","13:41:47",48800
5.3,0,2000,"sd","13:39:15",48700
5.3,0,100,"sd","13:37:52",46700
5.3,0,300,"sd","13:24:42",46600
5.3,0,900,"sd","13:22:05",46300
5.3,0,2000,"sd","13:19:08",45400
5.3,0,500,"sd","13:11:41",43400
5.3,0,1000,"sd","13:11:25",42900
5.3,0,1000,"sd","13:11:01",41900
5.3,0,800,"sd","13:10:56",40900
5.3,0,2000,"sd","13:05:57",40100
5.3,0,1000,"sd","13:03:14",38100
5.3,0,1000,"sd","13:00:05",37100
5.4,0.1,2000,"bu","13:00:03",36100
5.3,0,200,"sd","13:00:02",34100
5.4,0.1,500,"bu","11:16:42",33900
5.4,0.1,13500,"bu","11:08:42",33400
5.3,0,1500,"sd","11:03:01",19900
5.4,0.1,4000,"bu","10:58:39",18400
5.3,0,1900,"sd","10:47:54",14400
5.3,0,500,"sd","10:46:19",12500
5.3,0,100,"sd","10:44:23",12000
5.3,0,1000,"sd","10:25:50",11900
5.3,0,1000,"sd","10:20:43",10900
5.3,0,500,"sd","10:14:58",9900
5.3,0,1000,"sd","10:13:25",9400
5.3,0,100,"sd","09:46:25",8400
5.3,0,200,"sd","09:40:52",8300
5.3,0,500,"sd","09:35:49",8100
5.4,0.1,4000,"bu","09:18:31",7600
5.3,0,100,"unknown","09:14:38",3600
5.3,0,500,"unknown","09:12:32",3500
5.3,0,2200,"unknown","09:05:08",3000
5.3,0,800,"bu","09:04:40",800
