"price","change","match_qtty","side","time","total_vol"
31.8,0.45,44400,"unknown","14:45:02",650700
31.65,0.3,300,"bu","14:29:49",606300
31.65,0.3,1000,"bu","14:29:47",606000
31.65,0.3,500,"bu","14:29:11",605000
31.65,0.3,400,"sd","14:28:53",604500
31.65,0.3,600,"bu","14:28:47",604100
31.6,0.25,300,"sd","14:28:42",603500
31.6,0.25,2000,"sd","14:28:36",603200
31.6,0.25,100,"sd","14:28:36",601200
31.6,0.25,100,"sd","14:28:36",601100
31.6,0.25,400,"sd","14:28:36",601000
31.6,0.25,400,"sd","14:28:36",600600
31.6,0.25,100,"sd","14:28:36",600200
31.6,0.25,1800,"sd","14:28:36",600100
31.65,0.3,200,"sd","14:28:28",598300
31.65,0.3,2000,"sd","14:28:25",598100
31.65,0.3,500,"sd","14:28:25",596100
31.65,0.3,100,"sd","14:28:25",595600
31.65,0.3,400,"sd","14:28:25",595500
31.7,0.35,500,"bu","14:27:44",595100
31.65,0.3,600,"bu","14:27:13",594600
31.6,0.25,200,"sd","14:26:51",594000
31.6,0.25,100,"sd","14:26:51",593800
31.6,0.25,1000,"sd","14:26:51",593700
31.6,0.25,100,"sd","14:26:51",592700
31.6,0.25,100,"sd","14:26:51",592600
31.6,0.25,500,"sd","14:26:51",592500
31.65,0.3,400,"bu","14:26:45",592000
31.7,0.35,1000,"bu","14:26:22",591600
31.65,0.3,200,"sd","14:26:16",590600
31.7,0.35,200,"bu","14:25:55",590400
31.7,0.35,1100,"sd","14:25:49",590200
31.7,0.35,400,"sd","14:25:49",589100
31.7,0.35,100,"sd","14:25:46",588700
31.7,0.35,900,"sd","14:25:46",588600
31.7,0.35,1000,"bu","14:25:37",587700
31.7,0.35,200,"bu","14:25:29",586700
31.7,0.35,200,"bu","14:25:29",586500
31.7,0.35,300,"bu","14:24:45",586300
31.7,0.35,100,"bu","14:24:35",586000
31.7,0.35,100,"bu","14:24:35",585900
31.65,0.3,200,"sd","14:24:28",585800
31.65,0.3,400,"sd","14:24:28",585600
31.7,0.35,400,"bu","14:23:13",585200
31.7,0.35,200,"bu","14:23:11",584800
31.65,0.3,100,"sd","14:22:56",584600
31.65,0.3,500,"sd","14:22:53",584500
31.7,0.35,100,"bu","14:22:51",584000
31.65,0.3,100,"sd","14:22:43",583900
31.65,0.3,200,"sd","14:22:43",583800
31.7,0.35,200,"bu","14:21:48",583600
31.7,0.35,1000,"bu","14:21:48",583400
31.7,0.35,1000,"sd","14:21:47",582400
31.7,0.35,600,"sd","14:21:47",581400
31.7,0.35,200,"sd","14:21:45",580800
31.7,0.35,200,"bu","14:21:38",580600
31.7,0.35,200,"bu","14:21:37",580400
31.7,0.35,9800,"bu","14:21:33",580200
31.7,0.35,2200,"bu","14:21:33",570400
31.7,0.35,200,"bu","14:21:10",568200
31.65,0.3,300,"sd","14:21:02",568000
31.7,0.35,500,"bu","14:20:58",567700
31.7,0.35,100,"sd","14:20:37",567200
31.8,0.45,900,"bu","14:20:07",567100
31.8,0.45,200,"bu","14:20:03",566200
31.7,0.35,100,"sd","14:19:40",566000
31.7,0.35,100,"sd","14:19:40",565900
31.7,0.35,500,"sd","14:19:40",565800
31.7,0.35,200,"sd","14:19:40",565300
31.7,0.35,300,"sd","14:19:40",565100
31.7,0.35,1800,"sd","14:19:40",564800
31.7,0.35,200,"sd","14:19:32",563000
31.75,0.4,100,"bu","14:19:24",562800
31.75,0.4,200,"sd","14:19:19",562700
31.75,0.4,300,"sd","14:19:14",562500
31.75,0.4,200,"sd","14:18:58",562200
31.8,0.45,400,"bu","14:18:43",562000
31.8,0.45,100,"sd","14:18:39",561600
31.85,0.5,200,"bu","14:18:28",561500
31.85,0.5,200,"bu","14:17:39",561300
31.8,0.45,900,"sd","14:17:36",561100
31.8,0.45,100,"sd","14:17:36",560200
31.85,0.5,100,"sd","14:17:33",560100
31.9,0.55,100,"bu","14:17:06",560000
31.9,0.55,900,"bu","14:17:06",559900
31.85,0.5,100,"bu","14:16:54",559000
31.85,0.5,400,"bu","14:16:28",558900
31.8,0.45,100,"bu","14:16:28",558500
31.8,0.45,4900,"bu","14:16:21",558400
31.8,0.45,5000,"bu","14:16:21",553500
31.8,0.45,100,"bu","14:16:21",548500
31.8,0.45,100,"bu","14:15:56",548400
31.8,0.45,100,"bu","14:15:52",548300
31.75,0.4,300,"sd","14:15:51",548200
31.75,0.4,100,"sd","14:15:51",547900
31.8,0.45,200,"bu","14:15:20",547800
31.8,0.45,200,"bu","14:14:48",547600
31.8,0.45,200,"bu","14:14:13",547400
31.8,0.45,400,"bu","14:14:12",547200
31.7,0.35,200,"sd","14:14:03",546800
31.8,0.45,200,"bu","14:13:46",546600
31.8,0.45,2000,"sd","14:13:42",546400
31.8,0.45,100,"sd","14:13:42",544400
31.8,0.45,100,"sd","14:13:42",544300
31.8,0.45,100,"sd","14:13:42",544200
31.8,0.45,1300,"sd","14:13:42",544100
31.9,0.55,100,"bu","14:12:27",542800
31.8,0.45,300,"sd","14:12:14",542700
31.9,0.55,200,"bu","14:12:11",542400
31.9,0.55,500,"bu","14:11:57",542200
31.9,0.55,200,"bu","14:10:40",541700
31.9,0.55,100,"bu","14:10:37",541500
31.9,0.55,100,"bu","14:10:37",541400
31.8,0.45,300,"sd","14:10:28",541300
31.8,0.45,100,"sd","14:10:21",541000
31.8,0.45,500,"sd","14:10:21",540900
31.8,0.45,400,"sd","14:10:21",540400
31.9,0.55,400,"bu","14:09:42",540000
31.8,0.45,600,"bu","14:09:21",539600
31.8,0.45,100,"bu","14:09:14",539000
31.8,0.45,200,"bu","14:09:03",538900
31.8,0.45,100,"sd","14:08:58",538700
31.8,0.45,100,"bu","14:08:56",538600
31.7,0.35,400,"sd","14:08:52",538500
31.7,0.35,300,"sd","14:08:45",538100
31.7,0.35,500,"sd","14:08:35",537800
31.8,0.45,2700,"bu","14:08:34",537300
31.8,0.45,1000,"bu","14:08:34",534600
31.8,0.45,6300,"bu","14:08:34",533600
31.75,0.4,1000,"sd","14:08:30",527300
31.7,0.35,5500,"sd","14:07:58",526300
31.7,0.35,1000,"sd","14:07:58",520800
31.7,0.35,200,"sd","14:07:58",519800
31.7,0.35,100,"sd","14:07:58",519600
31.7,0.35,100,"sd","14:07:58",519500
31.7,0.35,100,"sd","14:07:58",519400
