"price","change","match_qtty","side","time","total_vol"
4.1,0.01,400,"sd","14:45:02",44000
4.13,0.04,1400,"bu","14:28:01",43600
4.11,0.02,100,"bu","14:19:37",42200
4.11,0.02,200,"bu","14:19:37",42100
4.11,0.02,300,"bu","14:02:35",41900
4.11,0.02,200,"bu","13:59:27",41600
4.11,0.02,100,"bu","13:59:16",41400
4.11,0.02,1000,"sd","13:59:13",41300
4.11,0.02,900,"sd","13:59:13",40300
4.11,0.02,5000,"sd","13:43:17",39400
4.11,0.02,4100,"sd","13:43:17",34400
4.11,0.02,900,"sd","13:43:17",30300
4.11,0.02,100,"sd","13:42:21",29400
4.11,0.02,400,"sd","13:42:21",29300
4.12,0.03,100,"sd","13:42:21",28900
4.12,0.03,500,"sd","13:39:53",28800
4.12,0.03,100,"bu","13:36:33",28300
4.12,0.03,100,"sd","13:35:55",28200
4.12,0.03,300,"sd","13:35:55",28100
4.12,0.03,1000,"sd","13:35:55",27800
4.13,0.04,500,"bu","13:32:14",26800
4.13,0.04,100,"sd","13:28:41",26300
4.13,0.04,100,"sd","13:28:41",26200
4.15,0.06,1000,"bu","13:26:40",26100
4.15,0.06,1000,"bu","13:26:03",25100
4.13,0.04,500,"sd","13:18:42",24100
4.13,0.04,200,"sd","13:18:42",23600
4.14,0.05,1000,"bu","13:12:03",23400
4.13,0.04,300,"bu","13:11:17",22400
4.13,0.04,500,"sd","13:10:13",22100
4.13,0.04,400,"sd","13:10:13",21600
4.15,0.06,100,"bu","13:08:09",21200
4.14,0.05,800,"bu","13:08:09",21100
4.14,0.05,600,"bu","13:08:09",20300
4.14,0.05,500,"bu","13:06:04",19700
4.13,0.04,100,"bu","13:04:24",19200
4.14,0.05,700,"bu","13:00:07",19100
4.14,0.05,200,"bu","13:00:07",18400
4.13,0.04,100,"sd","11:27:44",18200
4.13,0.04,200,"sd","11:22:58",18100
4.13,0.04,400,"sd","11:22:58",17900
4.13,0.04,400,"sd","11:22:58",17500
4.13,0.04,500,"sd","11:12:16",17100
4.14,0.05,1000,"bu","11:10:32",16600
4.13,0.04,500,"sd","11:01:36",15600
4.14,0.05,100,"sd","10:58:52",15100
4.15,0.06,500,"bu","10:57:20",15000
4.15,0.06,100,"bu","10:57:20",14500
4.15,0.06,500,"bu","10:57:20",14400
4.15,0.06,300,"bu","10:57:20",13900
4.14,0.05,200,"bu","10:54:24",13600
4.14,0.05,200,"bu","10:51:49",13400
4.14,0.05,300,"bu","10:51:49",13200
4.12,0.03,100,"sd","10:49:41",12900
4.12,0.03,200,"sd","10:49:41",12800
4.14,0.05,200,"bu","10:48:33",12600
4.15,0.06,300,"bu","10:14:12",12400
4.15,0.06,200,"bu","10:14:12",12100
4.15,0.06,100,"bu","10:09:11",11900
4.12,0.03,200,"sd","09:56:56",11800
4.12,0.03,100,"sd","09:56:56",11600
4.15,0.06,200,"sd","09:54:15",11500
4.17,0.08,300,"sd","09:40:34",11300
4.17,0.08,200,"sd","09:40:12",11000
4.17,0.08,400,"bu","09:39:08",10800
4.17,0.08,2100,"bu","09:39:08",10400
4.16,0.07,300,"unknown","09:38:18",8300
4.16,0.07,100,"unknown","09:38:18",8000
4.16,0.07,200,"unknown","09:38:18",7900
4.15,0.06,400,"bu","09:38:01",7700
4.15,0.06,100,"bu","09:34:17",7300
4.15,0.06,300,"bu","09:34:17",7200
4.14,0.05,100,"bu","09:34:17",6900
4.11,0.02,300,"sd","09:33:26",6800
4.15,0.06,700,"bu","09:33:23",6500
4.15,0.06,100,"bu","09:33:23",5800
4.13,0.04,100,"bu","09:33:23",5700
4.12,0.03,100,"bu","09:33:23",5600
4.11,0.02,4100,"sd","09:31:56",5500
4.11,0.02,100,"bu","09:24:01",1400
4.1,0.01,200,"sd","09:23:45",1300
4.1,0.01,200,"bu","09:23:04",1100
4.1,0.01,200,"bu","09:23:02",900
4.1,0.01,500,"bu","09:22:40",700
4.1,0.01,100,"sd","09:22:00",200
4.1,0.01,100,"bu","09:21:31",100
