"price","change","match_qtty","side","time","total_vol"
8.4,0,2000,"bu","14:57:04",729600
8.4,0,100,"bu","14:54:28",727600
8.3,-0.1,100,"sd","14:54:03",727500
8.3,-0.1,5300,"sd","14:52:50",727400
8.3,-0.1,13900,"sd","14:52:43",722100
8.3,-0.1,100,"sd","14:52:00",708200
8.4,0,1000,"bu","14:51:27",708100
8.3,-0.1,1200,"sd","14:51:06",707100
8.4,0,200,"bu","14:49:57",705900
8.4,0,100,"bu","14:49:46",705700
8.3,-0.1,500,"sd","14:49:38",705600
8.4,0,200,"bu","14:49:30",705100
8.3,-0.1,100,"sd","14:48:51",704900
8.4,0,5000,"bu","14:48:12",704800
8.3,-0.1,10000,"sd","14:46:51",699800
8.3,-0.1,3000,"sd","14:46:40",689800
8.4,0,1000,"bu","14:40:39",686800
8.4,0,2000,"bu","14:33:29",685800
8.3,-0.1,100,"sd","14:28:30",683800
8.3,-0.1,100,"sd","14:27:31",683700
8.3,-0.1,4000,"sd","14:17:33",683600
8.3,-0.1,6000,"sd","14:16:37",679600
8.4,0,1900,"bu","14:00:42",673600
8.4,0,100,"bu","13:58:44",671700
8.3,-0.1,100,"sd","13:47:41",671600
8.4,0,1300,"sd","13:47:40",671500
8.4,0,200,"bu","13:46:38",670200
8.4,0,500,"bu","13:45:33",670000
8.4,0,100,"bu","13:45:09",669500
8.4,0,500,"bu","13:44:15",669400
8.4,0,200,"bu","13:43:22",668900
8.4,0,1000,"bu","13:42:43",668700
8.4,0,300,"sd","13:42:17",667700
8.4,0,1300,"bu","13:41:59",667400
8.4,0,300,"bu","13:41:50",666100
8.4,0,2000,"bu","13:41:13",665800
8.4,0,1000,"bu","13:40:18",663800
8.4,0,1000,"bu","13:39:25",662800
8.4,0,8000,"bu","13:36:36",661800
8.4,0,5000,"sd","13:35:23",653800
8.4,0,500,"sd","13:33:49",648800
8.4,0,6500,"bu","13:33:02",648300
8.4,0,40000,"bu","13:32:24",641800
8.4,0,2000,"bu","13:27:06",601800
8.3,-0.1,4000,"sd","13:27:05",599800
8.4,0,100,"bu","13:26:18",595800
8.4,0,200,"bu","13:24:22",595700
8.4,0,5000,"bu","13:23:59",595500
8.4,0,2000,"bu","13:22:54",590500
8.3,-0.1,300,"sd","13:13:13",588500
8.4,0,1600,"bu","13:09:57",588200
8.4,0,100,"bu","13:08:11",586600
8.4,0,300,"sd","13:05:47",586500
8.4,0,1000,"sd","13:04:19",586200
8.4,0,500,"sd","13:04:09",585200
8.4,0,400,"unknown","13:01:28",584700
8.4,0,1400,"bu","13:00:45",584300
8.4,0,2600,"sd","13:00:07",582900
8.4,0,1100,"sd","11:29:24",580300
8.4,0,700,"sd","11:28:10",579200
8.4,0,200,"sd","11:22:57",578500
8.4,0,2000,"sd","11:17:42",578300
8.4,0,100,"sd","11:17:18",576300
8.4,0,500,"sd","11:16:40",576200
8.4,0,200,"sd","11:16:32",575700
8.4,0,9700,"sd","11:15:33",575500
8.4,0,1000,"sd","11:11:35",565800
8.5,0.1,100,"bu","11:10:10",564800
8.4,0,2600,"sd","11:04:21",564700
8.4,0,50000,"bu","11:04:09",562100
8.4,0,10000,"bu","11:02:22",512100
8.4,0,500,"bu","11:02:13",502100
8.4,0,1000,"bu","11:02:01",501600
8.4,0,10000,"bu","10:57:05",500600
8.4,0,5500,"bu","10:56:26",490600
8.4,0,1000,"bu","10:50:12",485100
8.4,0,12000,"bu","10:49:36",484100
8.4,0,3000,"bu","10:49:29",472100
8.4,0,1300,"bu","10:49:22",469100
8.4,0,3000,"bu","10:48:52",467800
8.4,0,20000,"bu","10:47:16",464800
8.4,0,200,"bu","10:47:05",444800
8.4,0,100,"bu","10:46:24",444600
8.4,0,50000,"bu","10:45:25",444500
8.3,-0.1,3000,"sd","10:45:12",394500
8.4,0,500,"bu","10:37:31",391500
8.4,0,11100,"bu","10:37:09",391000
8.4,0,300,"bu","10:29:31",379900
8.4,0,100,"bu","10:28:41",379600
8.4,0,500,"bu","10:25:16",379500
8.4,0,500,"bu","10:25:08",379000
8.4,0,8000,"bu","10:20:32",378500
8.3,-0.1,10000,"sd","10:19:32",370500
8.3,-0.1,100,"sd","10:18:21",360500
8.3,-0.1,8800,"sd","10:05:18",360400
8.4,0,8000,"bu","10:03:15",351600
8.4,0,1400,"bu","10:02:15",343600
8.4,0,81500,"sd","09:59:38",342200
8.4,0,10000,"sd","09:59:18",260700
8.4,0,50000,"sd","09:59:14",250700
8.4,0,10000,"sd","09:59:00",200700
8.4,0,1000,"sd","09:58:07",190700
8.4,0,20000,"sd","09:57:41",189700
8.4,0,100,"sd","09:53:15",169700
8.4,0,3100,"sd","09:50:55",169600
8.4,0,100,"sd","09:50:26",166500
8.4,0,2000,"sd","09:47:52",166400
8.4,0,100,"sd","09:44:48",164400
8.5,0.1,9000,"bu","09:44:27",164300
8.5,0.1,200,"bu","09:44:01",155300
8.4,0,300,"sd","09:43:40",155100
8.5,0.1,200,"bu","09:40:52",154800
8.5,0.1,5000,"bu","09:38:09",154600
8.5,0.1,200,"bu","09:33:06",149600
8.5,0.1,800,"bu","09:31:15",149400
8.4,0,100,"sd","09:30:44",148600
8.4,0,1000,"sd","09:28:52",148500
8.4,0,100,"sd","09:28:00",147500
8.4,0,900,"sd","09:27:49",147400
8.4,0,100,"sd","09:27:23",146500
8.5,0.1,2400,"bu","09:26:03",146400
8.4,0,71400,"bu","09:20:18",144000
8.4,0,1000,"bu","09:19:50",72600
8.4,0,1000,"bu","09:19:46",71600
8.4,0,100,"bu","09:19:42",70600
8.4,0,12000,"bu","09:19:23",70500
8.4,0,1000,"bu","09:19:13",58500
8.4,0,500,"bu","09:18:54",57500
8.4,0,30000,"bu","09:18:44",57000
8.4,0,2000,"bu","09:18:43",27000
8.4,0,1000,"bu","09:18:42",25000
8.4,0,1000,"bu","09:18:19",24000
8.4,0,200,"bu","09:18:03",23000
8.4,0,10000,"bu","09:17:59",22800
8.4,0,1000,"bu","09:17:51",12800
8.4,0,100,"bu","09:17:30",11800
8.4,0,10000,"bu","09:17:14",11700
8.4,0,100,"bu","09:17:11",1700
8.4,0,500,"bu","09:16:42",1600
8.4,0,500,"bu","09:00:20",1100
8.4,0,500,"bu","09:00:05",600
8.3,-0.1,100,"sd","09:00:04",100
