"price","change","match_qtty","side","time","total_vol"
7,-0.06,312600,"unknown","14:45:02",2058800
7.01,-0.05,4300,"sd","14:29:49",1746200
7.01,-0.05,200,"sd","14:29:49",1741900
7.01,-0.05,300,"sd","14:29:49",1741700
7.01,-0.05,100,"sd","14:29:49",1741400
7.01,-0.05,100,"sd","14:29:49",1741300
7.02,-0.04,2000,"bu","14:29:19",1741200
7.02,-0.04,300,"bu","14:29:17",1739200
7.01,-0.05,100,"sd","14:29:12",1738900
7.01,-0.05,2000,"sd","14:29:12",1738800
7.01,-0.05,17900,"sd","14:29:12",1736800
7.02,-0.04,1300,"sd","14:28:55",1718900
7.02,-0.04,700,"bu","14:28:41",1717600
7.02,-0.04,1000,"bu","14:28:30",1716900
7.02,-0.04,500,"bu","14:28:29",1715900
7.02,-0.04,100,"bu","14:28:29",1715400
7.02,-0.04,7700,"bu","14:28:29",1715300
7.02,-0.04,1100,"sd","14:28:27",1707600
7.03,-0.03,900,"bu","14:28:21",1706500
7.02,-0.04,200,"sd","14:28:16",1705600
7.02,-0.04,200,"sd","14:27:46",1705400
7.02,-0.04,800,"sd","14:27:46",1705200
7.02,-0.04,1000,"bu","14:27:43",1704400
7.02,-0.04,5000,"bu","14:27:41",1703400
7.02,-0.04,30000,"bu","14:27:40",1698400
7.02,-0.04,50000,"bu","14:27:37",1668400
7.02,-0.04,500,"bu","14:27:28",1618400
7.02,-0.04,200,"bu","14:27:24",1617900
7.02,-0.04,6800,"bu","14:27:22",1617700
7.02,-0.04,2000,"bu","14:26:59",1610900
7.01,-0.05,3000,"sd","14:26:47",1608900
7.01,-0.05,7000,"sd","14:26:31",1605900
7.02,-0.04,100,"bu","14:26:23",1598900
7.02,-0.04,500,"bu","14:26:22",1598800
7.02,-0.04,900,"bu","14:26:06",1598300
7.01,-0.05,29100,"sd","14:25:48",1597400
7.01,-0.05,600,"sd","14:25:48",1568300
7.02,-0.04,1000,"bu","14:25:45",1567700
7.01,-0.05,4400,"sd","14:25:37",1566700
7.01,-0.05,5000,"sd","14:25:37",1562300
7.01,-0.05,200,"sd","14:25:37",1557300
7.01,-0.05,200,"sd","14:25:37",1557100
7.01,-0.05,10000,"sd","14:25:37",1556900
7.01,-0.05,2000,"sd","14:25:37",1546900
7.01,-0.05,100,"sd","14:25:37",1544900
7.01,-0.05,2000,"sd","14:25:37",1544800
7.01,-0.05,5000,"sd","14:25:37",1542800
7.01,-0.05,1000,"sd","14:25:37",1537800
7.01,-0.05,100,"sd","14:25:37",1536800
7.02,-0.04,2000,"bu","14:25:34",1536700
7.01,-0.05,300,"sd","14:25:04",1534700
7.01,-0.05,1000,"sd","14:25:04",1534400
7.01,-0.05,300,"sd","14:25:04",1533400
7.02,-0.04,100,"bu","14:24:41",1533100
7.01,-0.05,1000,"sd","14:24:09",1533000
7.01,-0.05,3000,"sd","14:24:09",1532000
7.01,-0.05,5700,"sd","14:24:02",1529000
7.01,-0.05,1000,"sd","14:24:02",1523300
7.01,-0.05,500,"sd","14:24:02",1522300
7.01,-0.05,8800,"sd","14:24:02",1521800
7.01,-0.05,100,"sd","14:23:52",1513000
7.01,-0.05,500,"sd","14:23:52",1512900
7.01,-0.05,1600,"sd","14:23:52",1512400
7.01,-0.05,5000,"sd","14:23:52",1510800
7.01,-0.05,300,"sd","14:23:52",1505800
7.01,-0.05,1200,"sd","14:23:52",1505500
7.01,-0.05,100,"sd","14:23:52",1504300
7.01,-0.05,10000,"sd","14:23:52",1504200
7.01,-0.05,1000,"sd","14:23:52",1494200
7.01,-0.05,100,"sd","14:23:52",1493200
7.01,-0.05,100,"sd","14:23:52",1493100
7.02,-0.04,1000,"bu","14:23:24",1493000
7.02,-0.04,2000,"sd","14:22:55",1492000
7.02,-0.04,1000,"sd","14:22:55",1490000
7.02,-0.04,7000,"sd","14:22:55",1489000
7.02,-0.04,5000,"sd","14:22:55",1482000
7.02,-0.04,500,"sd","14:22:55",1477000
7.02,-0.04,3100,"sd","14:22:55",1476500
7.02,-0.04,9300,"sd","14:22:55",1473400
7.03,-0.03,1000,"sd","14:22:55",1464100
7.03,-0.03,6400,"sd","14:22:55",1463100
7.03,-0.03,100,"sd","14:22:46",1456700
7.03,-0.03,3500,"sd","14:22:45",1456600
7.03,-0.03,10000,"bu","14:22:32",1453100
7.03,-0.03,4300,"bu","14:22:28",1443100
7.03,-0.03,2200,"bu","14:22:24",1438800
7.03,-0.03,200,"sd","14:22:15",1436600
7.04,-0.02,3200,"bu","14:21:53",1436400
7.03,-0.03,800,"sd","14:21:30",1433200
7.03,-0.03,700,"sd","14:21:30",1432400
7.03,-0.03,300,"sd","14:20:51",1431700
7.03,-0.03,3100,"sd","14:20:51",1431400
7.03,-0.03,900,"sd","14:20:47",1428300
7.03,-0.03,1000,"sd","14:20:39",1427400
7.02,-0.04,700,"sd","14:20:30",1426400
7.03,-0.03,1000,"sd","14:20:30",1425700
7.03,-0.03,300,"sd","14:20:30",1424700
7.03,-0.03,9700,"sd","14:20:10",1424400
7.03,-0.03,300,"sd","14:20:10",1414700
7.04,-0.02,2000,"bu","14:19:52",1414400
7.04,-0.02,1700,"bu","14:19:49",1412400
7.04,-0.02,1000,"bu","14:19:42",1410700
7.04,-0.02,400,"bu","14:19:24",1409700
7.04,-0.02,1600,"bu","14:19:24",1409300
7.03,-0.03,4700,"sd","14:19:15",1407700
7.03,-0.03,100,"sd","14:19:15",1403000
