"price","change","match_qtty","side","time","total_vol"
7.99,0.49,9600,"unknown","14:45:04",445500
8,0.5,500,"bu","14:29:39",435900
7.99,0.49,600,"bu","14:29:00",435400
7.99,0.49,1400,"sd","14:28:22",434800
7.99,0.49,100,"sd","14:27:44",433400
7.99,0.49,100,"bu","14:27:25",433300
7.99,0.49,400,"bu","14:27:25",433200
8,0.5,100,"bu","14:27:04",432800
8,0.5,3000,"bu","14:26:49",432700
8,0.5,500,"bu","14:26:49",429700
8,0.5,1000,"bu","14:26:49",429200
8,0.5,500,"bu","14:26:49",428200
7.99,0.49,100,"sd","14:26:37",427700
7.99,0.49,200,"bu","14:26:13",427600
7.99,0.49,300,"bu","14:26:13",427400
7.99,0.49,100,"bu","14:26:13",427100
7.99,0.49,100,"bu","14:26:13",427000
7.99,0.49,1100,"bu","14:26:13",426900
7.96,0.46,9500,"sd","14:25:44",425800
7.97,0.47,400,"sd","14:25:44",416300
7.97,0.47,100,"sd","14:25:44",415900
7.99,0.49,1900,"bu","14:21:12",415800
7.99,0.49,100,"bu","14:21:12",413900
7.99,0.49,5000,"bu","14:21:12",413800
7.99,0.49,300,"bu","14:21:12",408800
7.99,0.49,200,"bu","14:21:12",408500
7.98,0.48,100,"bu","14:21:12",408300
7.98,0.48,900,"bu","14:21:12",408200
7.98,0.48,1000,"bu","14:21:12",407300
7.98,0.48,200,"bu","14:21:12",406300
7.98,0.48,300,"bu","14:21:12",406100
7.97,0.47,100,"sd","14:19:39",405800
7.97,0.47,200,"bu","14:17:53",405700
7.97,0.47,300,"bu","14:17:53",405500
7.97,0.47,400,"bu","14:16:28",405200
7.97,0.47,600,"bu","14:16:28",404800
7.97,0.47,400,"bu","14:16:15",404200
7.96,0.46,500,"sd","14:15:21",403800
7.93,0.43,400,"bu","14:13:45",403300
7.93,0.43,400,"bu","14:13:45",402900
7.93,0.43,100,"bu","14:13:01",402500
7.93,0.43,1000,"sd","14:12:51",402400
7.93,0.43,400,"sd","14:12:51",401400
7.93,0.43,1000,"sd","14:12:51",401000
7.93,0.43,100,"sd","14:12:51",400000
7.97,0.47,1200,"sd","14:10:29",399900
7.98,0.48,100,"bu","14:09:53",398700
7.97,0.47,500,"sd","14:09:29",398600
7.98,0.48,2000,"bu","14:09:28",398100
7.98,0.48,1200,"bu","14:09:05",396100
7.98,0.48,800,"bu","14:09:05",394900
7.97,0.47,2000,"sd","14:06:14",394100
7.97,0.47,300,"sd","14:05:22",392100
7.97,0.47,100,"sd","14:05:22",391800
7.97,0.47,1900,"sd","14:05:22",391700
7.98,0.48,300,"bu","14:05:18",389800
7.98,0.48,3000,"sd","14:05:13",389500
7.98,0.48,1700,"sd","14:05:13",386500
7.98,0.48,100,"bu","14:04:10",384800
7.98,0.48,100,"bu","14:04:10",384700
7.98,0.48,100,"bu","14:04:10",384600
7.98,0.48,200,"bu","14:04:02",384500
7.98,0.48,300,"bu","14:03:42",384300
7.98,0.48,9700,"bu","14:03:42",384000
7.97,0.47,300,"sd","14:03:10",374300
7.98,0.48,300,"bu","14:01:17",374000
7.98,0.48,200,"bu","14:01:17",373700
7.98,0.48,700,"bu","14:01:17",373500
7.98,0.48,300,"bu","14:01:17",372800
7.97,0.47,300,"sd","14:00:21",372500
