"price","change","match_qtty","side","time","total_vol"
12.4,0.3,400,"bu","14:53:22",320100
12.4,0.3,1000,"bu","14:52:57",319700
12.3,0.2,1000,"sd","14:52:20",318700
12.3,0.2,3000,"sd","14:52:13",317700
12.3,0.2,200,"sd","14:50:55",314700
12.3,0.2,2000,"sd","14:50:19",314500
12.4,0.3,500,"bu","14:47:21",312500
12.4,0.3,100,"bu","14:38:30",312000
12.4,0.3,100,"bu","14:37:03",311900
12.3,0.2,900,"sd","14:32:16",311800
12.4,0.3,20000,"sd","14:30:45",310900
12.4,0.3,3800,"sd","14:30:29",290900
12.4,0.3,10000,"sd","14:29:11",287100
12.4,0.3,100,"sd","14:28:44",277100
12.4,0.3,10000,"sd","14:27:56",277000
12.5,0.4,800,"sd","14:26:21",267000
12.5,0.4,3000,"sd","14:25:42",266200
12.5,0.4,200,"sd","14:25:28",263200
12.5,0.4,7000,"bu","14:22:09",263000
12.5,0.4,100,"bu","14:19:54",256000
12.5,0.4,1000,"bu","14:18:19",255900
12.5,0.4,1000,"bu","14:18:15",254900
12.5,0.4,100,"sd","14:17:58",253900
12.5,0.4,1000,"sd","14:17:44",253800
12.5,0.4,4000,"sd","14:17:35",252800
12.5,0.4,1000,"sd","14:17:32",248800
12.5,0.4,1000,"sd","14:17:14",247800
12.5,0.4,1000,"sd","14:15:52",246800
12.5,0.4,1000,"sd","14:14:41",245800
12.5,0.4,5900,"sd","14:09:23",244800
12.5,0.4,500,"bu","14:08:27",238900
12.5,0.4,500,"bu","14:07:00",238400
12.5,0.4,5000,"bu","14:06:28",237900
12.5,0.4,100,"bu","14:05:03",232900
12.5,0.4,100,"unknown","14:04:29",232800
12.5,0.4,10000,"sd","14:04:09",232700
12.5,0.4,100,"sd","14:01:06",222700
12.5,0.4,900,"sd","13:59:53",222600
12.5,0.4,1000,"sd","13:58:59",221700
12.5,0.4,5000,"sd","13:58:35",220700
12.8,0.7,900,"bu","13:53:43",215700
12.8,0.7,1100,"bu","13:53:05",214800
12.7,0.6,2000,"bu","13:52:54",213700
12.6,0.5,100,"bu","13:52:30",211700
12.6,0.5,3000,"bu","13:51:50",211600
12.5,0.4,100,"sd","13:51:33",208600
12.5,0.4,5700,"sd","13:51:15",208500
12.5,0.4,5000,"bu","13:51:10",202800
12.5,0.4,4000,"bu","13:51:02",197800
