"price","change","match_qtty","side","time","total_vol"
4.39,-0.01,15000,"bu","14:45:04",145900
4.4,0,200,"bu","14:29:35",130900
4.4,0,5000,"bu","14:29:35",130700
4.41,0.01,300,"bu","14:21:13",125700
4.31,-0.09,14600,"bu","14:16:55",125400
4.31,-0.09,100,"bu","14:16:24",110800
4.31,-0.09,1000,"bu","14:16:09",110700
4.31,-0.09,1000,"sd","14:14:43",109700
4.31,-0.09,3000,"sd","14:14:43",108700
4.31,-0.09,500,"sd","14:12:26",105700
4.31,-0.09,500,"sd","14:12:26",105200
4.39,-0.01,300,"sd","14:12:26",104700
4.39,-0.01,700,"sd","14:12:26",104400
4.41,0.01,2500,"bu","14:09:10",103700
4.41,0.01,300,"bu","14:05:40",101200
4.41,0.01,100,"bu","14:05:38",100900
4.41,0.01,200,"bu","14:05:23",100800
4.41,0.01,400,"sd","13:58:39",100600
4.41,0.01,100,"sd","13:58:39",100200
4.41,0.01,600,"sd","13:58:39",100100
4.41,0.01,400,"sd","13:57:02",99500
4.41,0.01,200,"sd","13:57:02",99100
4.46,0.06,100,"bu","13:53:20",98900
4.46,0.06,100,"bu","13:52:58",98800
4.46,0.06,100,"bu","13:43:09",98700
4.46,0.06,100,"bu","13:39:08",98600
4.41,0.01,100,"sd","13:31:26",98500
4.41,0.01,100,"sd","13:31:26",98400
4.46,0.06,500,"bu","13:24:53",98300
4.46,0.06,100,"bu","13:21:27",97800
4.46,0.06,1000,"bu","13:21:27",97700
4.46,0.06,100,"bu","13:11:53",96700
4.46,0.06,100,"bu","13:09:34",96600
4.49,0.09,100,"bu","13:01:58",96500
4.49,0.09,1900,"bu","13:01:52",96400
4.41,0.01,100,"sd","13:00:26",94500
4.41,0.01,200,"sd","13:00:26",94400
4.41,0.01,800,"sd","13:00:06",94200
4.41,0.01,200,"bu","13:00:01",93400
4.41,0.01,1200,"bu","11:29:21",93200
4.41,0.01,400,"bu","11:29:21",92000
4.4,0,1200,"sd","11:29:04",91600
4.4,0,100,"sd","11:25:20",90400
4.3,-0.1,300,"sd","11:23:14",90300
4.2,-0.2,1000,"bu","11:03:23",90000
4.1,-0.3,1900,"bu","11:02:58",89000
4.1,-0.3,100,"bu","11:02:54",87100
4.1,-0.3,2000,"bu","11:02:47",87000
4.1,-0.3,1800,"sd","11:02:30",85000
4.2,-0.2,100,"sd","11:02:30",83200
4.25,-0.15,1000,"sd","11:02:30",83100
4.3,-0.1,500,"sd","11:02:30",82100
4.3,-0.1,100,"sd","11:02:30",81600
4.3,-0.1,1900,"sd","11:02:30",81500
4.3,-0.1,200,"sd","11:02:30",79600
4.35,-0.05,100,"sd","11:02:30",79400
4.35,-0.05,300,"sd","11:02:30",79300
4.41,0.01,600,"sd","11:01:58",79000
4.41,0.01,400,"bu","10:55:33",78400
4.41,0.01,100,"bu","10:55:21",78000
4.41,0.01,10500,"bu","10:53:42",77900
4.4,0,400,"bu","10:53:42",67400
4.4,0,1000,"sd","10:53:04",67000
4.4,0,200,"sd","10:53:04",66000
4.4,0,100,"sd","10:53:04",65800
4.41,0.01,100,"sd","10:52:12",65700
4.45,0.05,2500,"sd","10:52:12",65600
4.49,0.09,4100,"sd","10:50:54",63100
4.49,0.09,5000,"sd","10:49:54",59000
4.49,0.09,600,"bu","10:37:30",54000
4.49,0.09,300,"bu","10:37:30",53400
4.49,0.09,1000,"bu","10:35:51",53100
4.49,0.09,500,"sd","10:27:07",52100
4.49,0.09,200,"sd","10:27:07",51600
4.49,0.09,800,"sd","10:01:14",51400
4.49,0.09,200,"sd","10:01:14",50600
