"price","change","match_qtty","side","time","total_vol"
20.2,0,400,"bu","14:59:50",447400
20,-0.2,2000,"sd","14:57:57",447000
20.2,0,2000,"bu","14:57:24",445000
20.2,0,100,"bu","14:56:50",443000
20,-0.2,1000,"bu","14:50:51",442900
19.9,-0.3,1500,"sd","14:49:33",441900
19.8,-0.4,1000,"unknown","14:47:22",440400
19.8,-0.4,1000,"sd","14:46:48",439400
19.9,-0.3,500,"sd","14:46:26",438400
19.8,-0.4,700,"sd","14:44:24",437900
19.8,-0.4,500,"sd","14:44:02",437200
19.8,-0.4,4800,"sd","14:39:35",436700
20,-0.2,100,"bu","14:39:28",431900
20,-0.2,200,"sd","14:38:08",431800
20,-0.2,800,"unknown","14:33:18",431600
20,-0.2,2000,"bu","14:31:36",430800
20,-0.2,2200,"bu","14:29:46",428800
20.2,0,400,"unknown","14:28:34",426600
20.2,0,2300,"bu","14:28:18",426200
20.2,0,100,"bu","14:27:34",423900
20,-0.2,1300,"bu","14:27:14",423800
20,-0.2,2000,"bu","14:27:13",422500
19.9,-0.3,700,"bu","14:27:08",420500
19.8,-0.4,200,"sd","14:26:56",419800
19.8,-0.4,600,"bu","14:26:53",419600
19.8,-0.4,1100,"bu","14:26:48",419000
19.8,-0.4,300,"bu","14:26:46",417900
19.8,-0.4,200,"bu","14:26:44",417600
19.7,-0.5,1800,"sd","14:26:16",417400
19.6,-0.6,2600,"sd","14:25:43",415600
19.6,-0.6,100,"bu","14:25:36",413000
19.6,-0.6,1000,"bu","14:25:29",412900
19.6,-0.6,400,"bu","14:25:17",411900
19.6,-0.6,4900,"bu","14:25:16",411500
19.8,-0.4,300,"bu","14:24:03",406600
19.8,-0.4,100,"bu","14:23:52",406300
19.8,-0.4,1300,"bu","14:23:48",406200
19.8,-0.4,1000,"bu","14:23:27",404900
19.8,-0.4,4900,"bu","14:23:15",403900
19.9,-0.3,2300,"bu","14:22:33",399000
19.9,-0.3,1000,"sd","14:22:27",396700
20,-0.2,2000,"bu","14:22:21",395700
20,-0.2,2400,"bu","14:22:17",393700
20,-0.2,100,"sd","14:22:06",391300
20,-0.2,700,"sd","14:22:00",391200
20,-0.2,800,"sd","14:21:57",390500
20,-0.2,100,"bu","14:21:50",389700
20,-0.2,100,"bu","14:21:46",389600
20,-0.2,9000,"bu","14:21:42",389500
20,-0.2,500,"sd","14:21:01",380500
20,-0.2,3000,"sd","14:20:31",380000
20.2,0,13800,"bu","14:19:02",377000
20.2,0,2500,"sd","14:18:58",363200
20.3,0.1,100,"bu","14:18:41",360700
20.3,0.1,1900,"bu","14:18:32",360600
20.3,0.1,1000,"sd","14:18:14",358700
20.3,0.1,1000,"sd","14:17:55",357700
20.3,0.1,1000,"sd","14:17:46",356700
20.4,0.2,900,"bu","14:17:37",355700
20.4,0.2,1100,"bu","14:17:26",354800
20.4,0.2,2000,"sd","14:17:21",353700
20.5,0.3,1700,"sd","14:16:58",351700
20.5,0.3,800,"sd","14:16:56",350000
20.5,0.3,1000,"sd","14:16:30",349200
20.6,0.4,200,"bu","14:14:20",348200
20.5,0.3,300,"unknown","14:13:17",348000
20.5,0.3,400,"unknown","14:11:44",347700
20.4,0.2,200,"sd","14:11:30",347300
20.4,0.2,100,"bu","14:11:17",347100
20.4,0.2,100,"bu","14:10:48",347000
20.4,0.2,1300,"bu","14:09:21",346900
20.4,0.2,1900,"bu","14:09:01",345600
20.4,0.2,3100,"sd","14:08:53",343700
20.5,0.3,500,"sd","14:06:42",340600
20.5,0.3,1800,"sd","14:06:21",340100
20.5,0.3,5000,"sd","14:05:20",338300
20.6,0.4,1100,"bu","14:04:22",333300
20.6,0.4,500,"sd","14:03:42",332200
20.6,0.4,5200,"sd","14:03:03",331700
20.6,0.4,400,"bu","13:59:43",326500
20.6,0.4,2700,"bu","13:58:25",326100
20.6,0.4,200,"sd","13:58:00",323400
20.6,0.4,200,"sd","13:57:59",323200
20.6,0.4,2000,"sd","13:56:39",323000
20.6,0.4,1000,"sd","13:55:58",321000
20.6,0.4,800,"sd","13:55:56",320000
20.6,0.4,500,"bu","13:55:55",319200
20.6,0.4,700,"sd","13:55:49",318700
20.6,0.4,100,"unknown","13:54:42",318000
20.6,0.4,100,"sd","13:54:02",317900
21.1,0.9,500,"bu","13:48:13",317800
21.1,0.9,300,"sd","13:46:58",317300
21.1,0.9,1500,"sd","13:46:53",317000
21.1,0.9,3000,"sd","13:46:42",315500
21.1,0.9,5000,"sd","13:46:33",312500
21.1,0.9,10000,"sd","13:46:32",307500
21.1,0.9,3200,"bu","13:46:11",297500
21.1,0.9,900,"bu","13:45:30",294300
21.1,0.9,400,"bu","13:45:26",293400
21.1,0.9,600,"bu","13:45:25",293000
21.1,0.9,600,"bu","13:45:18",292400
21,0.8,11500,"bu","13:44:59",291800
20.9,0.7,2700,"sd","13:44:02",280300
20.9,0.7,2300,"sd","13:43:57",277600
20.9,0.7,5900,"bu","13:43:51",275300
20.9,0.7,300,"bu","13:43:45",269400
20.8,0.6,14300,"sd","13:43:36",269100
20.7,0.5,4200,"bu","13:43:01",254800
20.7,0.5,5000,"bu","13:42:04",250600
20.5,0.3,200,"sd","13:41:31",245600
20.5,0.3,6500,"unknown","13:41:09",245400
20.5,0.3,6700,"unknown","13:39:13",238900
20.5,0.3,4600,"sd","13:38:44",232200
20.6,0.4,900,"sd","13:37:24",227600
20.6,0.4,100,"sd","13:37:00",226700
20.6,0.4,3700,"sd","13:36:27",226600
20.7,0.5,500,"bu","13:35:29",222900
20.7,0.5,100,"bu","13:34:52",222400
20.7,0.5,500,"unknown","13:32:24",222300
20.7,0.5,400,"bu","13:31:43",221800
20.8,0.6,4000,"bu","13:28:18",221400
20.6,0.4,700,"sd","13:27:10",217400
20.5,0.3,1000,"sd","13:21:52",216700
20.5,0.3,200,"sd","13:20:20",215700
20.5,0.3,5000,"bu","13:19:10",215500
20.5,0.3,100,"bu","13:18:36",210500
20.4,0.2,200,"sd","13:17:20",210400
20.3,0.1,1000,"sd","13:12:01",210200
20.3,0.1,400,"sd","13:11:39",209200
20.3,0.1,1000,"unknown","13:08:18",208800
20.3,0.1,1000,"bu","13:07:05",207800
20.3,0.1,900,"bu","13:06:36",206800
20.3,0.1,200,"bu","13:05:18",205900
20.3,0.1,6900,"bu","13:05:17",205700
20.3,0.1,1500,"sd","13:03:56",198800
20.3,0.1,10000,"sd","13:03:36",197300
20.4,0.2,500,"sd","13:02:37",187300
20.4,0.2,1000,"sd","13:02:36",186800
20.4,0.2,800,"sd","13:02:25",185800
20.4,0.2,2500,"sd","13:01:11",185000
20.4,0.2,100,"sd","13:00:04",182500
20.5,0.3,15300,"sd","11:26:31",182400
20.5,0.3,100,"bu","11:14:27",167100
20.5,0.3,2000,"bu","11:13:45",167000
20.5,0.3,800,"bu","11:13:37",165000
20.5,0.3,700,"bu","11:13:04",164200
20.5,0.3,7100,"sd","11:11:13",163500
20.6,0.4,100,"sd","11:09:46",156400
20.6,0.4,1100,"bu","11:07:43",156300
20.6,0.4,1600,"bu","11:06:57",155200
20.6,0.4,9900,"bu","11:05:34",153600
20.6,0.4,500,"sd","10:57:41",143700
20.6,0.4,200,"sd","10:49:39",143200
20.6,0.4,300,"sd","10:47:20",143000
20.6,0.4,1000,"sd","10:46:59",142700
20.7,0.5,9700,"bu","10:46:43",141700
20.7,0.5,4000,"sd","10:46:25",132000
20.7,0.5,2600,"sd","10:45:54",128000
20.7,0.5,500,"sd","10:43:54",125400
20.8,0.6,2200,"bu","10:43:03",124900
20.8,0.6,4600,"bu","10:41:11",122700
20.8,0.6,100,"bu","10:38:31",118100
20.8,0.6,1300,"bu","10:37:39",118000
20.8,0.6,100,"bu","10:30:48",116700
20.8,0.6,600,"bu","10:28:54",116600
20.9,0.7,200,"bu","10:28:43",116000
20.8,0.6,300,"sd","10:28:16",115800
20.9,0.7,500,"bu","10:23:15",115500
20.8,0.6,300,"bu","10:22:21",115000
20.8,0.6,2000,"bu","10:21:17",114700
20.7,0.5,1200,"sd","10:19:07",112700
20.6,0.4,100,"sd","10:18:05",111500
20.7,0.5,800,"bu","10:16:25",111400
20.7,0.5,4000,"sd","10:15:44",110600
20.8,0.6,400,"bu","10:13:37",106600
20.9,0.7,1000,"sd","10:10:52",106200
21.3,1.1,10000,"bu","09:58:18",105200
21,0.8,20000,"bu","09:53:54",95200
20.8,0.6,300,"bu","09:53:19",75200
20.7,0.5,1200,"sd","09:52:31",74900
20.7,0.5,500,"bu","09:51:32",73700
20.7,0.5,1000,"bu","09:51:28",73200
20.7,0.5,5000,"bu","09:50:57",72200
20.6,0.4,500,"bu","09:50:11",67200
20.6,0.4,500,"bu","09:49:13",66700
20.6,0.4,100,"bu","09:47:45",66200
20.6,0.4,400,"sd","09:47:08",66100
20.6,0.4,500,"sd","09:45:13",65700
20.6,0.4,4700,"bu","09:44:07",65200
20.6,0.4,1000,"bu","09:43:18",60500
20.6,0.4,500,"bu","09:39:17",59500
20.6,0.4,100,"bu","09:38:52",59000
20.6,0.4,500,"bu","09:37:43",58900
20.6,0.4,200,"bu","09:37:32",58400
20.6,0.4,1700,"bu","09:36:57",58200
20.6,0.4,500,"bu","09:36:33",56500
20.6,0.4,1900,"bu","09:35:35",56000
20.6,0.4,500,"sd","09:35:07",54100
20.6,0.4,500,"sd","09:34:39",53600
20.6,0.4,100,"bu","09:33:04",53100
20.6,0.4,1900,"sd","09:32:24",53000
20.6,0.4,500,"sd","09:31:34",51100
20.6,0.4,600,"bu","09:31:13",50600
20.5,0.3,5000,"sd","09:31:09",50000
20.6,0.4,400,"bu","09:31:02",45000
20.6,0.4,2000,"sd","09:30:29",44600
20.6,0.4,500,"sd","09:30:25",42600
20.6,0.4,500,"sd","09:30:07",42100
20.6,0.4,500,"sd","09:29:02",41600
20.7,0.5,1200,"sd","09:27:47",41100
20.7,0.5,4800,"sd","09:26:09",39900
20.6,0.4,200,"sd","09:23:22",35100
20.7,0.5,400,"sd","09:20:58",34900
20.8,0.6,1000,"bu","09:19:41",34500
20.7,0.5,4600,"sd","09:19:16",33500
20.3,0.1,10700,"sd","09:13:49",28900
20.5,0.3,400,"sd","09:12:54",18200
20.6,0.4,2300,"unknown","09:12:45",17800
20.7,0.5,300,"bu","09:11:49",15500
20.7,0.5,100,"bu","09:09:56",15200
20.7,0.5,2000,"sd","09:09:28",15100
20.7,0.5,1000,"sd","09:08:59",13100
20.7,0.5,5000,"sd","09:08:47",12100
20.7,0.5,6900,"sd","09:08:22",7100
20.7,0.5,100,"bu","09:04:14",200
20.5,0.3,100,"bu","09:02:01",100
