"price","change","match_qtty","side","time","total_vol"
7.07,0.06,100,"bu","14:45:01",32700
7,-0.01,200,"bu","14:22:41",32600
7,-0.01,1000,"sd","14:18:23",32400
6.99,-0.02,1700,"sd","14:11:20",31400
6.99,-0.02,2800,"sd","14:09:27",29700
6.99,-0.02,2200,"sd","14:09:27",26900
6.99,-0.02,4800,"sd","14:07:00",24700
6.99,-0.02,100,"sd","14:07:00",19900
6.99,-0.02,5000,"sd","14:07:00",19800
7,-0.01,100,"sd","14:07:00",14800
7,-0.01,500,"sd","14:05:28",14700
7,-0.01,400,"sd","14:05:28",14200
7.01,0,100,"sd","14:05:28",13800
7.02,0.01,100,"sd","14:04:01",13700
7.02,0.01,600,"sd","14:01:12",13600
7.04,0.03,800,"bu","13:56:07",13000
7.04,0.03,1000,"sd","13:54:53",12200
7.08,0.07,400,"bu","13:19:23",11200
7.08,0.07,100,"bu","13:19:23",10800
7.07,0.06,100,"bu","13:19:23",10700
7.08,0.07,100,"bu","13:01:14",10600
7.08,0.07,400,"bu","13:01:13",10500
7.02,0.01,2800,"sd","13:00:02",10100
7.03,0.02,200,"sd","13:00:02",7300
7.02,0.01,100,"sd","11:17:28",7100
7.02,0.01,300,"sd","11:17:28",7000
7.02,0.01,300,"sd","11:11:47",6700
7.02,0.01,100,"sd","11:11:47",6400
7.03,0.02,100,"unknown","11:11:47",6300
7.04,0.03,200,"unknown","11:11:47",6200
7.04,0.03,300,"sd","11:11:09",6000
7.04,0.03,100,"sd","11:11:09",5700
7.02,0.01,200,"sd","10:32:06",5600
7.04,0.03,400,"sd","10:31:44",5400
6.99,-0.02,100,"sd","10:14:48",5000
7.02,0.01,1000,"sd","10:03:02",4900
7.29,0.28,100,"bu","09:41:30",3900
7.28,0.27,100,"unknown","09:41:30",3800
7.35,0.34,300,"bu","09:32:29",3700
7.3,0.29,2600,"bu","09:32:29",3400
7.29,0.28,500,"bu","09:32:29",800
7.4,0.39,100,"bu","09:20:33",300
7.01,0,200,"sd","09:18:02",200
