"price","change","match_qtty","side","time","total_vol"
30.8,0.1,1500,"bu","14:45:02",33400
30.7,0,2800,"sd","14:17:44",31900
30.7,0,3000,"sd","14:15:51",29100
30.8,0.1,2000,"sd","14:13:38",26100
31,0.3,500,"unknown","14:00:34",24100
30.8,0.1,500,"sd","13:50:37",23600
30.8,0.1,1500,"bu","13:50:20",23100
30.8,0.1,500,"sd","13:48:15",21600
30.8,0.1,500,"sd","13:46:42",21100
30.7,0,100,"sd","13:33:19",20600
30.7,0,1500,"sd","13:24:32",20500
30.7,0,1000,"bu","13:22:05",19000
30.7,0,500,"bu","13:21:40",18000
30.7,0,1500,"sd","13:20:58",17500
30.7,0,1500,"sd","13:19:35",16000
30.7,0,1000,"sd","13:14:26",14500
30.7,0,1000,"sd","13:12:49",13500
31,0.3,200,"sd","10:48:12",12500
31,0.3,200,"sd","10:42:36",12300
31,0.3,300,"sd","10:40:59",12100
31,0.3,200,"sd","10:39:42",11800
31,0.3,1200,"sd","10:39:25",11600
31,0.3,1300,"bu","10:38:56",10400
31,0.3,700,"sd","10:38:28",9100
31,0.3,4900,"bu","10:38:04",8400
30.6,-0.1,500,"sd","09:53:32",3500
30.6,-0.1,100,"sd","09:27:55",3000
30.6,-0.1,100,"sd","09:26:56",2900
30.6,-0.1,100,"sd","09:26:43",2800
30.6,-0.1,1100,"sd","09:25:41",2700
31.3,0.6,700,"bu","09:16:56",1600
31.2,0.5,300,"unknown","09:16:43",900
31,0.3,600,"unknown","09:16:20",600
