"price","change","match_qtty","side","time","total_vol"
19.4,0,400,"sd","14:45:02",49800
19,-0.4,500,"unknown","14:23:25",49400
19.3,-0.1,500,"sd","14:18:36",48900
19.3,-0.1,200,"sd","14:12:03",48400
19.3,-0.1,100,"sd","14:10:55",48200
19.3,-0.1,1100,"sd","14:06:44",48100
19.4,0,500,"sd","14:04:10",47000
19.5,0.1,100,"bu","13:45:35",46500
19.5,0.1,800,"unknown","13:40:29",46400
19.5,0.1,100,"sd","13:38:55",45600
19.7,0.3,1700,"bu","13:37:06",45500
19.7,0.3,1300,"bu","13:35:10",43800
19.5,0.1,1100,"bu","13:34:38",42500
19.4,0,1500,"sd","13:34:23",41400
19.3,-0.1,500,"sd","13:34:07",39900
19,-0.4,500,"bu","11:03:34",39400
19,-0.4,1200,"bu","11:02:52",38900
19,-0.4,1000,"bu","11:01:10",37700
19,-0.4,500,"bu","11:00:31",36700
19,-0.4,1000,"bu","10:59:25",36200
19,-0.4,100,"bu","10:54:55",35200
19,-0.4,200,"bu","10:47:53",35100
19,-0.4,500,"bu","10:42:47",34900
19,-0.4,1000,"bu","10:42:31",34400
19,-0.4,2000,"bu","10:42:21",33400
19,-0.4,2000,"bu","10:40:51",31400
19,-0.4,1000,"unknown","10:29:55",29400
19,-0.4,2000,"bu","10:29:07",28400
19,-0.4,3000,"bu","10:27:20",26400
19,-0.4,4000,"sd","10:27:11",23400
19,-0.4,400,"sd","10:02:07",19400
19,-0.4,5500,"bu","09:58:19",19000
19,-0.4,300,"bu","09:42:15",13500
18.9,-0.5,100,"sd","09:42:08",13200
18.5,-0.9,13000,"sd","09:06:31",13100
19,-0.4,100,"unknown","09:05:19",100
