"price","change","match_qtty","side","time","total_vol"
8.3,0,300,"bu","14:52:12",424500
8.3,0,100,"bu","14:47:27",424200
8.2,-0.1,200,"sd","14:42:14",424100
8.2,-0.1,5000,"sd","14:40:20",423900
8.2,-0.1,200,"sd","14:35:26",418900
8.3,0,5000,"bu","14:35:08",418700
8.3,0,2900,"bu","14:28:23",413700
8.3,0,5000,"sd","14:28:01",410800
8.3,0,42100,"sd","14:27:41",405800
8.2,-0.1,5000,"sd","14:25:50",363700
8.2,-0.1,3000,"sd","14:22:06",358700
8.2,-0.1,20000,"sd","14:21:58",355700
8.2,-0.1,2000,"sd","14:20:44",335700
8.3,0,50000,"bu","14:11:40",333700
8.2,-0.1,5000,"sd","14:11:18",283700
8.2,-0.1,2000,"sd","14:07:01",278700
8.3,0,50000,"bu","14:01:44",276700
8.2,-0.1,31700,"sd","14:01:32",226700
8.1,-0.2,6100,"sd","13:47:12",195000
8.1,-0.2,3500,"bu","13:45:32",188900
8.1,-0.2,3000,"bu","13:38:37",185400
8.1,-0.2,500,"bu","13:37:39",182400
8.1,-0.2,500,"bu","13:36:36",181900
8.1,-0.2,11500,"sd","13:18:16",181400
8.1,-0.2,3000,"sd","13:18:08",169900
8.1,-0.2,20000,"sd","13:14:26",166900
8.1,-0.2,500,"sd","13:13:12",146900
8.1,-0.2,2000,"sd","11:29:40",146400
8.1,-0.2,20000,"sd","11:06:33",144400
8.1,-0.2,1300,"sd","11:04:58",124400
8.1,-0.2,7500,"bu","10:46:04",123100
8.1,-0.2,1500,"bu","10:45:14",115600
8.1,-0.2,1000,"bu","10:44:46",114100
8.1,-0.2,1000,"bu","10:41:29",113100
8.1,-0.2,2000,"bu","10:39:30",112100
8,-0.3,1000,"sd","10:32:31",110100
8,-0.3,100,"sd","10:29:26",109100
8,-0.3,100,"sd","10:26:03",109000
8,-0.3,3800,"sd","10:24:31",108900
8,-0.3,1900,"sd","10:24:21",105100
8,-0.3,1000,"sd","10:17:42",103200
8,-0.3,10000,"sd","10:11:15",102200
8.1,-0.2,1400,"sd","10:07:15",92200
8.1,-0.2,39000,"sd","10:07:11",90800
8.2,-0.1,100,"bu","09:57:27",51800
8.1,-0.2,500,"sd","09:55:42",51700
8.1,-0.2,2000,"sd","09:53:17",51200
8.2,-0.1,900,"bu","09:44:25",49200
8.2,-0.1,1000,"sd","09:43:21",48300
8.2,-0.1,200,"sd","09:40:51",47300
8.2,-0.1,100,"sd","09:37:08",47100
8.2,-0.1,1000,"sd","09:35:30",47000
8.2,-0.1,22000,"sd","09:34:34",46000
8.1,-0.2,1000,"bu","09:33:25",24000
8.1,-0.2,10000,"bu","09:32:49",23000
8.1,-0.2,9000,"bu","09:32:25",13000
8.1,-0.2,500,"sd","09:31:19",4000
8.1,-0.2,500,"sd","09:30:51",3500
8.3,0,500,"bu","09:21:07",3000
8.3,0,1000,"sd","09:20:40",2500
8.3,0,400,"sd","09:18:13",1500
8.3,0,100,"sd","09:17:00",1100
8.3,0,1000,"sd","09:16:34",1000
