"price","change","match_qtty","side","time","total_vol"
12.95,-0.1,176200,"unknown","14:45:01",5248200
12.95,-0.1,100,"bu","14:30:00",5072000
12.9,-0.15,2000,"sd","14:29:57",5071900
12.9,-0.15,2100,"bu","14:29:47",5069900
12.9,-0.15,300,"bu","14:29:47",5067800
12.9,-0.15,1000,"bu","14:29:47",5067500
12.9,-0.15,1400,"bu","14:29:47",5066500
12.9,-0.15,3600,"bu","14:29:45",5065100
12.9,-0.15,1400,"bu","14:29:45",5061500
12.9,-0.15,500,"bu","14:29:43",5060100
12.9,-0.15,100,"bu","14:29:37",5059600
12.9,-0.15,2300,"bu","14:29:37",5059500
12.9,-0.15,1000,"bu","14:29:32",5057200
12.9,-0.15,2600,"bu","14:29:30",5056200
12.9,-0.15,4000,"bu","14:29:20",5053600
12.85,-0.2,3000,"sd","14:29:13",5049600
12.85,-0.2,500,"sd","14:29:13",5046600
12.9,-0.15,100,"bu","14:29:12",5046100
12.85,-0.2,1900,"sd","14:29:12",5046000
12.85,-0.2,100,"sd","14:29:12",5044100
12.85,-0.2,200,"sd","14:29:06",5044000
12.85,-0.2,200,"sd","14:29:03",5043800
12.85,-0.2,400,"sd","14:29:02",5043600
12.85,-0.2,500,"sd","14:29:02",5043200
12.85,-0.2,100,"sd","14:29:02",5042700
12.85,-0.2,1000,"sd","14:29:02",5042600
12.85,-0.2,6000,"sd","14:28:50",5041600
12.85,-0.2,5000,"sd","14:28:50",5035600
12.85,-0.2,1000,"sd","14:28:50",5030600
12.85,-0.2,200,"sd","14:28:50",5029600
12.85,-0.2,2000,"sd","14:28:50",5029400
12.85,-0.2,1000,"sd","14:28:50",5027400
12.85,-0.2,400,"sd","14:28:50",5026400
12.85,-0.2,200,"sd","14:28:50",5026000
12.85,-0.2,700,"sd","14:28:50",5025800
12.85,-0.2,600,"sd","14:28:50",5025100
12.9,-0.15,400,"bu","14:28:48",5024500
12.9,-0.15,300,"bu","14:28:35",5024100
12.9,-0.15,1700,"bu","14:28:29",5023800
12.9,-0.15,500,"bu","14:28:29",5022100
12.9,-0.15,1000,"bu","14:28:26",5021600
12.9,-0.15,1800,"bu","14:28:23",5020600
12.9,-0.15,1000,"bu","14:28:20",5018800
12.9,-0.15,3300,"sd","14:28:16",5017800
12.9,-0.15,800,"bu","14:28:15",5014500
12.9,-0.15,500,"bu","14:28:15",5013700
12.9,-0.15,200,"bu","14:28:15",5013200
12.9,-0.15,200,"bu","14:28:15",5013000
12.9,-0.15,600,"bu","14:28:13",5012800
12.9,-0.15,1400,"bu","14:28:08",5012200
12.9,-0.15,2800,"sd","14:27:59",5010800
12.9,-0.15,200,"sd","14:27:58",5008000
12.9,-0.15,2000,"sd","14:27:55",5007800
12.95,-0.1,3000,"bu","14:27:53",5005800
12.9,-0.15,5000,"sd","14:27:51",5002800
12.95,-0.1,200,"bu","14:27:43",4997800
12.9,-0.15,2000,"sd","14:27:42",4997600
12.9,-0.15,8000,"sd","14:27:38",4995600
12.9,-0.15,300,"sd","14:27:38",4987600
12.9,-0.15,500,"sd","14:27:38",4987300
12.9,-0.15,1000,"sd","14:27:38",4986800
12.9,-0.15,3000,"sd","14:27:38",4985800
12.9,-0.15,500,"sd","14:27:38",4982800
12.9,-0.15,200,"sd","14:27:38",4982300
12.9,-0.15,3000,"sd","14:27:38",4982100
12.9,-0.15,600,"sd","14:27:38",4979100
12.9,-0.15,1000,"sd","14:27:38",4978500
12.9,-0.15,100,"sd","14:27:38",4977500
12.9,-0.15,300,"sd","14:27:38",4977400
12.9,-0.15,1500,"sd","14:27:38",4977100
12.95,-0.1,1000,"bu","14:27:30",4975600
12.9,-0.15,3500,"sd","14:27:22",4974600
12.9,-0.15,100,"sd","14:27:22",4971100
12.9,-0.15,1400,"sd","14:27:22",4971000
12.95,-0.1,2000,"bu","14:27:18",4969600
12.95,-0.1,1000,"bu","14:27:13",4967600
12.9,-0.15,4000,"sd","14:27:11",4966600
12.9,-0.15,400,"sd","14:27:08",4962600
12.95,-0.1,100,"bu","14:27:07",4962200
12.95,-0.1,500,"bu","14:26:50",4962100
12.95,-0.1,5200,"bu","14:26:47",4961600
12.95,-0.1,4800,"bu","14:26:47",4956400
12.95,-0.1,200,"bu","14:26:35",4951600
12.9,-0.15,1200,"sd","14:26:11",4951400
12.9,-0.15,1600,"sd","14:26:11",4950200
12.95,-0.1,100,"bu","14:26:10",4948600
12.95,-0.1,2000,"bu","14:26:06",4948500
12.95,-0.1,2900,"bu","14:26:01",4946500
12.95,-0.1,300,"bu","14:26:01",4943600
12.95,-0.1,500,"bu","14:26:01",4943300
12.95,-0.1,1000,"bu","14:26:01",4942800
12.95,-0.1,300,"bu","14:26:01",4941800
12.95,-0.1,200,"bu","14:25:47",4941500
12.95,-0.1,1000,"bu","14:25:43",4941300
12.95,-0.1,4500,"bu","14:25:39",4940300
12.95,-0.1,400,"bu","14:25:39",4935800
12.95,-0.1,100,"bu","14:25:39",4935400
12.95,-0.1,200,"bu","14:25:35",4935300
12.95,-0.1,1800,"bu","14:25:35",4935100
12.95,-0.1,8200,"bu","14:25:29",4933300
12.95,-0.1,1800,"bu","14:25:29",4925100
12.95,-0.1,100,"bu","14:25:25",4923300
12.95,-0.1,3100,"bu","14:25:08",4923200
12.95,-0.1,2600,"bu","14:25:08",4920100
12.95,-0.1,200,"bu","14:25:02",4917500
12.95,-0.1,500,"bu","14:24:44",4917300
12.95,-0.1,600,"bu","14:24:36",4916800
12.95,-0.1,100,"bu","14:24:30",4916200
12.95,-0.1,1000,"bu","14:24:17",4916100
12.95,-0.1,100,"bu","14:24:17",4915100
12.95,-0.1,500,"bu","14:24:17",4915000
12.95,-0.1,2000,"bu","14:24:17",4914500
12.95,-0.1,500,"bu","14:24:17",4912500
12.95,-0.1,9600,"bu","14:24:17",4912000
12.95,-0.1,800,"bu","14:24:17",4902400
12.95,-0.1,4000,"bu","14:23:27",4901600
12.9,-0.15,400,"sd","14:23:27",4897600
12.9,-0.15,1000,"bu","14:23:11",4897200
12.9,-0.15,4000,"bu","14:23:05",4896200
12.9,-0.15,1000,"bu","14:23:05",4892200
12.9,-0.15,1000,"bu","14:23:01",4891200
12.9,-0.15,1500,"bu","14:23:01",4890200
12.9,-0.15,300,"bu","14:22:54",4888700
12.9,-0.15,1000,"bu","14:22:53",4888400
12.9,-0.15,200,"bu","14:22:45",4887400
12.9,-0.15,800,"bu","14:22:45",4887200
12.9,-0.15,2000,"bu","14:22:45",4886400
12.9,-0.15,400,"bu","14:22:36",4884400
12.9,-0.15,1000,"bu","14:22:35",4884000
12.9,-0.15,1000,"bu","14:22:25",4883000
12.9,-0.15,2600,"sd","14:22:24",4882000
12.9,-0.15,1000,"sd","14:22:24",4879400
12.9,-0.15,500,"sd","14:22:24",4878400
12.9,-0.15,500,"sd","14:22:24",4877900
12.9,-0.15,200,"sd","14:22:24",4877400
12.9,-0.15,1600,"sd","14:22:08",4877200
12.9,-0.15,400,"sd","14:22:08",4875600
12.9,-0.15,600,"sd","14:22:05",4875200
12.9,-0.15,500,"sd","14:22:05",4874600
12.9,-0.15,900,"sd","14:22:05",4874100
12.9,-0.15,100,"sd","14:22:03",4873200
12.9,-0.15,500,"sd","14:22:03",4873100
12.9,-0.15,300,"sd","14:22:03",4872600
12.9,-0.15,4700,"sd","14:21:47",4872300
12.9,-0.15,100,"sd","14:21:47",4867600
12.9,-0.15,400,"sd","14:21:47",4867500
12.9,-0.15,200,"sd","14:21:47",4867100
12.9,-0.15,500,"sd","14:21:47",4866900
12.9,-0.15,900,"sd","14:21:47",4866400
12.9,-0.15,100,"sd","14:21:47",4865500
12.9,-0.15,100,"sd","14:21:47",4865400
12.95,-0.1,500,"bu","14:21:46",4865300
12.95,-0.1,1400,"bu","14:21:35",4864800
12.95,-0.1,500,"sd","14:21:28",4863400
12.95,-0.1,500,"sd","14:21:28",4862900
12.95,-0.1,1000,"sd","14:21:28",4862400
12.95,-0.1,1300,"sd","14:21:28",4861400
13,-0.05,1100,"bu","14:21:14",4860100
13,-0.05,200,"bu","14:21:03",4859000
13,-0.05,800,"bu","14:21:03",4858800
13,-0.05,200,"bu","14:21:00",4858000
13,-0.05,300,"bu","14:21:00",4857800
13,-0.05,2000,"bu","14:20:55",4857500
12.95,-0.1,1000,"sd","14:20:50",4855500
13,-0.05,600,"bu","14:20:47",4854500
13,-0.05,300,"bu","14:20:47",4853900
13,-0.05,100,"bu","14:20:47",4853600
12.95,-0.1,100,"bu","14:20:43",4853500
12.95,-0.1,2600,"bu","14:20:43",4853400
12.95,-0.1,1000,"bu","14:20:43",4850800
12.95,-0.1,10000,"bu","14:20:41",4849800
12.95,-0.1,800,"bu","14:20:34",4839800
12.95,-0.1,5600,"bu","14:20:30",4839000
12.95,-0.1,700,"bu","14:20:30",4833400
12.95,-0.1,300,"bu","14:20:20",4832700
12.95,-0.1,700,"bu","14:20:20",4832400
12.95,-0.1,400,"bu","14:20:14",4831700
12.9,-0.15,100,"sd","14:20:12",4831300
12.9,-0.15,300,"sd","14:20:12",4831200
12.9,-0.15,600,"sd","14:20:12",4830900
12.9,-0.15,9400,"sd","14:20:03",4830300
12.9,-0.15,500,"sd","14:20:03",4820900
12.9,-0.15,100,"sd","14:20:03",4820400
12.9,-0.15,200,"bu","14:19:49",4820300
12.9,-0.15,100,"bu","14:19:49",4820100
12.9,-0.15,1600,"bu","14:19:49",4820000
12.9,-0.15,500,"bu","14:19:46",4818400
12.9,-0.15,7900,"bu","14:19:45",4817900
