"price","change","match_qtty","side","time","total_vol"
18.6,0.05,2200,"bu","14:45:00",11500
18.55,0,100,"sd","14:09:54",9300
18.6,0.05,100,"bu","14:05:57",9200
18.45,-0.1,900,"bu","13:59:23",9100
18.6,0.05,100,"bu","13:23:11",8200
18.6,0.05,3500,"bu","13:22:44",8100
18.6,0.05,600,"bu","13:22:44",4600
18.55,0,100,"bu","13:22:44",4000
18.6,0.05,2300,"bu","13:01:05",3900
18.55,0,400,"bu","13:01:05",1500
18.55,0,100,"bu","13:01:05",1600
18.55,0,300,"bu","13:01:05",1100
18.55,0,100,"bu","10:42:24",800
18.4,-0.15,100,"sd","10:31:53",700
18.4,-0.15,100,"sd","10:31:53",600
18.45,-0.1,100,"sd","10:31:53",500
18.4,-0.15,100,"sd","10:05:17",400
18.55,0,100,"bu","09:23:18",300
18.6,0.05,200,"bu","09:15:01",200
