"price","change","match_qtty","side","time","total_vol"
1.6,0.1,100,"bu","14:59:41",102800
1.5,0,100,"sd","14:49:41",102700
1.6,0.1,300,"bu","14:47:49",102600
1.6,0.1,800,"bu","14:32:10",102300
1.6,0.1,1000,"bu","14:26:31",101500
1.6,0.1,200,"bu","14:24:46",100500
1.5,0,19400,"sd","14:23:06",100300
1.6,0.1,100,"bu","14:19:47",80900
1.6,0.1,2000,"bu","14:18:01",80800
1.5,0,4000,"sd","14:16:10",78800
1.5,0,13000,"sd","14:03:28",74800
1.5,0,800,"sd","13:58:46",61800
1.6,0.1,100,"bu","13:58:32",61000
1.6,0.1,200,"bu","13:57:35",60900
1.6,0.1,4300,"bu","13:41:33",60700
1.6,0.1,100,"bu","13:13:33",56400
1.6,0.1,100,"bu","13:13:28",56300
1.5,0,200,"sd","13:11:07",56200
1.5,0,21600,"sd","13:07:21",56000
1.5,0,500,"sd","13:00:03",34400
1.5,0,100,"sd","13:00:02",33900
1.5,0,1000,"sd","11:29:47",33800
1.6,0.1,200,"bu","11:25:06",32800
1.6,0.1,1500,"bu","11:23:56",32600
1.6,0.1,500,"bu","11:19:19",31100
1.5,0,100,"sd","10:36:24",30600
1.6,0.1,5000,"bu","10:30:59",30500
1.6,0.1,200,"bu","10:28:47",25500
1.5,0,600,"sd","10:27:13",25300
1.6,0.1,100,"bu","10:25:28",24700
1.6,0.1,600,"bu","10:21:08",24600
1.6,0.1,400,"bu","10:20:43",24000
1.6,0.1,1900,"bu","10:20:03",23600
1.6,0.1,100,"bu","10:18:12",21700
1.6,0.1,5000,"bu","10:00:07",21600
1.5,0,3200,"sd","09:43:47",16600
1.6,0.1,3900,"bu","09:43:46",13400
1.6,0.1,200,"bu","09:41:13",9500
1.6,0.1,400,"bu","09:40:39",9300
1.6,0.1,100,"bu","09:28:13",8900
1.5,0,200,"sd","09:15:09",8800
1.5,0,4600,"sd","09:00:20",8600
1.5,0,4000,"sd","09:00:19",4000
