"price","change","match_qtty","side","time","total_vol"
23950,-400,200,"sd","14:45:02",7400
23900,-450,100,"sd","13:57:10",7200
23900,-450,100,"sd","13:57:10",7100
24350,0,500,"bu","13:25:12",7000
24300,-50,500,"bu","13:25:12",6500
23900,-450,200,"sd","10:40:12",6000
23800,-550,2600,"sd","10:24:32",5800
23700,-650,100,"sd","09:47:36",3200
23100,-1250,500,"bu","09:15:20",3100
23000,-1350,300,"sd","09:15:02",2600
23900,-450,1000,"sd","09:15:02",2300
23900,-450,800,"sd","09:15:02",1300
23900,-450,500,"sd","09:15:02",500
