"price","change","match_qtty","side","time","total_vol"
7300,0,3000,"bu","14:26:50",101900
7400,100,100,"bu","14:24:00",98900
6900,-400,22300,"bu","14:23:29",98800
7400,100,8200,"bu","14:22:10",76500
7400,100,1000,"bu","14:17:24",68300
7300,0,1000,"bu","14:15:58",67300
7000,-300,100,"sd","14:12:02",66300
7300,0,100,"bu","13:36:18",66200
6900,-400,2500,"sd","13:36:03",66100
7300,0,500,"bu","13:29:03",63600
7300,0,100,"bu","13:28:54",63100
6900,-400,5000,"sd","13:28:16",63000
6900,-400,20000,"sd","13:27:36",58000
7500,200,4000,"bu","13:03:38",38000
7500,200,20000,"bu","13:03:00",34000
7500,200,10000,"bu","13:02:57",14000
7300,0,200,"bu","11:23:39",4000
7000,-300,200,"unknown","11:08:10",3800
7000,-300,1000,"sd","11:07:43",3600
7000,-300,900,"sd","09:58:11",2600
7400,100,200,"bu","09:47:22",1700
7400,100,600,"bu","09:36:43",1500
7400,100,300,"bu","09:04:39",900
7400,100,500,"bu","09:02:10",600
7500,200,100,"bu","09:01:35",100
