"price","change","match_qtty","side","time","total_vol"
16200,400,31300,"bu","14:45:02",771200
16150,350,200,"bu","14:29:44",739900
16150,350,3800,"bu","14:29:35",739700
16150,350,500,"bu","14:29:35",735900
16150,350,300,"bu","14:29:35",735400
16150,350,400,"bu","14:29:35",735100
16100,300,100,"sd","14:29:06",734700
16150,350,600,"bu","14:28:33",734600
16150,350,400,"bu","14:28:33",734000
16150,350,100,"bu","14:28:24",733600
16150,350,100,"bu","14:28:24",733500
16150,350,100,"bu","14:28:24",733400
16150,350,900,"bu","14:28:24",733300
16150,350,1000,"bu","14:28:24",732400
16150,350,1000,"bu","14:28:21",731400
16150,350,200,"bu","14:28:21",730400
16150,350,100,"bu","14:28:21",730200
16150,350,2000,"bu","14:28:21",730100
16150,350,100,"bu","14:28:21",728100
16150,350,1600,"bu","14:28:21",728000
16150,350,500,"bu","14:28:06",726400
16150,350,600,"bu","14:27:38",725900
16100,300,200,"bu","14:27:15",725300
16100,300,5000,"bu","14:27:15",725100
16100,300,3900,"bu","14:27:15",720100
16100,300,300,"bu","14:27:14",716200
16100,300,400,"bu","14:26:49",715900
16100,300,900,"bu","14:26:49",715500
16100,300,500,"bu","14:26:49",714600
16100,300,100,"bu","14:26:49",714100
16100,300,3100,"bu","14:26:49",714000
16100,300,100,"bu","14:26:40",710900
16100,300,500,"bu","14:26:39",710800
16100,300,500,"bu","14:26:36",710300
16100,300,3000,"bu","14:26:30",709800
16100,300,200,"bu","14:26:26",706800
16100,300,2000,"bu","14:26:12",706600
16100,300,200,"bu","14:26:01",704600
16100,300,400,"bu","14:26:00",704400
16100,300,600,"bu","14:26:00",704000
16100,300,100,"bu","14:25:58",703400
16100,300,2000,"bu","14:25:48",703300
16100,300,100,"bu","14:25:47",701300
16100,300,1000,"bu","14:25:13",701200
16100,300,100,"bu","14:25:07",700200
16100,300,1000,"bu","14:25:01",700100
16100,300,100,"bu","14:25:01",699100
16100,300,3500,"bu","14:24:59",699000
16100,300,1000,"bu","14:24:54",695500
16100,300,1000,"bu","14:24:49",694500
16100,300,500,"bu","14:24:41",693500
16100,300,400,"bu","14:24:41",693000
16050,250,100,"sd","14:24:36",692600
16100,300,100,"bu","14:24:24",692500
16100,300,2900,"bu","14:24:24",692400
16100,300,1000,"bu","14:24:18",689500
16100,300,1500,"bu","14:24:10",688500
16100,300,100,"bu","14:23:58",687000
16100,300,500,"bu","14:23:52",686900
16100,300,1000,"bu","14:23:52",686400
16100,300,1500,"bu","14:23:52",685400
16100,300,100,"bu","14:23:45",683900
16100,300,200,"bu","14:23:37",683800
16100,300,500,"bu","14:23:37",683600
16100,300,3000,"bu","14:23:16",683100
16100,300,200,"bu","14:22:21",680100
16100,300,1000,"bu","14:22:17",679900
16100,300,400,"bu","14:22:10",678900
16100,300,1200,"bu","14:22:07",678500
16100,300,1400,"bu","14:21:05",677300
16100,300,1500,"bu","14:21:05",675900
16100,300,600,"bu","14:21:00",674400
16100,300,2400,"bu","14:21:00",673800
16100,300,2000,"bu","14:20:29",671400
16100,300,500,"bu","14:20:29",669400
16100,300,4800,"bu","14:20:29",668900
16100,300,300,"sd","14:20:29",664100
16100,300,200,"sd","14:20:05",663800
16100,300,500,"bu","14:19:53",663600
16100,300,200,"bu","14:19:43",663100
16100,300,100,"bu","14:19:23",662900
16100,300,100,"bu","14:19:23",662800
16100,300,800,"bu","14:19:23",662700
16100,300,200,"bu","14:19:17",661900
16100,300,800,"bu","14:19:17",661700
16100,300,200,"bu","14:18:57",660900
16100,300,200,"bu","14:17:43",660700
16100,300,100,"bu","14:16:43",660500
16100,300,300,"sd","14:15:56",660400
16100,300,100,"sd","14:15:56",660100
16100,300,400,"bu","14:15:42",660000
16100,300,100,"bu","14:15:18",659600
16100,300,700,"bu","14:15:18",659500
16100,300,2600,"bu","14:15:06",658800
16100,300,1000,"bu","14:15:06",656200
16100,300,500,"bu","14:15:06",655200
16100,300,900,"bu","14:15:06",654700
16100,300,100,"bu","14:13:55",653800
16050,250,900,"sd","14:12:44",653700
16050,250,400,"sd","14:12:44",652800
16050,250,1300,"sd","14:12:43",652400
16050,250,200,"sd","14:12:43",651100
16050,250,3000,"sd","14:12:43",650900
16150,350,2000,"bu","14:12:04",647900
16100,300,1400,"sd","14:11:14",645900
16150,350,300,"bu","14:11:14",644500
16100,300,100,"bu","14:10:41",644200
16100,300,500,"bu","14:10:41",644100
16100,300,3000,"bu","14:10:26",643600
16100,300,100,"bu","14:10:17",640600
16100,300,500,"bu","14:09:57",640500
16100,300,500,"bu","14:09:54",640000
16100,300,400,"sd","14:09:40",639500
16150,350,100,"bu","14:09:35",639100
16100,300,1000,"sd","14:09:19",639000
16100,300,500,"bu","14:09:18",638000
16100,300,100,"bu","14:09:18",637500
16100,300,100,"bu","14:09:18",637400
16100,300,100,"bu","14:09:18",637300
16100,300,800,"bu","14:09:18",637200
16100,300,200,"bu","14:08:56",636400
16100,300,100,"bu","14:08:56",636200
16100,300,100,"bu","14:08:56",636100
16100,300,900,"bu","14:08:56",636000
16100,300,100,"bu","14:08:56",635100
16100,300,100,"bu","14:08:56",635000
16100,300,100,"bu","14:08:52",634900
16100,300,400,"bu","14:08:52",634800
16100,300,1000,"bu","14:08:52",634400
16100,300,100,"bu","14:08:52",633400
16100,300,300,"bu","14:08:52",633300
16100,300,300,"bu","14:08:52",633000
16100,300,100,"bu","14:08:52",632700
16100,300,200,"bu","14:08:52",632600
16100,300,100,"bu","14:08:52",632400
16100,300,400,"bu","14:08:52",632300
16100,300,600,"bu","14:08:20",631900
16100,300,400,"bu","14:08:20",631300
16100,300,600,"bu","14:07:48",630900
16100,300,200,"bu","14:07:48",630300
16100,300,1000,"bu","14:07:48",630100
16100,300,1000,"bu","14:07:48",629100
16100,300,1000,"bu","14:07:48",628100
16100,300,100,"bu","14:07:48",627100
16100,300,100,"bu","14:07:48",627000
16100,300,100,"bu","14:07:48",626900
16100,300,100,"bu","14:07:48",626800
16100,300,100,"bu","14:07:48",626700
16100,300,100,"bu","14:07:48",626600
16100,300,100,"bu","14:07:48",626500
16100,300,100,"bu","14:07:48",626400
16100,300,100,"bu","14:07:48",626300
16100,300,100,"bu","14:07:48",626200
16100,300,100,"bu","14:07:48",626100
16100,300,5000,"bu","14:07:48",626000
16100,300,100,"bu","14:07:48",621000
16000,200,2700,"sd","14:07:31",620900
16000,200,200,"sd","14:07:31",618200
16000,200,800,"sd","14:07:31",618000
16000,200,1300,"sd","14:07:31",617200
16050,250,100,"bu","14:07:16",615900
16050,250,100,"bu","14:07:16",615800
16050,250,200,"bu","14:07:16",615700
16050,250,100,"bu","14:07:16",615500
16050,250,2000,"bu","14:07:16",615400
16050,250,100,"bu","14:07:16",613400
16050,250,100,"bu","14:07:16",613300
16050,250,2000,"bu","14:07:16",613200
16050,250,2000,"bu","14:07:16",611200
16050,250,3300,"bu","14:07:16",609200
16000,200,500,"bu","14:07:16",605900
16000,200,100,"bu","14:06:53",605400
16000,200,200,"bu","14:06:53",605300
16000,200,300,"sd","14:06:37",605100
16000,200,100,"bu","14:06:30",604800
16000,200,2000,"bu","14:06:30",604700
16000,200,100,"bu","14:06:30",602700
16000,200,500,"bu","14:06:30",602600
16000,200,3000,"bu","14:06:30",602100
16000,200,400,"bu","14:06:29",599100
16000,200,700,"bu","14:06:21",598700
16000,200,700,"bu","14:06:17",598000
16000,200,500,"bu","14:06:17",597300
16000,200,3100,"bu","14:06:14",596800
16000,200,100,"bu","14:06:14",593700
16000,200,900,"bu","14:06:12",593600
16000,200,600,"bu","14:06:12",592700
16000,200,100,"bu","14:06:12",592100
16000,200,400,"bu","14:06:12",592000
16000,200,500,"bu","14:06:11",591600
16000,200,300,"bu","14:06:06",591100
16000,200,2700,"bu","14:06:06",590800
15950,150,300,"sd","14:05:48",588100
